dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001088,7.687500,0.001250,0.049986,0.999721,19.994416,0.000274
0.050000,0.004427,7.687502,0.004589,0.066792,0.336129,-13.271842,0.001114
0.050000,0.009996,7.687513,0.010157,0.111364,0.891435,11.106131,0.002509
0.050000,0.017796,7.687540,0.017958,0.156001,0.892744,0.026177,0.004452
0.050000,0.027832,7.687597,0.027994,0.200731,0.894587,0.036863,0.006935
0.050000,0.040111,7.687701,0.040273,0.245580,0.896975,0.047754,0.009944
0.050000,0.054638,7.687871,0.054802,0.290576,0.899920,0.058895,0.013466
0.050000,0.071424,7.688130,0.071589,0.335747,0.903436,0.070318,0.017481
0.050000,0.090476,7.688506,0.090645,0.381124,0.907538,0.082047,0.021969
0.050000,0.111807,7.689028,0.111982,0.426736,0.912242,0.094089,0.026905
0.050000,0.135427,7.689727,0.135613,0.472615,0.917564,0.106438,0.032263
0.050000,0.161350,7.690639,0.161552,0.518790,0.923518,0.119071,0.038012
0.050000,0.189591,7.691799,0.189817,0.565296,0.930115,0.131952,0.044117
0.050000,0.220165,7.693248,0.220426,0.612165,0.937367,0.145029,0.050542
0.050000,0.253089,7.695025,0.253397,0.659428,0.945279,0.158237,0.057247
0.050000,0.288380,7.697171,0.288753,0.707121,0.953854,0.171502,0.064186
0.050000,0.326057,7.699728,0.326517,0.755276,0.963091,0.184742,0.071314
0.050000,0.366140,7.702739,0.366713,0.803925,0.972984,0.197871,0.078578
0.050000,0.408651,7.706245,0.409368,0.853101,0.983525,0.210806,0.085926
0.050000,0.453611,7.710287,0.454510,0.902836,0.994698,0.223470,0.093299
0.050000,0.501045,7.714902,0.502168,0.953161,1.006488,0.235799,0.100638
0.050000,0.550978,7.720129,0.552373,1.004104,1.018875,0.247745,0.107878
0.050000,0.603435,7.726001,0.605158,1.055696,1.031840,0.259286,0.114954
0.050000,0.658445,7.732546,0.660556,1.107964,1.045361,0.270423,0.121795
0.050000,0.716038,7.739789,0.718603,1.160935,1.059420,0.281190,0.128331
0.050000,0.776246,7.747751,0.779335,1.214635,1.074003,0.291653,0.134485
0.050000,0.839103,7.756442,0.842789,1.269090,1.089098,0.301908,0.140181
0.050000,0.904645,7.765867,0.909006,1.324326,1.104702,0.312082,0.145339
0.050000,0.972912,7.776022,0.978024,1.380366,1.120819,0.322327,0.149876
0.050000,1.043947,7.786894,1.049886,1.437239,1.137459,0.332814,0.153707
0.050000,1.117795,7.798456,1.124634,1.494972,1.154646,0.343721,0.156743
0.050000,1.194509,7.810671,1.202314,1.553592,1.172406,0.355219,0.158893
0.050000,1.274141,7.823487,1.282971,1.613131,1.190779,0.367458,0.160064
0.050000,1.356750,7.836836,1.366652,1.673621,1.209806,0.380539,0.160158
0.050000,1.442401,7.850633,1.453407,1.735098,1.229531,0.394486,0.159072
0.050000,1.531161,7.864774,1.543286,1.797597,1.249991,0.409210,0.156704
0.050000,1.623104,7.879134,1.636344,1.861158,1.271214,0.424462,0.152943
0.050000,1.718308,7.893564,1.732635,1.925818,1.293203,0.439777,0.147677
0.050000,1.816853,7.907889,1.832216,1.991614,1.315923,0.454397,0.140789
0.050000,1.918823,7.921906,1.935145,2.058579,1.339283,0.467193,0.132160
0.050000,2.024303,7.935379,2.041482,2.126734,1.363111,0.476568,0.121667
0.050000,2.133375,7.948040,2.151286,2.196091,1.387129,0.480351,0.109186
0.050000,2.243881,7.959371,2.262372,2.221708,0.512356,-17.495452,0.094902
0.050000,2.353139,7.968921,2.372046,2.193488,-0.564406,-21.535231,0.079210
0.050000,2.460636,7.976553,2.479814,2.155364,-0.762472,-3.961320,0.062300
0.050000,2.566278,7.982202,2.585607,2.115852,-0.790245,-0.555469,0.044317
0.050000,2.669961,7.985828,2.689353,2.074927,-0.818507,-0.565232,0.025403
0.050000,2.771577,7.987419,2.790982,2.032571,-0.847117,-0.572205,0.005707
0.050000,2.880200,7.986173,2.899611,2.172597,2.800513,72.952592,6.249654
0.050000,2.992072,7.979591,3.011677,2.241311,1.374283,-28.524588,6.198273
0.050000,3.103769,7.966911,3.124091,2.248284,0.139455,-24.696568,6.141044
0.050000,3.215086,7.947410,3.237103,2.260246,0.239249,1.995888,6.077454
0.050000,3.325588,7.920328,3.350876,2.275444,0.303958,1.294169,6.007169
0.050000,3.434522,7.884952,3.465410,2.290690,0.304924,0.019321,5.930184
0.050000,3.540758,7.840768,3.580468,2.301160,0.209397,-1.910543,5.846988
0.050000,3.642795,7.787653,3.695502,2.300679,-0.009615,-4.380242,5.758706
0.050000,3.738890,7.726061,3.809641,2.282773,-0.358118,-6.970056,5.667129
0.050000,3.827313,7.657126,3.921760,2.242387,-0.807720,-8.992044,5.574567
0.050000,3.906674,7.582583,4.030640,2.177599,-1.295761,-9.760807,5.483528
0.050000,3.976177,7.504523,4.135158,2.090361,-1.744764,-8.980054,5.396318
0.050000,4.035709,7.425061,4.234447,1.985784,-2.091540,-6.935530,5.314720
0.050000,4.085758,7.346059,4.327969,1.870425,-2.307171,-4.312626,5.239837
0.050000,4.127212,7.268970,4.415496,1.750544,-2.397623,-1.809024,5.172135
0.050000,4.161152,7.194817,4.497047,1.631025,-2.390380,0.144850,5.111572
0.050000,4.188693,7.124247,4.572801,1.515078,-2.318945,1.428710,5.057781
0.050000,4.210877,7.057621,4.643023,1.404444,-2.212675,2.125393,5.010216
0.050000,4.228630,6.995103,4.708013,1.299797,-2.092939,2.394724,4.968261
0.050000,4.242745,6.936729,4.768070,1.201133,-1.973293,2.392907,4.931302
0.050000,4.253889,6.882457,4.823473,1.108068,-1.861286,2.240138,4.898763
0.050000,4.262616,6.832207,4.874476,1.020047,-1.760436,2.017008,4.870126
0.050000,4.269384,6.785876,4.921298,0.936456,-1.671817,1.772379,4.844937
0.050000,4.274571,6.743357,4.964133,0.856698,-1.595157,1.533208,4.822802
0.050000,4.278491,6.704543,5.003144,0.780222,-1.529524,1.312657,4.803385
0.050000,4.281401,6.669336,5.038471,0.706535,-1.473733,1.115808,4.786399
