dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001355,6.712500,0.001250,0.049986,0.999721,19.994416,0.000274
0.050000,0.005513,6.712503,0.005408,0.083166,0.663592,-6.722575,0.001114
0.050000,0.012441,6.712516,0.012336,0.138566,1.108006,8.888280,0.002509
0.050000,0.022136,6.712549,0.022031,0.193901,1.106697,-0.026185,0.004452
0.050000,0.034593,6.712620,0.034488,0.249143,1.104853,-0.036874,0.006935
0.050000,0.049806,6.712749,0.049702,0.304267,1.102465,-0.047767,0.009944
0.050000,0.067767,6.712959,0.067664,0.359243,1.099519,-0.058909,0.013466
0.050000,0.088467,6.713279,0.088366,0.414043,1.096003,-0.070334,0.017481
0.050000,0.111894,6.713742,0.111798,0.468638,1.091899,-0.082064,0.021969
0.050000,0.138036,6.714381,0.137948,0.522997,1.087194,-0.094106,0.026905
0.050000,0.166878,6.715235,0.166802,0.577091,1.081871,-0.106454,0.032263
0.050000,0.198403,6.716343,0.198347,0.630887,1.075917,-0.119085,0.038012
0.050000,0.232592,6.717748,0.232564,0.684353,1.069319,-0.131964,0.044117
0.050000,0.269423,6.719493,0.269437,0.737456,1.062067,-0.145038,0.050542
0.050000,0.308874,6.721622,0.308945,0.790164,1.054155,-0.158242,0.057247
0.050000,0.350918,6.724179,0.351067,0.842443,1.045580,-0.171502,0.064186
0.050000,0.395529,6.727207,0.395780,0.894260,1.036343,-0.184737,0.071314
0.050000,0.442675,6.730748,0.443060,0.945583,1.026450,-0.197860,0.078578
0.050000,0.492326,6.734842,0.492879,0.996378,1.015911,-0.210789,0.085926
0.050000,0.544446,6.739527,0.545209,1.046615,1.004738,-0.223447,0.093299
0.050000,0.599002,6.744836,0.600022,1.096262,0.992950,-0.235769,0.100638
0.050000,0.655955,6.750797,0.657287,1.145291,0.980564,-0.247711,0.107878
0.050000,0.715268,6.757435,0.716970,1.193671,0.967602,-0.259246,0.114954
0.050000,0.776902,6.764768,0.779039,1.241375,0.954083,-0.270380,0.121795
0.050000,0.840818,6.772807,0.843458,1.288376,0.940026,-0.281145,0.128331
0.050000,0.906974,6.781554,0.910190,1.334648,0.925445,-0.291608,0.134485
0.050000,0.975332,6.791006,0.979199,1.380166,0.910352,-0.301865,0.140181
0.050000,1.045852,6.801146,1.050444,1.424904,0.894750,-0.312045,0.145339
0.050000,1.118494,6.811953,1.123886,1.468835,0.878635,-0.322299,0.149876
0.050000,1.193221,6.823389,1.199482,1.511935,0.861995,-0.332799,0.153707
0.050000,1.269995,6.835409,1.277191,1.554175,0.844809,-0.343724,0.156743
0.050000,1.348779,6.847953,1.356968,1.595528,0.827046,-0.355246,0.158893
0.050000,1.429538,6.860950,1.438766,1.635961,0.808671,-0.367516,0.160064
0.050000,1.512237,6.874313,1.522538,1.675443,0.789639,-0.380634,0.160158
0.050000,1.596843,6.887942,1.608235,1.713939,0.769908,-0.394626,0.159072
0.050000,1.683323,6.901721,1.695805,1.751411,0.749437,-0.409407,0.156704
0.050000,1.771643,6.915515,1.785196,1.787821,0.728201,-0.424727,0.152943
0.050000,1.861770,6.929177,1.876353,1.823130,0.706195,-0.440121,0.147677
0.050000,1.953669,6.942536,1.969218,1.857303,0.683453,-0.454835,0.140789
0.050000,2.047304,6.955408,2.063733,1.890306,0.660066,-0.467741,0.132160
0.050000,2.142635,6.967586,2.159839,1.922116,0.636204,-0.477240,0.121667
0.050000,2.239620,6.978846,2.257475,1.952724,0.612146,-0.481162,0.109186
0.050000,2.336272,6.988759,2.354634,1.943173,-0.191009,-16.063106,0.094902
0.050000,2.430288,6.996978,2.449009,1.887491,-1.113649,-18.452794,0.079210
0.050000,2.521340,7.003445,2.540290,1.825637,-1.237081,-2.468641,0.062300
0.050000,2.609473,7.008159,2.628549,1.765172,-1.209294,0.555742,0.044317
0.050000,2.694727,7.011143,2.713855,1.706121,-1.181016,0.565558,0.025403
0.050000,2.777142,7.012435,2.796280,1.648502,-1.152388,0.572569,0.005707
0.050000,2.847513,7.011721,2.866655,1.407506,-4.819911,-73.350475,6.249654
0.050000,2.909382,7.008104,2.928630,1.239495,-3.360231,29.193600,6.198273
0.050000,2.965648,7.001744,2.985254,1.132472,-2.140465,24.395322,6.141044
0.050000,3.015910,6.992971,3.036276,1.020446,-2.240519,-2.001071,6.077454
0.050000,3.059876,6.982232,3.081535,0.905174,-2.305438,-1.298388,6.007169
0.050000,3.097450,6.970071,3.121027,0.789849,-2.306489,-0.021007,5.930184
0.050000,3.128825,6.957062,3.154993,0.679308,-2.210819,1.913396,5.846988
0.050000,3.154552,6.943707,3.183980,0.579741,-1.991348,4.389409,5.758706
0.050000,3.175514,6.930301,3.208862,0.497638,-1.642054,6.985894,5.667129
0.050000,3.192797,6.916846,3.230765,0.438067,-1.191432,9.012429,5.574567
0.050000,3.207485,6.903055,3.250912,0.402948,-0.702366,9.781318,5.483528
0.050000,3.220458,6.888475,3.270428,0.390320,-0.252573,8.995863,5.396318
0.050000,3.232292,6.872660,3.290181,0.395050,0.094616,6.943778,5.314720
0.050000,3.243267,6.855312,3.310709,0.410565,0.310286,4.313406,5.239837
0.050000,3.253451,6.836343,3.332239,0.430590,0.400511,1.804499,5.172135
0.050000,3.262808,6.815868,3.354750,0.450236,0.392910,-0.152023,5.111572
0.050000,3.271274,6.794145,3.378065,0.466290,0.321088,-1.436447,5.057781
0.050000,3.278800,6.771513,3.401916,0.477013,0.214464,-2.132477,5.010216
0.050000,3.285373,6.748341,3.426002,0.481735,0.094431,-2.400652,4.968261
0.050000,3.291014,6.724989,3.450025,0.480462,-0.025449,-2.397608,4.931302
0.050000,3.295773,6.701793,3.473704,0.473581,-0.137637,-2.243745,4.898763
0.050000,3.299720,6.679051,3.496787,0.461649,-0.238623,-2.019722,4.870126
0.050000,3.302936,6.657020,3.519051,0.445282,-0.327343,-1.774400,4.844937
