dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003694,5.599000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014805,5.599000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033323,5.599000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059249,5.599000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092583,5.599000,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,0.133323,5.599000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,0.181471,5.599000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.237027,5.599000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299990,5.599000,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,0.370360,5.599000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,0.448138,5.599000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533323,5.599000,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,0.625916,5.599000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725916,5.599000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833323,5.599000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948138,5.599000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.077522,5.598824,1.077532,2.587686,5.827794,57.296627,6.278646
0.050000,1.220281,5.597587,1.220296,2.855280,5.351876,-9.518371,6.270432
0.050000,1.370815,5.595028,1.370852,3.011118,3.116771,-44.702088,6.261977
0.050000,1.529044,5.590983,1.529133,3.165611,3.089851,-0.538399,6.253324
0.050000,1.694880,5.585295,1.695066,3.318665,3.061091,-0.575206,6.244517
0.050000,1.868228,5.577810,1.868576,3.470192,3.030521,-0.611394,6.235604
0.050000,2.048987,5.568386,2.049581,3.620101,2.998189,-0.646651,6.226637
0.050000,2.237052,5.556887,2.237996,3.768309,2.964154,-0.680690,6.217668
0.050000,2.432309,5.543195,2.433733,3.914733,2.928491,-0.713274,6.208752
0.050000,2.634643,5.527203,2.636698,4.059297,2.891279,-0.744225,6.199949
0.050000,2.843934,5.508824,2.846794,4.201928,2.852607,-0.773443,6.191318
0.050000,3.056139,5.488382,3.059982,4.263764,1.236729,-32.317566,6.183070
0.050000,3.267297,5.466340,3.272287,4.246090,-0.353490,-31.804371,6.175374
0.050000,3.477404,5.442832,3.483705,4.228370,-0.354398,-0.018175,6.168233
0.050000,3.686464,5.417986,3.694236,4.210623,-0.354941,-0.010863,6.161647
0.050000,3.894482,5.391932,3.903880,4.192863,-0.355186,-0.004890,6.155616
0.050000,4.101466,5.364798,4.112635,4.175104,-0.355194,-0.000162,6.150140
0.050000,4.307427,5.336708,4.320502,4.157352,-0.355023,0.003423,6.145220
0.050000,4.512377,5.307785,4.527483,4.139616,-0.354725,0.005969,6.140854
0.050000,4.716331,5.278153,4.733578,4.121899,-0.354345,0.007584,6.137042
0.050000,4.919303,5.247929,4.938788,4.104203,-0.353927,0.008375,6.133784
0.050000,5.121310,5.217234,5.143115,4.086527,-0.353504,0.008450,6.131078
0.050000,5.322370,5.186182,5.346558,4.068872,-0.353108,0.007916,6.128924
0.050000,5.522500,5.154889,5.549120,4.051234,-0.352764,0.006879,6.127322
0.050000,5.721718,5.123468,5.750800,4.033609,-0.352492,0.005444,6.126271
0.050000,5.920041,5.092030,5.951600,4.015994,-0.352306,0.003713,6.125771
0.050000,6.117488,5.060686,6.151519,3.998383,-0.352217,0.001789,6.125822
0.050000,6.314075,5.029543,6.350558,3.980772,-0.352228,-0.000227,6.126423
0.050000,6.509820,4.998710,6.548716,3.963155,-0.352340,-0.002233,6.127575
0.050000,6.704737,4.968293,6.745992,3.945527,-0.352546,-0.004129,6.129278
0.050000,6.898842,4.938395,6.942386,3.927885,-0.352837,-0.005814,6.131533
0.050000,7.092149,4.909121,7.137897,3.910226,-0.353196,-0.007184,6.134341
0.050000,7.284671,4.880573,7.332525,3.892545,-0.353603,-0.008137,6.137701
0.050000,7.476420,4.852852,7.526267,3.874844,-0.354032,-0.008567,6.141614
0.050000,7.667406,4.826058,7.719123,3.857121,-0.354450,-0.008369,6.146082
0.050000,7.857637,4.800289,7.911092,3.839380,-0.354822,-0.007435,6.151104
0.050000,8.047123,4.775643,8.102173,3.821625,-0.355105,-0.005657,6.156682
0.050000,8.235867,4.752217,8.292366,3.803862,-0.355251,-0.002928,6.162815
0.050000,8.423877,4.730104,8.481671,3.786102,-0.355208,0.000859,6.169503
0.050000,8.611153,4.709400,8.670089,3.768356,-0.354918,0.005810,6.176746
