dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003694,2.401000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014805,2.401000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033323,2.401000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059249,2.401000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092583,2.401000,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,0.133323,2.401000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,0.181471,2.401000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.237027,2.401000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299990,2.401000,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,0.370360,2.401000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,0.448138,2.401000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533323,2.401000,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,0.625916,2.401000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725916,2.401000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833323,2.401000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948138,2.401000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.063006,2.400857,1.063016,2.297355,0.021180,-58.835666,6.278646
0.050000,1.179496,2.399847,1.179510,2.329891,0.650711,12.590618,6.270432
0.050000,1.302995,2.397747,1.303028,2.470347,2.809120,43.168181,6.261977
0.050000,1.433560,2.394409,1.433635,2.612149,2.836041,0.538419,6.253324
0.050000,1.571249,2.389686,1.571405,2.755389,2.864803,0.575245,6.244517
0.050000,1.716122,2.383430,1.716413,2.900158,2.895375,0.611454,6.235604
0.050000,1.868242,2.375497,1.868740,3.046543,2.927712,0.646731,6.226637
0.050000,2.027676,2.365749,2.028471,3.194631,2.961752,0.680791,6.217668
0.050000,2.194491,2.354050,2.195696,3.344502,2.997421,0.713394,6.208752
0.050000,2.368759,2.340275,2.370508,3.496234,3.034639,0.744363,6.199949
0.050000,2.550555,2.324309,2.553003,3.649900,3.073319,0.773597,6.191318
0.050000,2.736504,2.306395,2.739814,3.736213,1.726268,-26.941027,6.183070
0.050000,2.923185,2.286908,2.927508,3.753891,0.353548,-27.454390,6.175374
0.050000,3.110596,2.265938,3.116089,3.771613,0.354453,0.018096,6.168233
0.050000,3.298740,2.243577,3.305557,3.789363,0.354992,0.010783,6.161647
0.050000,3.487620,2.219919,3.495913,3.807125,0.355233,0.004809,6.155616
0.050000,3.677242,2.195060,3.687158,3.824886,0.355237,0.000080,6.150140
0.050000,3.867611,2.169096,3.879290,3.842640,0.355061,-0.003506,6.145220
0.050000,4.058736,2.142124,4.072308,3.860377,0.354759,-0.006052,6.140854
0.050000,4.250626,2.114243,4.266213,3.878096,0.354376,-0.007666,6.137042
0.050000,4.443292,2.085554,4.461003,3.895794,0.353953,-0.008457,6.133784
0.050000,4.636745,2.056158,4.656677,3.913470,0.353526,-0.008532,6.131078
0.050000,4.830998,2.026157,4.853233,3.931126,0.353126,-0.007998,6.128924
0.050000,5.026066,1.995655,5.050671,3.948765,0.352778,-0.006961,6.127322
0.050000,5.221964,1.964758,5.248991,3.966390,0.352502,-0.005525,6.126271
0.050000,5.418707,1.933570,5.448191,3.984006,0.352312,-0.003794,6.125771
0.050000,5.616314,1.902200,5.648272,4.001617,0.352219,-0.001870,6.125822
0.050000,5.814800,1.870757,5.849233,4.019228,0.352226,0.000146,6.126423
0.050000,6.014184,1.839351,6.051075,4.036845,0.352334,0.002152,6.127575
0.050000,6.214483,1.808094,6.253799,4.054472,0.352536,0.004048,6.129278
0.050000,6.415716,1.777099,6.457405,4.072113,0.352823,0.005733,6.131533
0.050000,6.617900,1.746481,6.661893,4.089772,0.353178,0.007103,6.134341
