dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003621,-1.000000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014732,-1.000000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033250,-1.000000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059176,-1.000000,0.059259,0.518519,2.962963,0.000000,0.000000
0.050000,0.092510,-1.000000,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,0.133250,-1.000000,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,0.181398,-1.000000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.236954,-1.000000,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,0.299917,-1.000000,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,0.370287,-1.000000,0.370370,1.407407,2.962963,0.000000,0.000000
0.050000,0.448065,-1.000000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533250,-1.000000,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,0.625843,-1.000000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725843,-1.000000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833250,-1.000000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948065,-1.000000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.070287,-1.000000,1.070370,2.444444,2.962963,-0.000000,0.000000
0.050000,1.199917,-1.000000,1.200000,2.592593,2.962963,-0.000000,0.000000
0.050000,1.336954,-1.000000,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,1.481398,-1.000000,1.481481,2.888889,2.962963,-0.000000,0.000000
0.050000,1.633250,-1.000000,1.633333,3.037037,2.962963,0.000000,0.000000
0.050000,1.792510,-1.000000,1.792593,3.185185,2.962963,-0.000000,0.000000
0.050000,1.959176,-1.000000,1.959259,3.333333,2.962963,0.000000,0.000000
0.050000,2.133250,-1.000000,2.133333,3.481481,2.962963,0.000000,0.000000
0.050000,2.314732,-1.000000,2.314815,3.629630,2.962963,0.000000,0.000000
0.050000,2.503621,-1.000000,2.503704,3.777778,2.962963,-0.000000,0.000000
0.050000,2.699917,-1.000000,2.700000,3.925926,2.962963,0.000000,0.000000
0.050000,2.899917,-1.000000,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,3.099917,-1.000000,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,3.299917,-1.000000,3.300000,4.000000,0.000000,0.000000,0.000000
0.050000,3.499917,-1.000000,3.500000,4.000000,-0.000000,-0.000000,0.000000
0.050000,3.699917,-1.000000,3.700000,4.000000,0.000000,0.000000,0.000000
0.050000,3.899917,-1.000000,3.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.099917,-1.000000,4.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,4.299917,-1.000000,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,4.499917,-1.000000,4.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.699917,-1.000000,4.700000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.899917,-1.000000,4.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,5.099917,-1.000000,5.100000,4.000000,0.000000,0.000000,0.000000
0.050000,5.299917,-1.000000,5.300000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.499917,-1.000000,5.500000,4.000000,0.000000,0.000000,0.000000
0.050000,5.698067,-1.000000,5.698150,3.962994,-0.740126,-14.802519,0.000000
0.050000,5.890662,-1.000000,5.890745,3.851913,-2.221607,-29.629630,0.000000
0.050000,6.075851,-1.000000,6.075934,3.703765,-2.962963,-14.827111,0.000000
0.050000,6.253631,-1.000000,6.253714,3.555617,-2.962963,-0.000000,0.000000
0.050000,6.424005,-1.000000,6.424088,3.407469,-2.962963,0.000000,0.000000
