dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003523,0.304800,0.003546,0.141826,2.836521,56.730416,0.000000
0.050000,0.014160,0.304800,0.014183,0.212739,1.418260,-28.365208,0.000000
0.050000,0.031888,0.304800,0.031911,0.354565,2.836521,28.365208,0.000000
0.050000,0.056707,0.304800,0.056730,0.496391,2.836521,-0.000000,0.000000
0.050000,0.088618,0.304800,0.088641,0.638217,2.836521,-0.000000,0.000000
0.050000,0.127620,0.304800,0.127643,0.780043,2.836521,-0.000000,0.000000
0.050000,0.173714,0.304800,0.173737,0.921869,2.836521,0.000000,0.000000
0.050000,0.226899,0.304800,0.226922,1.063695,2.836521,-0.000000,0.000000
0.050000,0.287175,0.304800,0.287198,1.205521,2.836521,-0.000000,0.000000
0.050000,0.354542,0.304800,0.354565,1.347347,2.836521,-0.000000,0.000000
0.050000,0.429001,0.304800,0.429024,1.489173,2.836521,0.000000,0.000000
0.050000,0.510551,0.304800,0.510574,1.630999,2.836521,0.000000,0.000000
0.050000,0.599192,0.304800,0.599215,1.772825,2.836521,-0.000000,0.000000
0.050000,0.694925,0.304800,0.694948,1.914652,2.836521,0.000000,0.000000
0.050000,0.797748,0.304800,0.797771,2.056478,2.836521,-0.000000,0.000000
0.050000,0.907664,0.304800,0.907687,2.198304,2.836521,0.000000,0.000000
0.050000,1.024670,0.304800,1.024693,2.340130,2.836521,0.000000,0.000000
0.050000,1.148768,0.304800,1.148791,2.481956,2.836521,0.000000,0.000000
0.050000,1.272934,0.304800,1.272957,2.483312,0.027124,-56.187937,0.000000
0.050000,1.390076,0.304800,1.390099,2.342842,-2.809397,-56.730416,0.000000
0.050000,1.500126,0.304800,1.500149,2.201016,-2.836521,-0.542479,0.000000
0.050000,1.603086,0.304800,1.603109,2.059190,-2.836521,0.000000,0.000000
0.050000,1.698954,0.304800,1.698977,1.917364,-2.836521,-0.000000,0.000000
0.050000,1.787731,0.304800,1.787754,1.775538,-2.836521,-0.000000,0.000000
0.050000,1.869417,0.304800,1.869440,1.633712,-2.836521,0.000000,0.000000
0.050000,1.944011,0.304800,1.944034,1.491886,-2.836521,-0.000000,0.000000
0.050000,2.011514,0.304800,2.011537,1.350060,-2.836521,0.000000,0.000000
0.050000,2.071926,0.304800,2.071949,1.208234,-2.836521,-0.000000,0.000000
0.050000,2.125246,0.304800,2.125269,1.066408,-2.836521,0.000000,0.000000
0.050000,2.171475,0.304800,2.171498,0.924582,-2.836521,-0.000000,0.000000
0.050000,2.210613,0.304800,2.210636,0.782756,-2.836521,0.000000,0.000000
0.050000,2.242659,0.304800,2.242682,0.640930,-2.836521,0.000000,0.000000
0.050000,2.267614,0.304800,2.267637,0.499104,-2.836521,0.000000,0.000000
0.050000,2.285478,0.304800,2.285501,0.357277,-2.836521,-0.000000,0.000000
0.050000,2.296251,0.304800,2.296274,0.215451,-2.836521,0.000000,0.000000
0.050000,2.299932,0.304800,2.299955,0.073625,-2.836521,-0.000000,0.000000
0.050000,2.300000,0.304800,2.300023,0.001356,-1.445384,27.822729,0.000000
0.050000,2.300000,0.304800,2.300023,0.000000,-0.027124,28.365208,0.000000
