dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003565,-0.304800,0.003594,0.143777,2.875544,57.510887,0.000000
0.050000,0.014349,-0.304800,0.014378,0.215666,1.437772,-28.755444,0.000000
0.050000,0.032321,-0.304800,0.032350,0.359443,2.875544,28.755444,0.000000
0.050000,0.057482,-0.304800,0.057511,0.503220,2.875544,-0.000000,0.000000
0.050000,0.089832,-0.304800,0.089861,0.646997,2.875544,-0.000000,0.000000
0.050000,0.129370,-0.304800,0.129399,0.790775,2.875544,-0.000000,0.000000
0.050000,0.176098,-0.304800,0.176127,0.934552,2.875544,0.000000,0.000000
0.050000,0.230015,-0.304800,0.230044,1.078329,2.875544,0.000000,0.000000
0.050000,0.291120,-0.304800,0.291149,1.222106,2.875544,-0.000000,0.000000
0.050000,0.359414,-0.304800,0.359443,1.365884,2.875544,-0.000000,0.000000
0.050000,0.434897,-0.304800,0.434926,1.509661,2.875544,-0.000000,0.000000
0.050000,0.517569,-0.304800,0.517598,1.653438,2.875544,0.000000,0.000000
0.050000,0.607430,-0.304800,0.607459,1.797215,2.875544,0.000000,0.000000
0.050000,0.704479,-0.304800,0.704508,1.940992,2.875544,-0.000000,0.000000
0.050000,0.808718,-0.304800,0.808747,2.084770,2.875544,0.000000,0.000000
0.050000,0.920145,-0.304800,0.920174,2.228547,2.875544,0.000000,0.000000
0.050000,1.038761,-0.304800,1.038790,2.372324,2.875544,0.000000,0.000000
0.050000,1.164566,-0.304800,1.164595,2.516101,2.875544,-0.000000,0.000000
0.050000,1.297560,-0.304800,1.297589,2.659879,2.875544,0.000000,0.000000
0.050000,1.437743,-0.304800,1.437772,2.803656,2.875544,-0.000000,0.000000
0.050000,1.578538,-0.304800,1.578567,2.815898,0.244846,-52.613958,0.000000
0.050000,1.712756,-0.304800,1.712785,2.684363,-2.630698,-57.510887,0.000000
0.050000,1.839786,-0.304800,1.839815,2.540586,-2.875544,-4.896929,0.000000
0.050000,1.959626,-0.304800,1.959655,2.396809,-2.875544,-0.000000,0.000000
0.050000,2.072278,-0.304800,2.072307,2.253032,-2.875544,0.000000,0.000000
0.050000,2.177740,-0.304800,2.177769,2.109254,-2.875544,0.000000,0.000000
0.050000,2.276014,-0.304800,2.276043,1.965477,-2.875544,-0.000000,0.000000
0.050000,2.367099,-0.304800,2.367128,1.821700,-2.875544,0.000000,0.000000
0.050000,2.450995,-0.304800,2.451024,1.677923,-2.875544,-0.000000,0.000000
0.050000,2.527703,-0.304800,2.527732,1.534145,-2.875544,0.000000,0.000000
0.050000,2.597221,-0.304800,2.597250,1.390368,-2.875544,-0.000000,0.000000
0.050000,2.659550,-0.304800,2.659579,1.246591,-2.875544,0.000000,0.000000
0.050000,2.714691,-0.304800,2.714720,1.102814,-2.875544,-0.000000,0.000000
0.050000,2.762643,-0.304800,2.762672,0.959037,-2.875544,0.000000,0.000000
0.050000,2.803406,-0.304800,2.803435,0.815259,-2.875544,-0.000000,0.000000
0.050000,2.836980,-0.304800,2.837009,0.671482,-2.875544,-0.000000,0.000000
0.050000,2.863365,-0.304800,2.863394,0.527705,-2.875544,0.000000,0.000000
0.050000,2.882562,-0.304800,2.882591,0.383928,-2.875544,-0.000000,0.000000
0.050000,2.894569,-0.304800,2.894598,0.240150,-2.875544,0.000000,0.000000
0.050000,2.899388,-0.304800,2.899417,0.096373,-2.875544,-0.000000,0.000000
0.050000,2.900000,-0.304800,2.900029,0.012242,-1.682619,23.858515,0.000000
0.050000,2.900000,-0.304800,2.900029,0.000000,-0.244846,28.755444,0.000000
