dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000089,11.000000,0.000199,0.019900,0.995025,49.751244,0.000010
0.020000,10.000806,11.000000,0.000915,0.035820,0.795990,-9.951731,0.000090
0.020000,10.002417,11.000000,0.002527,0.080592,2.238595,72.130240,0.000269
0.020000,10.005104,11.000001,0.005213,0.134310,2.685871,22.363819,0.000568
0.020000,10.008864,11.000004,0.008974,0.188011,2.685067,-0.040218,0.000986
0.020000,10.013698,11.000010,0.013807,0.241690,2.683938,-0.056439,0.001526
0.020000,10.019604,11.000021,0.019714,0.295339,2.682482,-0.072794,0.002186
0.020000,10.026583,11.000039,0.026693,0.348953,2.680696,-0.089317,0.002968
0.020000,10.034634,11.000067,0.034744,0.402525,2.678575,-0.106059,0.003873
0.020000,10.043755,11.000107,0.043865,0.456047,2.676113,-0.123083,0.004901
0.020000,10.053945,11.000163,0.054055,0.509513,2.673306,-0.140364,0.006054
0.020000,10.065203,11.000238,0.065313,0.562916,2.670146,-0.158003,0.007333
0.020000,10.077527,11.000337,0.077638,0.616249,2.666626,-0.175991,0.008740
0.020000,10.090917,11.000464,0.091028,0.669503,2.662736,-0.194507,0.010275
0.020000,10.105369,11.000625,0.105482,0.722673,2.658469,-0.213353,0.011941
0.020000,10.120883,11.000824,0.120997,0.775749,2.653812,-0.232820,0.013739
0.020000,10.137456,11.001068,0.137571,0.828724,2.648755,-0.252861,0.015672
0.020000,10.155085,11.001362,0.155203,0.881590,2.643286,-0.273441,0.017742
0.020000,10.173769,11.001715,0.173890,0.934338,2.637391,-0.294791,0.019951
0.020000,10.193503,11.002132,0.193629,0.986959,2.631055,-0.316805,0.022301
0.020000,10.214287,11.002621,0.214418,1.039444,2.624262,-0.339630,0.024796
0.020000,10.236115,11.003191,0.236254,1.091784,2.616996,-0.363295,0.027438
0.020000,10.258985,11.003851,0.259133,1.143969,2.609238,-0.387887,0.030230
0.020000,10.282892,11.004609,0.283053,1.195988,2.600970,-0.413419,0.033176
0.020000,10.307834,11.005475,0.308009,1.247831,2.592170,-0.440005,0.036279
0.020000,10.333805,11.006460,0.333999,1.299488,2.582816,-0.467706,0.039543
0.020000,10.360801,11.007575,0.361018,1.350945,2.572885,-0.496546,0.042972
0.020000,10.388817,11.008830,0.389062,1.402192,2.562351,-0.526697,0.046570
0.020000,10.417847,11.010237,0.418126,1.453216,2.551189,-0.558102,0.050341
0.020000,10.447886,11.011810,0.448206,1.504004,2.539369,-0.590979,0.054291
0.020000,10.478927,11.013561,0.479297,1.554541,2.526863,-0.625300,0.058424
0.020000,10.510965,11.015505,0.511393,1.604814,2.513640,-0.661172,0.062746
0.020000,10.543991,11.017654,0.544489,1.654807,2.499665,-0.698752,0.067262
0.020000,10.577998,11.020025,0.578580,1.704505,2.484905,-0.737976,0.071977
0.020000,10.612979,11.022634,0.613657,1.753892,2.469323,-0.779091,0.076899
0.020000,10.648924,11.025496,0.649716,1.802949,2.452883,-0.822019,0.082034
0.020000,10.685825,11.028629,0.686750,1.851660,2.435543,-0.866993,0.087389
0.020000,10.723671,11.032051,0.724750,1.900005,2.417264,-0.913958,0.092971
0.020000,10.762451,11.035781,0.763709,1.947965,2.398003,-0.963028,0.098788
0.020000,10.802155,11.039837,0.803619,1.995520,2.377717,-1.014305,0.104848
0.020000,10.842770,11.044240,0.844472,2.042647,2.356362,-1.067774,0.111159
0.020000,10.884283,11.049012,0.886259,2.089325,2.333892,-1.123476,0.117730
0.020000,10.926680,11.054173,0.928969,2.135530,2.310262,-1.181495,0.124572
0.020000,10.969948,11.059747,0.972594,2.181239,2.285428,-1.241738,0.131693
0.020000,11.014069,11.065757,1.017123,2.226426,2.259344,-1.304203,0.139105
0.020000,11.059027,11.072228,1.062544,2.271065,2.231967,-1.368851,0.146818
0.020000,11.104804,11.079185,1.108847,2.315130,2.203257,-1.435483,0.154844
0.020000,11.151380,11.086654,1.156018,2.358593,2.173175,-1.504077,0.163194
0.020000,11.198737,11.094662,1.204047,2.401427,2.141691,-1.574223,0.171882
0.020000,11.246850,11.103238,1.252919,2.443603,2.108775,-1.645791,0.180920
0.020000,11.295699,11.112410,1.302621,2.485091,2.074410,-1.718263,0.190322
0.020000,11.345257,11.122208,1.353138,2.525863,2.038586,-1.791212,0.200104
0.020000,11.395498,11.132663,1.404456,2.565889,2.001306,-1.863973,0.210278
0.020000,11.446395,11.143807,1.456559,2.605141,1.962589,-1.935846,0.220862
0.020000,11.497918,11.155672,1.509431,2.643590,1.922473,-2.005832,0.231870
0.020000,11.550036,11.168292,1.563055,2.681210,1.881016,-2.072842,0.243320
