dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000109,9.000000,0.000199,0.019900,0.995025,49.751244,0.000010
0.020000,10.000985,9.000000,0.001075,0.043782,1.194060,9.951735,0.000090
0.020000,10.002955,9.000000,0.003045,0.098512,2.736529,77.123490,0.000269
0.020000,10.006239,9.000002,0.006329,0.164198,3.284278,27.387420,0.000568
0.020000,10.010837,9.000005,0.010927,0.229899,3.285082,0.040210,0.000986
0.020000,10.016749,9.000013,0.016839,0.295624,3.286211,0.056430,0.001526
0.020000,10.023977,9.000026,0.024067,0.361377,3.287666,0.072787,0.002186
0.020000,10.032520,9.000048,0.032610,0.427166,3.289453,0.089325,0.002968
0.020000,10.042380,9.000082,0.042470,0.492998,3.291574,0.106072,0.003873
0.020000,10.053557,9.000131,0.053648,0.558878,3.294035,0.123042,0.004901
0.020000,10.066053,9.000199,0.066144,0.624815,3.296842,0.140355,0.006054
0.020000,10.079869,9.000292,0.079960,0.690815,3.300002,0.157985,0.007333
0.020000,10.095007,9.000414,0.095098,0.756886,3.303523,0.176040,0.008740
0.020000,10.111467,9.000570,0.111559,0.823034,3.307411,0.194397,0.010275
0.020000,10.129251,9.000768,0.129344,0.889267,3.311679,0.213404,0.011941
0.020000,10.148361,9.001013,0.148456,0.955594,3.316335,0.232810,0.013739
0.020000,10.168799,9.001314,0.168896,1.022022,3.321391,0.252782,0.015672
0.020000,10.190568,9.001677,0.190668,1.088559,3.326860,0.273477,0.017742
0.020000,10.213668,9.002113,0.213772,1.155214,3.332755,0.294728,0.019951
0.020000,10.238102,9.002629,0.238212,1.221996,3.339090,0.316790,0.022301
0.020000,10.263873,9.003236,0.263990,1.288914,3.345883,0.339608,0.024796
0.020000,10.290984,9.003944,0.291110,1.355977,3.353148,0.363277,0.027438
0.020000,10.319436,9.004765,0.319573,1.423195,3.360905,0.387829,0.030230
0.020000,10.349232,9.005709,0.349385,1.490578,3.369173,0.413389,0.033176
0.020000,10.380376,9.006791,0.380548,1.558138,3.377972,0.439966,0.036279
0.020000,10.412871,9.008024,0.413065,1.625884,3.387325,0.467637,0.039543
0.020000,10.446718,9.009421,0.446942,1.693829,3.397255,0.496532,0.042972
0.020000,10.481923,9.010998,0.482182,1.761985,3.407787,0.526600,0.046570
0.020000,10.518487,9.012771,0.518789,1.830364,3.418949,0.558085,0.050341
0.020000,10.556415,9.014757,0.556769,1.898979,3.430767,0.590886,0.054291
0.020000,10.595709,9.016974,0.596125,1.967845,3.443271,0.625219,0.058424
0.020000,10.636374,9.019440,0.636865,2.036975,3.456494,0.661133,0.062746
0.020000,10.678413,9.022177,0.678993,2.106384,3.470466,0.698612,0.067262
0.020000,10.721829,9.025204,0.722514,2.176088,3.485224,0.737926,0.071977
0.020000,10.766627,9.028545,0.767436,2.246104,3.500803,0.778946,0.076899
0.020000,10.812809,9.032222,0.813765,2.316449,3.517242,0.821955,0.082034
0.020000,10.860381,9.036261,0.861508,2.387141,3.534579,0.866830,0.087389
0.020000,10.909345,9.040689,0.910672,2.458198,3.552855,0.913811,0.092971
0.020000,10.959706,9.045532,0.961265,2.529640,3.572113,0.962906,0.098788
0.020000,11.011466,9.050820,1.013295,2.601488,3.592396,1.014119,0.104848
0.020000,11.064630,9.056584,1.066770,2.673763,3.613747,1.067580,0.111159
0.020000,11.119200,9.062856,1.121700,2.746487,3.636214,1.123315,0.117730
0.020000,11.175181,9.069671,1.178094,2.819684,3.659839,1.181249,0.124572
0.020000,11.232574,9.077065,1.235961,2.893377,3.684668,1.241488,0.131693
0.020000,11.291383,9.085076,1.295313,2.967592,3.710748,1.303953,0.139105
0.020000,11.351609,9.093745,1.356160,3.042355,3.738118,1.368530,0.146818
0.020000,11.413255,9.103113,1.418514,3.117691,3.766823,1.435221,0.154844
0.020000,11.476322,9.113227,1.482386,3.193629,3.796896,1.503667,0.163194
0.020000,11.540810,9.124133,1.547790,3.270197,3.828374,1.573883,0.171882
0.020000,11.606720,9.135880,1.614739,3.347422,3.861280,1.645336,0.180920
0.020000,11.674050,9.148523,1.683245,3.425335,3.895636,1.717803,0.190322
0.020000,11.742798,9.162116,1.753325,3.503964,3.931450,1.790694,0.200104
0.020000,11.812962,9.176717,1.824992,3.583338,3.968719,1.863449,0.210278
0.020000,11.884536,9.192389,1.898261,3.663487,4.007423,1.935216,0.220862
0.020000,11.957514,9.209195,1.973150,3.744437,4.047527,2.005157,0.231870
0.020000,12.031889,9.227205,2.049674,3.826217,4.088969,2.072102,0.243320
0.020000,12.107650,9.246490,2.127851,3.908850,4.131664,2.134744,0.255229
0.020000,12.184785,9.267126,2.207699,3.992360,4.175492,2.191402,0.267614
0.020000,12.263278,9.289191,2.289234,4.076766,4.220298,2.240335,0.280493
0.020000,12.343111,9.312768,2.372476,4.162083,4.265883,2.279243,0.293885
0.020000,12.424262,9.337944,2.457442,4.248323,4.311998,2.305719,0.307807
0.020000,12.506704,9.364810,2.544152,4.335490,4.358333,2.316789,0.322279
0.020000,12.590409,9.393460,2.632623,4.423580,4.404520,2.309314,0.337319
0.020000,12.675339,9.423992,2.722875,4.512583,4.450109,2.279468,0.352944
0.020000,12.761454,9.456507,2.814925,4.602474,4.494578,2.223456,0.369174
0.020000,12.848707,9.491112,2.908789,4.693220,4.537312,2.136696,0.386024
0.020000,12.937043,9.527914,3.004484,4.784773,4.577604,2.014610,0.403512
0.020000,13.026177,9.566923,3.101781,4.864819,4.002300,-28.765187,0.421606
0.020000,13.115597,9.608029,3.200197,4.920788,2.798448,-60.192617,0.440222
0.020000,13.204793,9.651085,3.299240,4.952198,1.570501,-61.397355,0.459267
0.020000,13.293479,9.696017,3.398660,4.970955,0.937849,-31.632611,0.478688
0.020000,13.381590,9.742851,3.498444,4.989201,0.912340,-1.275452,0.498474
0.020000,13.469055,9.791606,3.598580,5.006829,0.881406,-1.546706,0.518612
0.020000,13.555805,9.842298,3.699055,5.023727,0.844876,-1.826466,0.539088
0.020000,13.641764,9.894936,3.799850,5.039780,0.802646,-2.111520,0.559886
0.020000,13.726855,9.949527,3.900948,5.054874,0.754687,-2.397945,0.580985
0.020000,13.811001,10.006069,4.002326,5.068895,0.701056,-2.681541,0.602365
0.020000,13.894120,10.064556,4.103960,5.081733,0.641904,-2.957628,0.624002
0.020000,13.976134,10.124974,4.205826,5.093282,0.577477,-3.221348,0.645869
0.020000,14.056962,10.187303,4.307895,5.103445,0.508124,-3.467653,0.667940
0.020000,14.136524,10.251518,4.410137,5.112131,0.434291,-3.691620,0.690185
