dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.000099,25,4.54152E-05,0.014925,0.746269,37.313433,0
0.02,0.000696,25,0.0002273808,0.029851,0.746269,0,0
0.02,0.00189,25,0.000591312,0.059701,1.492537,37.313433,0
0.02,0.003681,25,0.0011372088,0.089552,1.492537,0,0
0.02,0.006069,25,0.0018650712,0.119403,1.492537,0,0
0.02,0.009054,25,0.0027748992,0.149254,1.492537,0,0
0.02,0.012637,25,0.0038669976,0.179104,1.492537,0,0
0.02,0.016816,25,0.0051407568,0.208955,1.492537,0,0
0.02,0.021592,25,0.0065964816,0.238806,1.492537,0,0
0.02,0.026965,25,0.008234172,0.268657,1.492537,0,0
0.02,0.032935,25,0.010053828,0.298507,1.492537,0,0
0.02,0.039502,25,0.0120554496,0.328358,1.492537,0,0
0.02,0.046666,25,0.0142390368,0.358209,1.492537,0,0
0.02,0.054428,25,0.0166048944,0.38806,1.492537,0,0
0.02,0.062786,25,0.0191524128,0.41791,1.492537,0,0
0.02,0.071741,25,0.0218818968,0.447761,1.492537,0,0
0.02,0.081293,25,0.0247933464,0.477612,1.492537,0,0
0.02,0.091443,25,0.0278870664,0.507463,1.492537,0,0
0.02,0.102189,25,0.0311624472,0.537313,1.492537,0,0
0.02,0.113532,25,0.0346197936,0.567164,1.492537,0,0
0.02,0.125472,25,0.0382591056,0.597015,1.492537,0,0
0.02,0.13801,25,0.042080688,0.626866,1.492537,0,0
0.02,0.151144,25,0.0460839312,0.656716,1.492537,0,0
0.02,0.164875,25,0.05026914,0.686567,1.492537,0,0
0.02,0.179204,25,0.0546366192,0.716418,1.492537,0,0
0.02,0.194129,25,0.0591857592,0.746269,1.492537,0,0
0.02,0.209651,25,0.0639168648,0.776119,1.492537,0,0
0.02,0.225771,25,0.0688302408,0.80597,1.492537,0,0
0.02,0.242487,25,0.0739252776,0.835821,1.492537,0,0
0.02,0.259801,25,0.0792025848,0.865672,1.492537,0,0
0.02,0.277711,25,0.0846615528,0.895522,1.492537,0,0
0.02,0.296219,25,0.0903027912,0.925373,1.492537,0,0
0.02,0.315323,25,0.0961256904,0.955224,1.492537,0,0
0.02,0.335025,25,0.10213086,0.985075,1.492537,0,0
0.02,0.355323,25,0.1083176904,1.014925,1.492537,0,0
0.02,0.376219,25,0.1146867912,1.044776,1.492537,0,0
0.02,0.397711,25,0.1212375528,1.074627,1.492537,0,0
