dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003654,23.304800,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014765,23.304800,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033283,23.304800,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059209,23.304800,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092543,23.304800,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,0.133283,23.304800,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,0.181431,23.304800,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.236987,23.304800,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,0.299950,23.304800,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,0.370320,23.304800,0.370370,1.407407,2.962963,0.000000,0.000000
0.050000,0.448098,23.304800,0.448148,1.555556,2.962963,-0.000000,0.000000
0.050000,0.533283,23.304800,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,0.625876,23.304800,0.625926,1.851852,2.962963,-0.000000,0.000000
0.050000,0.725876,23.304800,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833283,23.304800,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948098,23.304800,0.948148,2.296296,2.962963,0.000000,0.000000
0.050000,1.070320,23.304800,1.070370,2.444444,2.962963,-0.000000,0.000000
0.050000,1.199950,23.304800,1.200000,2.592593,2.962963,-0.000000,0.000000
0.050000,1.336987,23.304800,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,1.481431,23.304800,1.481481,2.888889,2.962963,-0.000000,0.000000
0.050000,1.633283,23.304800,1.633333,3.037037,2.962963,0.000000,0.000000
0.050000,1.792543,23.304800,1.792593,3.185185,2.962963,-0.000000,0.000000
0.050000,1.959209,23.304800,1.959259,3.333333,2.962963,-0.000000,0.000000
0.050000,2.133283,23.304800,2.133333,3.481481,2.962963,0.000000,0.000000
0.050000,2.314765,23.304800,2.314815,3.629630,2.962963,-0.000000,0.000000
0.050000,2.503654,23.304800,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,2.699950,23.304800,2.700000,3.925926,2.962963,0.000000,0.000000
0.050000,2.899950,23.304800,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,3.099950,23.304800,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,3.299950,23.304800,3.300000,4.000000,0.000000,0.000000,0.000000
0.050000,3.499950,23.304800,3.500000,4.000000,-0.000000,-0.000000,0.000000
0.050000,3.699950,23.304800,3.700000,4.000000,0.000000,0.000000,0.000000
0.050000,3.899950,23.304800,3.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.099950,23.304800,4.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,4.299950,23.304800,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,4.499950,23.304800,4.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.699950,23.304800,4.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,4.899950,23.304800,4.900000,4.000000,0.000000,0.000000,0.000000
0.050000,5.098235,23.305060,5.098286,3.965711,-0.685770,-13.715409,0.005355
0.050000,5.294656,23.307239,5.294718,3.928654,-0.741150,-1.107600,0.017055
0.050000,5.490611,23.311840,5.490727,3.920178,-0.169526,11.432482,0.030144
0.050000,5.686024,23.319134,5.686276,3.910980,-0.183952,-0.288516,0.044742
0.050000,5.880801,23.329412,5.881324,3.900957,-0.200463,-0.330223,0.060982
0.050000,6.074826,23.342984,6.075824,3.889992,-0.219291,-0.376547,0.079019
0.050000,6.267959,23.360189,6.269722,3.877959,-0.240666,-0.427514,0.099028
0.050000,6.460029,23.381387,6.462958,3.864719,-0.264803,-0.482736,0.121207
0.050000,6.650828,23.406967,6.655464,3.850126,-0.291860,-0.541136,0.145777
0.050000,6.840107,23.437346,6.847165,3.834032,-0.321887,-0.600548,0.172983
0.050000,7.027568,23.472966,7.037980,3.816294,-0.354745,-0.657150,0.203095
0.050000,7.212855,23.514293,7.227820,3.796795,-0.389980,-0.704696,0.236401
0.050000,7.395548,23.561815,7.416593,3.775462,-0.426660,-0.733598,0.273199
0.050000,7.575160,23.616029,7.604208,3.752304,-0.463156,-0.729936,0.313789
0.050000,7.751127,23.677434,7.790581,3.727460,-0.496897,-0.674805,0.358447
0.050000,7.922814,23.746511,7.975644,3.701253,-0.524128,-0.544624,0.407393
0.050000,8.089521,23.823708,8.159357,3.674263,-0.539806,-0.313573,0.460756
0.050000,8.250496,23.909414,8.341726,3.647374,-0.537781,0.040503,0.518518
0.050000,8.404962,24.003932,8.522816,3.621799,-0.511490,0.525818,0.580464
0.050000,8.552151,24.107460,8.702767,3.599033,-0.455330,1.123211,0.646133
0.050000,8.691338,24.220068,8.881802,3.580703,-0.366597,1.774659,0.714800
0.050000,8.821883,24.341684,9.060219,3.568330,-0.247460,2.382748,0.785490
0.050000,8.943259,24.472090,9.238370,3.563031,-0.105983,2.829523,0.857047
0.050000,9.055081,24.610920,9.416634,3.565266,0.044703,3.013718,0.928238
0.050000,9.155423,24.755056,9.592257,3.512471,-1.055890,-22.011858,0.996690
0.050000,9.243081,24.900616,9.762175,3.398343,-2.282563,-24.533456,1.060321
0.050000,9.319018,25.046114,9.926296,3.282436,-2.318137,-0.711473,1.118680
0.050000,9.384352,25.190350,10.084640,3.166865,-2.311433,0.134069,1.171711
0.050000,9.440197,25.332271,10.237153,3.050262,-2.332059,-0.412512,1.219581
0.050000,9.487624,25.470975,10.383741,2.931776,-2.369718,-0.753171,1.262595
0.050000,9.527641,25.605707,10.524290,2.810966,-2.416199,-0.929621,1.301133
0.050000,9.561180,25.735838,10.658674,2.687682,-2.465674,-0.989518,1.335599
0.050000,9.589090,25.860859,10.786772,2.561962,-2.514398,-0.974465,1.366392
0.050000,9.612136,25.980355,10.908470,2.433953,-2.560195,-0.915936,1.393884
0.050000,9.631003,26.093992,11.023662,2.303854,-2.601977,-0.835658,1.418419
0.050000,9.646300,26.201503,11.132257,2.171886,-2.639352,-0.747488,1.440302
0.050000,9.658567,26.302676,11.234170,2.038269,-2.672338,-0.659718,1.459803
0.050000,9.668280,26.397339,11.329331,1.903210,-2.701180,-0.576839,1.477159
0.050000,9.675858,26.485358,11.417676,1.766899,-2.726229,-0.500995,1.492573
0.050000,9.681666,26.566626,11.499151,1.629505,-2.747873,-0.432880,1.506225
0.050000,9.686027,26.641058,11.573710,1.491181,-2.766492,-0.372378,1.518265
0.050000,9.689218,26.708585,11.641313,1.352059,-2.782440,-0.318943,1.528825
0.050000,9.691482,26.769156,11.701926,1.212257,-2.796031,-0.271822,1.538016
0.050000,9.693025,26.822728,11.755520,1.071880,-2.807542,-0.230220,1.545933
0.050000,9.694026,26.869268,11.802071,0.931020,-2.817208,-0.193334,1.552654
0.050000,9.694631,26.908751,11.841559,0.789758,-2.825229,-0.160415,1.558246
0.050000,9.694965,26.941158,11.873967,0.648170,-2.831768,-0.130784,1.562762
0.050000,9.695124,26.966474,11.899283,0.506322,-2.836959,-0.103813,1.566244
0.050000,9.695184,26.984687,11.917497,0.364277,-2.840905,-0.078931,1.568726
0.050000,9.695199,26.995792,11.928602,0.222092,-2.843688,-0.055644,1.570229
0.050000,9.695200,26.999783,11.932593,0.079824,-2.845361,-0.033459,1.570767
0.050000,9.695200,27.000000,11.932810,0.004338,-1.509725,26.712710,1.570796
0.050000,9.695200,27.000000,11.932810,0.000000,-0.086758,28.459352,1.570796
