dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003654,22.695200,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014765,22.695200,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033283,22.695200,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059209,22.695200,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092543,22.695200,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,0.133283,22.695200,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,0.181431,22.695200,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.236987,22.695200,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,0.299950,22.695200,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,0.370320,22.695200,0.370370,1.407407,2.962963,0.000000,0.000000
0.050000,0.448098,22.695200,0.448148,1.555556,2.962963,-0.000000,0.000000
0.050000,0.533283,22.695200,0.533333,1.703704,2.962963,-0.000000,0.000000
0.050000,0.625876,22.695200,0.625926,1.851852,2.962963,-0.000000,0.000000
0.050000,0.725876,22.695200,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833283,22.695200,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948098,22.695200,0.948148,2.296296,2.962963,0.000000,0.000000
0.050000,1.070320,22.695200,1.070370,2.444444,2.962963,-0.000000,0.000000
0.050000,1.199950,22.695200,1.200000,2.592593,2.962963,-0.000000,0.000000
0.050000,1.336987,22.695200,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,1.481431,22.695200,1.481481,2.888889,2.962963,-0.000000,0.000000
0.050000,1.633283,22.695200,1.633333,3.037037,2.962963,0.000000,0.000000
0.050000,1.792543,22.695200,1.792593,3.185185,2.962963,-0.000000,0.000000
0.050000,1.959209,22.695200,1.959259,3.333333,2.962963,-0.000000,0.000000
0.050000,2.133283,22.695200,2.133333,3.481481,2.962963,0.000000,0.000000
0.050000,2.314765,22.695200,2.314815,3.629630,2.962963,-0.000000,0.000000
0.050000,2.503654,22.695200,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,2.699950,22.695200,2.700000,3.925926,2.962963,0.000000,0.000000
0.050000,2.899950,22.695200,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,3.099950,22.695200,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,3.299950,22.695200,3.300000,4.000000,0.000000,0.000000,0.000000
0.050000,3.499950,22.695200,3.500000,4.000000,-0.000000,-0.000000,0.000000
0.050000,3.699950,22.695200,3.700000,4.000000,0.000000,0.000000,0.000000
0.050000,3.899950,22.695200,3.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.099950,22.695200,4.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,4.299950,22.695200,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,4.499950,22.695200,4.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,4.699950,22.695200,4.700000,4.000000,-0.000000,-0.000000,0.000000
0.050000,4.899950,22.695200,4.900000,4.000000,0.000000,0.000000,0.000000
0.050000,5.101500,22.695469,5.101550,4.030997,0.619934,12.398690,0.005355
0.050000,5.305052,22.697728,5.305115,4.071300,0.806074,3.722786,0.017055
0.050000,5.508984,22.702517,5.509103,4.079765,0.169297,-12.735540,0.030144
0.050000,5.713289,22.710144,5.713551,4.088949,0.183674,0.287542,0.044742
0.050000,5.917952,22.720945,5.918498,4.098955,0.200126,0.329034,0.060982
0.050000,6.122946,22.735287,6.123993,4.109899,0.218880,0.375089,0.079019
0.050000,6.328228,22.753575,6.330089,4.121908,0.240166,0.425724,0.099028
0.050000,6.533736,22.776259,6.536845,4.135117,0.264193,0.480535,0.121207
0.050000,6.739379,22.803833,6.744328,4.149673,0.291115,0.538437,0.145777
0.050000,6.945033,22.836844,6.952614,4.165722,0.320977,0.597250,0.172983
0.050000,7.150526,22.875895,7.161784,4.183404,0.353635,0.653147,0.203095
0.050000,7.355626,22.921648,7.371926,4.202835,0.388630,0.699898,0.236401
0.050000,7.560027,22.974823,7.583131,4.224086,0.425027,0.727946,0.273199
0.050000,7.763322,23.036195,7.795488,4.247146,0.461200,0.723463,0.313789
0.050000,7.964987,23.106578,8.009082,4.271876,0.494585,0.667695,0.358447
0.050000,8.164348,23.186803,8.223979,4.297948,0.521450,0.537313,0.407393
0.050000,8.360564,23.277680,8.440218,4.324788,0.536793,0.306842,0.460756
0.050000,8.552610,23.379943,8.657794,4.351514,0.534520,-0.045453,0.518518
0.050000,8.739274,23.494179,8.876640,4.376921,0.508149,-0.527423,0.580464
0.050000,8.919194,23.620744,9.096617,4.399529,0.452158,-1.119807,0.646133
0.050000,9.090911,23.759683,9.317503,4.417725,0.363909,-1.764991,0.714800
0.050000,9.252975,23.910672,9.539003,4.430003,0.245577,-2.366634,0.785490
0.050000,9.404063,24.073002,9.760766,4.435261,0.105161,-2.808333,0.857047
0.050000,9.543106,24.245620,9.982418,4.433044,-0.044354,-2.990290,0.928238
0.050000,9.667291,24.423991,10.199762,4.346877,-1.723333,-33.579589,0.996690
0.050000,9.774965,24.602770,10.408462,4.173998,-3.457574,-34.684821,1.060321
0.050000,9.867368,24.779798,10.608155,3.993854,-3.602886,-2.906232,1.118680
0.050000,9.946048,24.953474,10.798822,3.813344,-3.610196,-0.146205,1.171711
0.050000,10.012585,25.122544,10.980513,3.633831,-3.590270,0.398528,1.219581
0.050000,10.068501,25.286056,11.153322,3.456166,-3.553293,0.739544,1.262595
0.050000,10.115211,25.443305,11.317362,3.280795,-3.507417,0.917514,1.301133
0.050000,10.153997,25.593780,11.472755,3.107873,-3.458449,0.979368,1.335599
0.050000,10.185999,25.737120,11.619624,2.937366,-3.410136,0.966249,1.366392
0.050000,10.212221,25.873071,11.758080,2.769133,-3.364663,0.909460,1.393884
0.050000,10.233539,26.001462,11.888229,2.602976,-3.323133,0.830609,1.418419
0.050000,10.250717,26.122179,12.010163,2.438679,-3.285952,0.743609,1.440302
0.050000,10.264416,26.235153,12.123964,2.276023,-3.253116,0.656734,1.459803
0.050000,10.275210,26.340341,12.229704,2.114803,-3.224388,0.574562,1.477159
0.050000,10.283594,26.437722,12.327446,1.954832,-3.199425,0.499253,1.492573
0.050000,10.289996,26.527291,12.417243,1.795940,-3.177847,0.431549,1.506225
0.050000,10.294786,26.609049,12.499142,1.637976,-3.159280,0.371358,1.518265
0.050000,10.298281,26.683007,12.573182,1.480807,-3.143372,0.318155,1.528825
0.050000,10.300754,26.749177,12.639398,1.324317,-3.129811,0.271224,1.538016
0.050000,10.302437,26.807573,12.697818,1.168401,-3.118323,0.229757,1.545933
0.050000,10.303525,26.858209,12.748466,1.012967,-3.108674,0.192978,1.552654
0.050000,10.304183,26.901101,12.791363,0.857934,-3.100667,0.160147,1.558246
0.050000,10.304545,26.936260,12.826524,0.703227,-3.094138,0.130577,1.562762
0.050000,10.304718,26.963699,12.853963,0.548779,-3.088955,0.103654,1.566244
0.050000,10.304783,26.983425,12.873690,0.394528,-3.085014,0.078828,1.568726
0.050000,10.304799,26.995446,12.885710,0.240416,-3.082235,0.055565,1.570229
0.050000,10.304800,26.999765,12.890030,0.086388,-3.080564,0.033416,1.570767
0.050000,10.304800,27.000000,12.890264,0.004694,-1.633880,28.933684,1.570796
0.050000,10.304800,27.000000,12.890264,0.000000,-0.093885,30.799902,1.570796
