dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.003297,10.850001,0.003704,0.148148,2.962963,59.259259,0.000361
0.050000,10.013461,10.850010,0.013868,0.203281,1.102663,-37.205993,0.001475
0.050000,10.030394,10.850051,0.030801,0.338661,2.707599,32.098717,0.003340
0.050000,10.054085,10.850161,0.054492,0.473828,2.703328,-0.085428,0.005969
0.050000,10.084519,10.850394,0.084927,0.608691,2.697259,-0.121383,0.009379
0.050000,10.121674,10.850821,0.122085,0.743156,2.689301,-0.159157,0.013594
0.050000,10.165525,10.851528,0.165941,0.877122,2.679334,-0.199342,0.018644
0.050000,10.216037,10.852619,0.216465,1.010483,2.667205,-0.242566,0.024563
0.050000,10.273171,10.854217,0.273621,1.143119,2.652730,-0.289514,0.031395
0.050000,10.336876,10.856465,0.337366,1.274903,2.635682,-0.340948,0.039189
0.050000,10.407094,10.859527,0.407651,1.405693,2.615798,-0.397690,0.048004
0.050000,10.483753,10.863588,0.484417,1.535331,2.592765,-0.460649,0.057908
0.050000,10.566768,10.868860,0.567599,1.663643,2.566225,-0.530803,0.068979
0.050000,10.656037,10.875577,0.657121,1.790431,2.535766,-0.609183,0.081305
0.050000,10.751440,10.884004,0.752895,1.915477,2.500923,-0.696854,0.094991
0.050000,10.852831,10.894435,0.854821,2.038536,2.461182,-0.794820,0.110152
0.050000,10.960041,10.907197,0.962788,2.159335,2.415985,-0.903950,0.126922
0.050000,11.072867,10.922649,1.076667,2.277573,2.364748,-1.024741,0.145451
0.050000,11.191067,10.941190,1.196313,2.392917,2.306894,-1.157073,0.165908
0.050000,11.314359,10.963255,1.321563,2.505013,2.241908,-1.299715,0.188486
0.050000,11.442407,10.989322,1.452238,2.613484,2.169425,-1.449660,0.213397
0.050000,11.574818,11.019906,1.588135,2.717953,2.089369,-1.601123,0.240876
0.050000,11.711134,11.055567,1.729038,2.818061,2.002160,-1.744185,0.271180
0.050000,11.850822,11.096902,1.874714,2.913511,1.909012,-1.862962,0.304582
0.050000,11.993272,11.144547,2.024920,3.004128,1.812339,-1.933447,0.341366
0.050000,12.137791,11.199169,2.179417,3.089942,1.716275,-1.921279,0.381815
0.050000,12.283606,11.261466,2.337983,3.171305,1.627262,-1.780279,0.426189
0.050000,12.427260,11.330814,2.497500,3.190343,0.380752,-24.930198,0.473798
0.050000,12.565651,11.406150,2.655067,3.151343,-0.779991,-23.214847,0.523700
0.050000,12.698513,11.487515,2.810864,3.115937,-0.708115,1.437522,0.575683
0.050000,12.825638,11.574933,2.965145,3.085627,-0.606209,2.038117,0.629448
0.050000,12.946871,11.668422,3.118239,3.061870,-0.475134,2.621490,0.684609
0.050000,13.062110,11.767992,3.270535,3.045927,-0.318858,3.125534,0.740708
