dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.003910,9.150001,0.003704,0.148148,2.962963,59.259259,0.000361
0.050000,10.015968,9.150012,0.015762,0.241163,1.860299,-22.053275,0.001475
0.050000,10.036072,9.150060,0.035866,0.402079,3.218325,27.160515,0.003340
0.050000,10.064232,9.150191,0.064026,0.563209,3.222594,0.085389,0.005969
0.050000,10.100463,9.150469,0.100258,0.724642,3.228660,0.121318,0.009379
0.050000,10.144784,9.150978,0.144582,0.886473,3.236614,0.159074,0.013594
0.050000,10.197217,9.151823,0.197022,1.048802,3.246576,0.199230,0.018644
0.050000,10.257790,9.153131,0.257609,1.211736,3.258697,0.242421,0.024563
0.050000,10.326533,9.155054,0.326379,1.375395,3.273163,0.289335,0.031395
0.050000,10.403480,9.157770,0.403374,1.539905,3.290199,0.340717,0.039189
0.050000,10.488670,9.161485,0.488644,1.705408,3.310069,0.397403,0.048004
0.050000,10.582142,9.166438,0.582247,1.872062,3.333084,0.460287,0.057908
0.050000,10.683939,9.172902,0.684249,2.040042,3.359601,0.530347,0.068979
0.050000,10.794104,9.181193,0.794727,2.209544,3.390032,0.608615,0.081305
0.050000,10.912682,9.191668,0.913766,2.380786,3.424839,0.696135,0.094991
0.050000,11.039712,9.204738,1.041467,2.554012,3.464535,0.793923,0.110152
0.050000,11.175230,9.220871,1.177941,2.729496,3.509675,0.902808,0.126922
0.050000,11.319262,9.240600,1.323318,2.907538,3.560840,1.023308,0.145451
0.050000,11.471819,9.264533,1.477742,3.088468,3.618604,1.155262,0.165908
0.050000,11.632891,9.293364,1.641374,3.272642,3.683475,1.297430,0.188486
0.050000,11.802435,9.327883,1.814395,3.460433,3.755814,1.446776,0.213397
0.050000,11.980360,9.368986,1.997006,3.652217,3.835689,1.597508,0.240876
0.050000,12.166511,9.417692,2.189424,3.848351,3.922673,1.739671,0.271180
0.050000,12.360643,9.475149,2.391880,4.049128,4.015542,1.857385,0.304582
0.050000,12.562389,9.542640,2.604616,4.254722,4.111875,1.926656,0.341366
0.050000,12.771220,9.621586,2.827871,4.465099,4.207534,1.913188,0.381815
0.050000,12.986393,9.713535,3.061866,4.679903,4.296081,1.770938,0.426189
0.050000,13.202919,9.818083,3.302312,4.808902,2.579984,-34.321948,0.473798
0.050000,13.415800,9.933993,3.544703,4.847827,0.778499,-36.029686,0.523700
0.050000,13.624007,10.061520,3.788861,4.883162,0.706700,-1.435988,0.575683
0.050000,13.826426,10.200733,4.034531,4.913409,0.604952,-2.034967,0.629448
0.050000,14.021901,10.351489,4.281387,4.937115,0.474119,-2.616648,0.684609
0.050000,14.209288,10.513406,4.529038,4.953023,0.318162,-3.119150,0.740708
