dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,10.000000,9.268000,0.000030,0.005970,0.597015,59.701493,0.000000
0.010000,10.000049,9.268000,0.000079,0.004925,-0.104478,-70.149254,0.000000
0.010000,10.000318,9.268000,0.000348,0.026866,2.194030,229.850746,0.000000
0.010000,10.000796,9.268000,0.000825,0.047761,2.089552,-10.447761,0.000000
0.010000,10.001542,9.268000,0.001572,0.074627,2.686567,59.701493,0.000000
0.010000,10.002587,9.268000,0.002616,0.104478,2.985075,29.850746,0.000000
0.010000,10.003930,9.268000,0.003960,0.134328,2.985075,-0.000000,0.000000
0.010000,10.005572,9.268000,0.005601,0.164179,2.985075,0.000000,0.000000
0.010000,10.007512,9.268000,0.007542,0.194030,2.985075,0.000000,0.000000
0.010000,10.009751,9.268000,0.009781,0.223881,2.985075,0.000000,0.000000
0.010000,10.012288,9.268000,0.012318,0.253731,2.985075,0.000000,0.000000
0.010000,10.015124,9.268000,0.015154,0.283582,2.985075,-0.000000,0.000000
0.010000,10.018258,9.268000,0.018288,0.313433,2.985075,0.000000,0.000000
0.010000,10.021691,9.268000,0.021721,0.343284,2.985075,-0.000000,0.000000
0.010000,10.025422,9.268000,0.025452,0.373134,2.985075,0.000000,0.000000
0.010000,10.029452,9.268000,0.029482,0.402985,2.985075,0.000000,0.000000
0.010000,10.033781,9.268000,0.033810,0.432836,2.985075,-0.000000,0.000000
0.010000,10.038407,9.268000,0.038437,0.462687,2.985075,0.000000,0.000000
0.010000,10.043333,9.268000,0.043363,0.492537,2.985075,-0.000000,0.000000
0.010000,10.048557,9.268000,0.048587,0.522388,2.985075,0.000000,0.000000
0.010000,10.054079,9.268000,0.054109,0.552239,2.985075,0.000000,0.000000
0.010000,10.059900,9.268000,0.059930,0.582090,2.985075,0.000000,0.000000
0.010000,10.066019,9.268000,0.066049,0.611940,2.985075,-0.000000,0.000000
0.010000,10.072437,9.268000,0.072467,0.641791,2.985075,0.000000,0.000000
0.010000,10.079154,9.268000,0.079184,0.671642,2.985075,-0.000000,0.000000
0.010000,10.086169,9.268000,0.086199,0.701493,2.985075,0.000000,0.000000
0.010000,10.093482,9.268000,0.093512,0.731343,2.985075,-0.000000,0.000000
