dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000082,6.000000,0.000149,0.014925,0.746269,37.313433,0.000027
0.020000,5.000530,6.000000,0.000597,0.022386,0.373020,-18.662423,0.000177
0.020000,5.001425,6.000000,0.001492,0.044762,1.118787,37.288348,0.000475
0.020000,5.002767,6.000001,0.002835,0.067117,1.117782,-0.050244,0.000924
0.020000,5.004556,6.000003,0.004623,0.089443,1.116271,-0.075554,0.001523
0.020000,5.006791,6.000008,0.006858,0.111728,1.114250,-0.101084,0.002274
0.020000,5.009470,6.000015,0.009537,0.133962,1.111711,-0.126928,0.003177
0.020000,5.012593,6.000027,0.012660,0.156135,1.108648,-0.153149,0.004233
0.020000,5.016157,6.000044,0.016225,0.178236,1.105051,-0.179825,0.005445
0.020000,5.020162,6.000068,0.020230,0.200254,1.100911,-0.207047,0.006813
0.020000,5.024606,6.000102,0.024673,0.222178,1.096213,-0.234898,0.008339
0.020000,5.029485,6.000147,0.029553,0.243997,1.090944,-0.263445,0.010026
0.020000,5.034799,6.000205,0.034867,0.265699,1.085087,-0.292826,0.011877
0.020000,5.040544,6.000279,0.040613,0.287271,1.078626,-0.323066,0.013892
0.020000,5.046717,6.000372,0.046787,0.308702,1.071540,-0.354316,0.016077
0.020000,5.053316,6.000485,0.053386,0.329978,1.063806,-0.386652,0.018432
0.020000,5.060336,6.000624,0.060408,0.351086,1.055403,-0.420164,0.020963
0.020000,5.067775,6.000790,0.067848,0.372012,1.046303,-0.455013,0.023672
0.020000,5.075627,6.000987,0.075703,0.392742,1.036478,-0.491232,0.026563
0.020000,5.083889,6.001219,0.083968,0.413260,1.025898,-0.529012,0.029641
0.020000,5.092556,6.001490,0.092639,0.433551,1.014529,-0.568440,0.032910
0.020000,5.101622,6.001804,0.101711,0.453597,1.002336,-0.609640,0.036376
0.020000,5.111083,6.002166,0.111179,0.473383,0.989281,-0.652769,0.040042
0.020000,5.120932,6.002580,0.121037,0.492889,0.975323,-0.697929,0.043916
0.020000,5.131163,6.003050,0.131279,0.512098,0.960416,-0.745320,0.048002
0.020000,5.141770,6.003583,0.141898,0.530988,0.944516,-0.795023,0.052308
0.020000,5.152744,6.004182,0.152889,0.549539,0.927571,-0.847236,0.056840
0.020000,5.164079,6.004854,0.164244,0.567730,0.909529,-0.902114,0.061604
0.020000,5.175765,6.005604,0.175954,0.585537,0.890333,-0.959783,0.066610
