dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000137,4.000000,0.000149,0.014925,0.746269,37.313433,0.000027
0.020000,5.000883,4.000000,0.000896,0.037316,1.119517,18.662424,0.000177
0.020000,5.002376,4.000001,0.002388,0.074641,1.866287,37.338515,0.000475
0.020000,5.004615,4.000002,0.004628,0.111987,1.867292,0.050240,0.000924
0.020000,5.007603,4.000006,0.007615,0.149363,1.868803,0.075549,0.001523
0.020000,5.011338,4.000013,0.011351,0.186780,1.870825,0.101093,0.002274
0.020000,5.015823,4.000025,0.015836,0.224247,1.873363,0.126920,0.003177
0.020000,5.021059,4.000044,0.021071,0.261776,1.876426,0.153135,0.004233
0.020000,5.027046,4.000073,0.027059,0.299376,1.880023,0.179821,0.005445
0.020000,5.033787,4.000115,0.033800,0.337059,1.884163,0.207040,0.006813
0.020000,5.041284,4.000172,0.041297,0.374837,1.888861,0.234882,0.008339
0.020000,5.049538,4.000247,0.049551,0.412719,1.894130,0.263462,0.010026
0.020000,5.058552,4.000346,0.058566,0.450719,1.899986,0.292788,0.011877
0.020000,5.068328,4.000472,0.068343,0.488848,1.906447,0.323066,0.013892
0.020000,5.078869,4.000630,0.078885,0.527119,1.913533,0.354299,0.016077
0.020000,5.090178,4.000825,0.090196,0.565544,1.921266,0.386627,0.018432
0.020000,5.102259,4.001063,0.102279,0.604137,1.929669,0.420174,0.020963
0.020000,5.115114,4.001350,0.115137,0.642913,1.938769,0.454960,0.023672
0.020000,5.128747,4.001693,0.128775,0.681884,1.948593,0.491233,0.026563
0.020000,5.143163,4.002098,0.143196,0.721068,1.959173,0.528986,0.029641
0.020000,5.158365,4.002573,0.158405,0.760479,1.970541,0.568404,0.032910
0.020000,5.174358,4.003128,0.174408,0.800133,1.982733,0.609620,0.036376
0.020000,5.191147,4.003769,0.191209,0.840049,1.995788,0.652724,0.040042
0.020000,5.208736,4.004508,0.208814,0.880244,2.009746,0.697921,0.043916
0.020000,5.227131,4.005354,0.227229,0.920737,2.024651,0.745252,0.048002
0.020000,5.246338,4.006318,0.246460,0.961548,2.040551,0.794988,0.052308
0.020000,5.266362,4.007412,0.266514,1.002698,2.057495,0.847199,0.056840
0.020000,5.287210,4.008648,0.287398,1.044209,2.075536,0.902043,0.061604
0.020000,5.308887,4.010039,0.309120,1.086103,2.094731,0.959741,0.066610
0.020000,5.331401,4.011601,0.331688,1.128406,2.115138,1.020370,0.071865
0.020000,5.354759,4.013347,0.355111,1.171143,2.136821,1.084159,0.077377
0.020000,5.378968,4.015294,0.379398,1.214340,2.159846,1.151233,0.083157
0.020000,5.404035,4.017460,0.404558,1.258025,2.184281,1.221742,0.089213
0.020000,5.429968,4.019862,0.430603,1.302229,2.210198,1.295841,0.095556
0.020000,5.456776,4.022521,0.457542,1.346983,2.237671,1.373651,0.102197
0.020000,5.484467,4.025458,0.485389,1.392318,2.266776,1.455278,0.109148
0.020000,5.513050,4.028695,0.514154,1.438270,2.297593,1.540834,0.116421
0.020000,5.542533,4.032257,0.543852,1.484874,2.330199,1.630285,0.124029
0.020000,5.572926,4.036168,0.574495,1.532167,2.364674,1.723760,0.131986
0.020000,5.604237,4.040458,0.606099,1.580189,2.401095,1.821066,0.140306
0.020000,5.636477,4.045154,0.638678,1.628980,2.439538,1.922154,0.149005
0.020000,5.669653,4.050288,0.672250,1.678582,2.480074,2.026782,0.158099
0.020000,5.703776,4.055894,0.706831,1.729037,2.522766,2.134584,0.167605
0.020000,5.738855,4.062008,0.742439,1.780390,2.567668,2.245107,0.177542
0.020000,5.774899,4.068669,0.779092,1.832687,2.614821,2.357643,0.187927
0.020000,5.811916,4.075916,0.816812,1.885972,2.664248,2.471388,0.198781
0.020000,5.849913,4.083794,0.855618,1.940291,2.715952,2.585173,0.210124
0.020000,5.888899,4.092350,0.895531,1.995689,2.769904,2.697594,0.221979
0.020000,5.928880,4.101633,0.936576,2.052209,2.826041,2.806876,0.234366
0.020000,5.969860,4.111698,0.978773,2.109895,2.884257,2.910812,0.247311
0.020000,6.011843,4.122599,1.022149,2.168782,2.944392,3.006750,0.260836
0.020000,6.054832,4.134399,1.066727,2.228907,3.006221,3.091453,0.274967
0.020000,6.098824,4.147160,1.112533,2.290296,3.069443,3.161054,0.289728
0.020000,6.143817,4.160951,1.159593,2.352969,3.133663,3.211018,0.305146
0.020000,6.189805,4.175843,1.207931,2.416937,3.198383,3.236023,0.321247
0.020000,6.236776,4.191912,1.257575,2.482196,3.262982,3.229933,0.338056
0.020000,6.284716,4.209238,1.308550,2.548730,3.326698,3.185791,0.355598
0.020000,6.333604,4.227904,1.360880,2.616503,3.388613,3.095755,0.373899
0.020000,6.383413,4.247996,1.414589,2.685455,3.447638,2.951240,0.392982
0.020000,6.434111,4.269604,1.469699,2.755505,3.502499,2.743041,0.412869
0.020000,6.485654,4.292820,1.526230,2.826540,3.551727,2.461418,0.433580
0.020000,6.537994,4.317738,1.584198,2.898413,3.593660,2.096633,0.455131
0.020000,6.591069,4.344452,1.643617,2.970942,3.626445,1.639266,0.477537
0.020000,6.644808,4.373057,1.704495,3.043903,3.648061,1.080828,0.500804
0.020000,6.699128,4.403645,1.766836,3.117030,3.656355,0.414662,0.524937
0.020000,6.753935,4.436305,1.830636,3.190012,3.649088,-0.363341,0.549933
0.020000,6.809120,4.471121,1.895886,3.262492,3.624017,-1.253560,0.575782
0.020000,6.864562,4.508170,1.962567,3.334072,3.578983,-2.251663,0.602465
0.020000,6.920126,4.547520,2.030653,3.404313,3.512032,-3.347580,0.629957
0.020000,6.975666,4.589224,2.100108,3.472743,3.421539,-4.524633,0.658220
0.020000,7.031024,4.633326,2.170886,3.538871,3.306358,-5.759048,0.687209
0.020000,7.086032,4.679849,2.242929,3.602190,3.165959,-7.019968,0.716867
0.020000,7.140514,4.728802,2.316173,3.662201,3.000558,-8.270057,0.747129
0.020000,7.194290,4.780172,2.390542,3.718425,2.811219,-9.466916,0.777918
0.020000,7.247176,4.833926,2.465950,3.770424,2.599915,-10.565199,0.809151
0.020000,7.298991,4.890010,2.542307,3.817814,2.369526,-11.519468,0.840734
0.020000,7.349558,4.948352,2.619513,3.860290,2.123778,-12.287388,0.872570
0.020000,7.398708,5.008857,2.697465,3.897632,1.867116,-12.833120,0.904556
0.020000,7.446285,5.071415,2.776060,3.929722,1.604509,-13.130355,0.936586
0.020000,7.492147,5.135900,2.855191,3.956546,1.341215,-13.164671,0.968556
0.020000,7.536169,5.202176,2.934754,3.978197,1.082518,-12.934867,1.000362
0.020000,7.578245,5.270097,3.014652,3.994866,0.833457,-12.453035,1.031905
0.020000,7.618290,5.339511,3.094789,4.006838,0.598589,-11.743410,1.063090
0.020000,7.656238,5.410266,3.175078,4.014473,0.381785,-10.840203,1.093830
0.020000,7.692046,5.482212,3.255442,4.018195,0.186094,-9.784565,1.124048
0.020000,7.725687,5.555201,3.335811,4.018469,0.013668,-8.621300,1.153674
0.020000,7.757154,5.629096,3.416127,4.015784,-0.134245,-7.395640,1.182649
0.020000,7.786456,5.703765,3.496340,4.010639,-0.257250,-6.150266,1.210924
0.020000,7.813614,5.779089,3.576410,4.003525,-0.355715,-4.923213,1.238460
0.020000,7.838664,5.854959,3.656308,3.994912,-0.430639,-3.746232,1.265226
0.020000,7.861648,5.931278,3.736013,3.985241,-0.483522,-2.644153,1.291202
0.020000,7.882619,6.007961,3.815512,3.974917,-0.516218,-1.634798,1.316374
0.020000,7.901633,6.084933,3.894798,3.964301,-0.530804,-0.729269,1.340737
0.020000,7.918752,6.162132,3.973872,3.953712,-0.529464,0.066996,1.364290
0.020000,7.934039,6.239505,4.052740,3.943424,-0.514393,0.753553,1.387041
0.020000,7.947560,6.317008,4.131414,3.933669,-0.487719,1.333660,1.409000
0.020000,7.959379,6.394606,4.209907,3.924640,-0.451453,1.813341,1.430180
0.020000,7.969560,6.472271,4.288236,3.916491,-0.407440,2.200620,1.450601
0.020000,7.978166,6.549983,4.366423,3.909344,-0.357352,2.504394,1.470282
0.020000,7.985259,6.627726,4.444489,3.903291,-0.302668,2.734228,1.489244
0.020000,7.990896,6.705490,4.522457,3.898398,-0.244677,2.899525,1.507512
0.020000,7.995133,6.783268,4.600351,3.894708,-0.184489,3.009440,1.525109
0.020000,7.998026,6.861060,4.678196,3.892247,-0.123040,3.072417,1.542059
0.020000,7.999623,6.938864,4.756017,3.891025,-0.061114,3.096302,1.558388
