dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,2.500000,0.000040,0.004000,0.200000,10.000000,0.000000
0.020000,0.000100,2.500000,0.000140,0.005000,0.050000,-7.500000,0.000000
0.020000,0.000460,2.500000,0.000500,0.018000,0.650000,30.000000,0.000000
0.020000,0.001100,2.500000,0.001140,0.032000,0.700000,2.500000,0.000000
0.020000,0.002100,2.500000,0.002140,0.050000,0.900000,10.000000,0.000000
0.020000,0.003500,2.500000,0.003540,0.070000,1.000000,5.000000,0.000000
0.020000,0.005300,2.500000,0.005340,0.090000,1.000000,0.000000,0.000000
0.020000,0.007500,2.500000,0.007540,0.110000,1.000000,0.000000,0.000000
0.020000,0.010100,2.500000,0.010140,0.130000,1.000000,-0.000000,0.000000
0.020000,0.013100,2.500000,0.013140,0.150000,1.000000,0.000000,0.000000
0.020000,0.016500,2.500000,0.016540,0.170000,1.000000,0.000000,0.000000
0.020000,0.020300,2.500000,0.020340,0.190000,1.000000,0.000000,0.000000
0.020000,0.024500,2.500000,0.024540,0.210000,1.000000,-0.000000,0.000000
0.020000,0.029100,2.500000,0.029140,0.230000,1.000000,0.000000,0.000000
0.020000,0.034100,2.500000,0.034140,0.250000,1.000000,0.000000,0.000000
0.020000,0.039500,2.500000,0.039540,0.270000,1.000000,0.000000,0.000000
0.020000,0.045300,2.500000,0.045340,0.290000,1.000000,0.000000,0.000000
0.020000,0.051500,2.500000,0.051540,0.310000,1.000000,-0.000000,0.000000
0.020000,0.058100,2.500000,0.058140,0.330000,1.000000,0.000000,0.000000
0.020000,0.065100,2.500000,0.065140,0.350000,1.000000,-0.000000,0.000000
0.020000,0.072500,2.500000,0.072540,0.370000,1.000000,0.000000,0.000000
0.020000,0.080300,2.500000,0.080340,0.390000,1.000000,0.000000,0.000000
0.020000,0.088500,2.500000,0.088540,0.410000,1.000000,-0.000000,0.000000
0.020000,0.097100,2.500000,0.097140,0.430000,1.000000,0.000000,0.000000
0.020000,0.106100,2.500000,0.106140,0.450000,1.000000,-0.000000,0.000000
0.020000,0.115500,2.500000,0.115540,0.470000,1.000000,0.000000,0.000000
0.020000,0.125300,2.500000,0.125340,0.490000,1.000000,-0.000000,0.000000
0.020000,0.135500,2.500000,0.135540,0.510000,1.000000,0.000000,0.000000
0.020000,0.146100,2.500000,0.146140,0.530000,1.000000,-0.000000,0.000000
0.020000,0.157100,2.500000,0.157140,0.550000,1.000000,0.000000,0.000000
0.020000,0.168500,2.500000,0.168540,0.570000,1.000000,-0.000000,0.000000
