dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000017,6.000000,0.000040,0.004000,0.200000,10.000000,6.283169
0.020000,5.000011,6.000000,0.000046,0.000288,-0.185601,-19.280048,6.283175
0.020000,5.000058,6.000000,0.000093,0.002352,0.103205,14.440301,0.000002
0.020000,5.000675,6.000000,0.000710,0.030848,1.424794,66.079449,0.000025
0.020000,5.001639,6.000000,0.001674,0.048199,0.867571,-27.861144,0.000061
0.020000,5.002988,6.000000,0.003023,0.067478,0.963942,4.818550,0.000112
0.020000,5.004723,6.000000,0.004758,0.086756,0.963904,-0.001896,0.000177
0.020000,5.006844,6.000001,0.006879,0.106033,0.963847,-0.002883,0.000256
0.020000,5.009350,6.000002,0.009385,0.125309,0.963781,-0.003281,0.000350
0.020000,5.012242,6.000003,0.012277,0.144583,0.963696,-0.004259,0.000458
0.020000,5.015519,6.000005,0.015554,0.163855,0.963603,-0.004625,0.000581
0.020000,5.019182,6.000007,0.019217,0.183125,0.963501,-0.005122,0.000718
0.020000,5.023229,6.000010,0.023264,0.202393,0.963385,-0.005776,0.000871
0.020000,5.027663,6.000014,0.027698,0.221658,0.963251,-0.006728,0.001037
0.020000,5.032481,6.000020,0.032516,0.240920,0.963105,-0.007280,0.001219
0.020000,5.037685,6.000027,0.037720,0.260179,0.962949,-0.007787,0.001415
0.020000,5.043273,6.000035,0.043308,0.279434,0.962773,-0.008803,0.001627
0.020000,5.049247,6.000046,0.049282,0.298686,0.962611,-0.008141,0.001853
0.020000,5.055606,6.000058,0.055641,0.317934,0.962389,-0.011067,0.002094
0.020000,5.062349,6.000073,0.062384,0.337178,0.962188,-0.010043,0.002351
0.020000,5.069477,6.000091,0.069512,0.356417,0.961967,-0.011077,0.002622
0.020000,5.076990,6.000112,0.077026,0.375652,0.961725,-0.012109,0.002909
0.020000,5.084888,6.000136,0.084923,0.394881,0.961462,-0.013141,0.003212
0.020000,5.093170,6.000164,0.093205,0.414105,0.961216,-0.012291,0.003530
0.020000,5.101837,6.000196,0.101872,0.433324,0.960913,-0.015138,0.003863
0.020000,5.110887,6.000232,0.110922,0.452536,0.960622,-0.014563,0.004213
0.020000,5.120322,6.000274,0.120357,0.471742,0.960309,-0.015625,0.004578
0.020000,5.130141,6.000321,0.130176,0.490942,0.959976,-0.016687,0.004959
0.020000,5.140343,6.000373,0.140379,0.510134,0.959639,-0.016857,0.005356
0.020000,5.150929,6.000432,0.150965,0.529320,0.959267,-0.018556,0.005770
0.020000,5.161899,6.000498,0.161935,0.548498,0.958902,-0.018262,0.006200
0.020000,5.173252,6.000571,0.173289,0.567668,0.958495,-0.020343,0.006646
0.020000,5.184989,6.000651,0.185025,0.586829,0.958084,-0.020564,0.007110
0.020000,5.197108,6.000740,0.197145,0.605982,0.957651,-0.021681,0.007590
0.020000,5.209610,6.000838,0.209647,0.625127,0.957219,-0.021589,0.008088
0.020000,5.222495,6.000946,0.222533,0.644261,0.956726,-0.024656,0.008602
0.020000,5.235762,6.001064,0.235800,0.663387,0.956260,-0.023268,0.009135
0.020000,5.249412,6.001192,0.249450,0.682501,0.955738,-0.026138,0.009685
0.020000,5.263443,6.001332,0.263482,0.701606,0.955215,-0.026128,0.010253
0.020000,5.277856,6.001484,0.277896,0.720699,0.954668,-0.027341,0.010839
0.020000,5.292651,6.001649,0.292692,0.739781,0.954097,-0.028566,0.011443
0.020000,5.307827,6.001827,0.307869,0.758851,0.953501,-0.029803,0.012066
0.020000,5.323384,6.002020,0.323427,0.777909,0.952893,-0.030372,0.012708
0.020000,5.339321,6.002228,0.339366,0.796954,0.952252,-0.032083,0.013369
0.020000,5.355640,6.002451,0.355686,0.815986,0.951588,-0.033182,0.014049
0.020000,5.372338,6.002692,0.372386,0.835003,0.950894,-0.034685,0.014749
