dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.999983,4.000000,0.000040,0.004000,0.200000,10.000000,6.283169
0.020000,4.999989,4.000000,0.000046,0.000288,-0.185601,-19.280048,6.283175
0.020000,5.000062,4.000000,0.000119,0.003648,0.168004,17.680248,0.000002
0.020000,5.000725,4.000000,0.000782,0.033152,1.475208,65.360195,0.000025
0.020000,5.001761,4.000000,0.001818,0.051801,0.932420,-27.139406,0.000061
0.020000,5.003212,4.000000,0.003268,0.072522,1.036052,5.181635,0.000112
0.020000,5.005077,4.000000,0.005133,0.093244,1.036101,0.002425,0.000177
0.020000,5.007356,4.000001,0.007412,0.113967,1.036154,0.002646,0.000256
0.020000,5.010050,4.000002,0.010106,0.134691,1.036224,0.003506,0.000350
0.020000,5.013158,4.000003,0.013215,0.155417,1.036299,0.003749,0.000458
0.020000,5.016681,4.000005,0.016737,0.176145,1.036392,0.004656,0.000581
0.020000,5.020618,4.000007,0.020675,0.196875,1.036501,0.005432,0.000718
0.020000,5.024971,4.000011,0.025027,0.217608,1.036622,0.006050,0.000871
0.020000,5.029737,4.000015,0.029794,0.238342,1.036749,0.006357,0.001037
0.020000,5.034919,4.000021,0.034976,0.259080,1.036891,0.007107,0.001219
0.020000,5.040515,4.000029,0.040572,0.279821,1.037049,0.007920,0.001415
0.020000,5.046527,4.000038,0.046583,0.300566,1.037213,0.008200,0.001627
0.020000,5.052953,4.000049,0.053010,0.321314,1.037419,0.010300,0.001853
0.020000,5.059794,4.000062,0.059851,0.342066,1.037591,0.008560,0.002094
0.020000,5.067051,4.000079,0.067107,0.362822,1.037812,0.011087,0.002351
0.020000,5.074722,4.000098,0.074779,0.383583,1.038041,0.011421,0.002622
0.020000,5.082809,4.000120,0.082866,0.404348,1.038276,0.011778,0.002909
0.020000,5.091312,4.000146,0.091368,0.425119,1.038520,0.012160,0.003212
0.020000,5.100230,4.000176,0.100286,0.445895,1.038811,0.014591,0.003530
0.020000,5.109563,4.000211,0.109620,0.466676,1.039073,0.013071,0.003863
0.020000,5.119312,4.000250,0.119369,0.487464,1.039378,0.015261,0.004213
0.020000,5.129477,4.000295,0.129534,0.508258,1.039692,0.015720,0.004578
0.020000,5.140058,4.000345,0.140115,0.529058,1.040017,0.016209,0.004959
0.020000,5.151055,4.000402,0.151113,0.549866,1.040370,0.017692,0.005356
0.020000,5.162469,4.000465,0.162526,0.570680,1.040722,0.017564,0.005770
0.020000,5.174299,4.000536,0.174356,0.591502,1.041114,0.019621,0.006200
0.020000,5.186545,4.000615,0.186603,0.612332,1.041497,0.019157,0.006646
0.020000,5.199208,4.000702,0.199266,0.633170,1.041912,0.020738,0.007110
0.020000,5.212288,4.000798,0.212347,0.654017,1.042340,0.021398,0.007590
0.020000,5.225785,4.000904,0.225844,0.674873,1.042808,0.023408,0.008088
0.020000,5.239700,4.001020,0.239759,0.695738,1.043249,0.022055,0.008602
0.020000,5.254031,4.001147,0.254091,0.716614,1.043761,0.025563,0.009135
0.020000,5.268781,4.001286,0.268841,0.737499,1.044251,0.024525,0.009685
0.020000,5.283948,4.001437,0.284009,0.758394,1.044784,0.026655,0.010253
0.020000,5.299533,4.001601,0.299595,0.779301,1.045335,0.027521,0.010839
0.020000,5.315536,4.001780,0.315600,0.800219,1.045903,0.028435,0.011443
0.020000,5.331958,4.001973,0.332023,0.821149,1.046491,0.029400,0.012066
0.020000,5.348799,4.002181,0.348864,0.842091,1.047114,0.031155,0.012708
0.020000,5.366058,4.002406,0.366125,0.863046,1.047749,0.031746,0.013369
0.020000,5.383737,4.002649,0.383806,0.884014,1.048411,0.033073,0.014049
0.020000,5.401835,4.002909,0.401905,0.904996,1.049092,0.034040,0.014749
0.020000,5.420352,4.003189,0.420425,0.925993,1.049823,0.036581,0.015469
0.020000,5.439290,4.003489,0.439365,0.947004,1.050550,0.036319,0.016209
0.020000,5.458648,4.003810,0.458726,0.968030,1.051317,0.038385,0.016969
0.020000,5.478427,4.004154,0.478507,0.989072,1.052113,0.039811,0.017751
0.020000,5.498584,4.004520,0.498668,1.008048,0.948786,-5.166350,0.018552
0.020000,5.519038,4.004907,0.519126,1.022873,0.741225,-10.378090,0.019369
0.020000,5.539705,4.005316,0.539797,1.033542,0.533463,-10.388090,0.020200
0.020000,5.560501,4.005745,0.560598,1.040052,0.325519,-10.397206,0.021041
0.020000,5.581345,4.006193,0.581446,1.042400,0.117392,-10.406343,0.021889
0.020000,5.602193,4.006658,0.602299,1.042666,0.013304,-5.204374,0.022743
0.020000,5.623046,4.007141,0.623158,1.042935,0.013439,0.006740,0.023601
0.020000,5.643904,4.007643,0.644022,1.043207,0.013582,0.007148,0.024465
0.020000,5.664767,4.008162,0.664891,1.043481,0.013715,0.006628,0.025335
0.020000,5.685635,4.008700,0.685767,1.043758,0.013848,0.006680,0.026210
0.020000,5.706509,4.009257,0.706647,1.044038,0.013999,0.007514,0.027091
0.020000,5.727387,4.009832,0.727534,1.044320,0.014131,0.006642,0.027977
0.020000,5.748271,4.010425,0.748426,1.044606,0.014269,0.006860,0.028869
0.020000,5.769160,4.011038,0.769324,1.044894,0.014430,0.008083,0.029767
0.020000,5.790054,4.011670,0.790228,1.045186,0.014559,0.006433,0.030671
0.020000,5.810953,4.012320,0.811137,1.045480,0.014732,0.008673,0.031581
0.020000,5.831858,4.012990,0.832053,1.045777,0.014866,0.006668,0.032496
0.020000,5.852768,4.013680,0.852974,1.046078,0.015023,0.007884,0.033418
0.020000,5.873684,4.014388,0.873902,1.046382,0.015181,0.007872,0.034345
0.020000,5.894605,4.015117,0.894836,1.046688,0.015338,0.007860,0.035279
0.020000,5.915532,4.015865,0.915776,1.046998,0.015495,0.007848,0.036219
0.020000,5.936464,4.016634,0.936722,1.047312,0.015670,0.008756,0.037165
0.020000,5.957402,4.017422,0.957674,1.047628,0.015823,0.007618,0.038118
0.020000,5.978345,4.018231,0.978633,1.047948,0.015996,0.008687,0.039077
0.020000,5.999294,4.019060,0.999599,1.048271,0.016157,0.008020,0.040042
0.020000,6.020249,4.019910,1.020571,1.048598,0.016342,0.009248,0.041014
0.020000,6.041209,4.020780,1.041549,1.048928,0.016511,0.008482,0.041993
0.020000,6.062175,4.021672,1.062535,1.049262,0.016684,0.008661,0.042978
0.020000,6.083148,4.022584,1.083527,1.049599,0.016869,0.009205,0.043970
0.020000,6.104126,4.023517,1.104525,1.049940,0.017055,0.009297,0.044969
0.020000,6.125110,4.024472,1.125531,1.050285,0.017227,0.008601,0.045974
0.020000,6.146100,4.025449,1.146544,1.050633,0.017426,0.009985,0.046987
0.020000,6.167096,4.026447,1.167563,1.050985,0.017604,0.008863,0.048007
0.020000,6.188098,4.027466,1.188590,1.051342,0.017818,0.010705,0.049034
0.020000,6.209106,4.028508,1.209624,1.051702,0.017997,0.008981,0.050068
0.020000,6.230120,4.029572,1.230666,1.052066,0.018199,0.010074,0.051109
0.020000,6.251141,4.030659,1.251714,1.052434,0.018400,0.010073,0.052158
0.020000,6.272168,4.031767,1.272770,1.052806,0.018606,0.010302,0.053214
0.020000,6.293201,4.032899,1.293834,1.053182,0.018824,0.010897,0.054278
0.020000,6.314241,4.034053,1.314905,1.053563,0.019013,0.009431,0.055349
0.020000,6.335287,4.035231,1.335984,1.053948,0.019255,0.012092,0.056428
0.020000,6.356339,4.036431,1.357071,1.054337,0.019451,0.009817,0.057514
0.020000,6.377398,4.037655,1.378166,1.054730,0.019678,0.011335,0.058609
0.020000,6.398464,4.038903,1.399268,1.055128,0.019904,0.011342,0.059712
0.020000,6.419536,4.040175,1.420379,1.055531,0.020131,0.011350,0.060822
0.020000,6.440615,4.041470,1.441498,1.055938,0.020359,0.011358,0.061941
0.020000,6.461701,4.042790,1.462625,1.056350,0.020596,0.011888,0.063068
