dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000018,6.000000,0.000040,0.004000,0.200000,10.000000,6.283167
0.020000,5.000070,6.000000,0.000092,0.002600,-0.070002,-13.500104,0.000030
0.020000,5.000322,6.000000,0.000344,0.012599,0.499950,28.497594,0.000138
0.020000,5.000770,6.000000,0.000792,0.022395,0.489790,-0.508014,0.000330
0.020000,5.001470,6.000000,0.001492,0.034983,0.629422,6.981640,0.000630
0.020000,5.002449,6.000001,0.002471,0.048959,0.698780,3.467908,0.001051
0.020000,5.003707,6.000003,0.003729,0.062917,0.697896,-0.044240,0.001593
0.020000,5.005244,6.000006,0.005266,0.076852,0.696756,-0.056984,0.002256
0.020000,5.007059,6.000011,0.007081,0.090759,0.695360,-0.069805,0.003041
0.020000,5.009152,6.000018,0.009174,0.104633,0.693705,-0.082722,0.003948
0.020000,5.011521,6.000029,0.011543,0.118469,0.691790,-0.095751,0.004979
0.020000,5.014166,6.000043,0.014189,0.132261,0.689612,-0.108910,0.006133
0.020000,5.017086,6.000063,0.017109,0.146005,0.687168,-0.122216,0.007413
0.020000,5.020280,6.000089,0.020302,0.159694,0.684456,-0.135616,0.008820
0.020000,5.023747,6.000122,0.023769,0.173323,0.681468,-0.149358,0.010353
0.020000,5.027484,6.000164,0.027507,0.186887,0.678206,-0.163120,0.012015
0.020000,5.031491,6.000216,0.031514,0.200380,0.674662,-0.177218,0.013808
0.020000,5.035767,6.000279,0.035790,0.213797,0.670833,-0.191425,0.015732
0.020000,5.040309,6.000355,0.040333,0.227131,0.666714,-0.205951,0.017789
0.020000,5.045115,6.000446,0.045140,0.240377,0.662299,-0.220739,0.019982
0.020000,5.050185,6.000553,0.050211,0.253529,0.657583,-0.235805,0.022311
0.020000,5.055515,6.000679,0.055543,0.266580,0.652564,-0.250973,0.024779
0.020000,5.061104,6.000824,0.061133,0.279525,0.647229,-0.266723,0.027389
0.020000,5.066948,6.000992,0.066980,0.292356,0.641579,-0.282502,0.030142
0.020000,5.073047,6.001185,0.073082,0.305068,0.635603,-0.298805,0.033040
0.020000,5.079396,6.001405,0.079435,0.317654,0.629299,-0.315219,0.036087
0.020000,5.085993,6.001653,0.086037,0.330108,0.622655,-0.332169,0.039285
0.020000,5.092836,6.001934,0.092885,0.342421,0.615671,-0.349225,0.042637
0.020000,5.099921,6.002249,0.099977,0.354588,0.608336,-0.366736,0.046145
0.020000,5.107244,6.002600,0.107309,0.366601,0.600644,-0.384607,0.049813
0.020000,5.114803,6.002992,0.114878,0.378452,0.592592,-0.402609,0.053644
0.020000,5.122594,6.003425,0.122681,0.390136,0.584170,-0.421102,0.057641
0.020000,5.130613,6.003905,0.130714,0.401643,0.575376,-0.439712,0.061808
0.020000,5.138855,6.004433,0.138973,0.412967,0.566202,-0.458687,0.066149
