dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.999982,4.000000,0.000040,0.004000,0.200000,10.000000,6.283167
0.020000,5.000130,4.000000,0.000188,0.007400,0.170002,-1.499896,0.000030
0.020000,5.000598,4.000000,0.000656,0.023401,0.800052,31.502496,0.000138
0.020000,5.001430,4.000000,0.001488,0.041605,0.910207,5.507744,0.000330
0.020000,5.002730,4.000001,0.002788,0.065017,1.170579,13.018630,0.000630
0.020000,5.004551,4.000002,0.004609,0.091041,1.301220,6.532003,0.001051
0.020000,5.006893,4.000005,0.006951,0.117083,1.302104,0.044240,0.001593
0.020000,5.009756,4.000011,0.009814,0.143148,1.303244,0.056983,0.002256
0.020000,5.013141,4.000020,0.013199,0.169241,1.304640,0.069803,0.003041
0.020000,5.017048,4.000034,0.017106,0.195367,1.306294,0.082717,0.003948
0.020000,5.021479,4.000053,0.021537,0.221531,1.308209,0.095741,0.004979
0.020000,5.026433,4.000081,0.026491,0.247739,1.310387,0.108890,0.006133
0.020000,5.031913,4.000118,0.031971,0.273995,1.312831,0.122181,0.007413
0.020000,5.037919,4.000167,0.037978,0.300306,1.315546,0.135761,0.008820
0.020000,5.044452,4.000229,0.044511,0.326677,1.318530,0.149211,0.010353
0.020000,5.051514,4.000308,0.051573,0.353113,1.321794,0.163182,0.012015
0.020000,5.059106,4.000406,0.059166,0.379620,1.325336,0.177125,0.013808
0.020000,5.067229,4.000526,0.067290,0.406203,1.329166,0.191508,0.015732
0.020000,5.075885,4.000671,0.075947,0.432869,1.333286,0.205983,0.017789
0.020000,5.085076,4.000845,0.085140,0.459623,1.337700,0.220693,0.019982
0.020000,5.094803,4.001051,0.094869,0.486471,1.342413,0.235645,0.022311
0.020000,5.105069,4.001293,0.105137,0.513420,1.347437,0.251215,0.024779
0.020000,5.115875,4.001574,0.115947,0.540475,1.352767,0.266515,0.027389
0.020000,5.127223,4.001901,0.127300,0.567643,1.358420,0.282635,0.030142
0.020000,5.139115,4.002277,0.139198,0.594931,1.364393,0.298644,0.033040
0.020000,5.151555,4.002707,0.151645,0.622345,1.370700,0.315367,0.036087
0.020000,5.164544,4.003197,0.164643,0.649892,1.377340,0.331984,0.039285
0.020000,5.178084,4.003751,0.178195,0.677579,1.384327,0.349345,0.042637
0.020000,5.192178,4.004378,0.192303,0.705412,1.391662,0.366763,0.046145
0.020000,5.206829,4.005081,0.206971,0.733399,1.399350,0.384412,0.049813
0.020000,5.222040,4.005868,0.222202,0.761547,1.407405,0.402730,0.053644
0.020000,5.237813,4.006747,0.237999,0.789863,1.415824,0.420958,0.057641
0.020000,5.254150,4.007724,0.254366,0.818356,1.424620,0.439803,0.061808
0.020000,5.271056,4.008807,0.271307,0.847032,1.433794,0.458696,0.066149
0.020000,5.288533,4.010004,0.288825,0.875899,1.443350,0.477785,0.070667
0.020000,5.306585,4.011325,0.306924,0.904965,1.453295,0.497237,0.075366
0.020000,5.325213,4.012777,0.325609,0.934237,1.463630,0.516761,0.080251
0.020000,5.344421,4.014371,0.344883,0.963724,1.474359,0.536477,0.085326
0.020000,5.364213,4.016116,0.364752,0.993434,1.485479,0.555980,0.090594
0.020000,5.384591,4.018024,0.385219,1.023374,1.496993,0.575703,0.096062
0.020000,5.405560,4.020104,0.406291,1.053552,1.508900,0.595344,0.101733
0.020000,5.427120,4.022369,0.427970,1.083976,1.521188,0.614399,0.107612
0.020000,5.449277,4.024831,0.450263,1.114653,1.533861,0.633666,0.113705
0.020000,5.472033,4.027502,0.473175,1.145591,1.546900,0.651936,0.120017
0.020000,5.495390,4.030396,0.496711,1.176797,1.560299,0.669939,0.126553
0.020000,5.519352,4.033527,0.520876,1.208277,1.574038,0.686955,0.133319
0.020000,5.543921,4.036910,0.545677,1.240039,1.588101,0.703155,0.140320
0.020000,5.569100,4.040559,0.571119,1.272089,1.602460,0.717941,0.147561
0.020000,5.594890,4.044491,0.597208,1.304430,1.617089,0.731447,0.155050
0.020000,5.621295,4.048723,0.623949,1.337069,1.631950,0.743082,0.162792
0.020000,5.648259,4.053262,0.651293,1.367180,1.505519,-6.321548,0.170775
0.020000,5.675672,4.058105,0.679130,1.391884,1.235206,-13.515667,0.178973
0.020000,5.703422,4.063246,0.707352,1.411100,0.960816,-13.719494,0.187355
0.020000,5.731395,4.068672,0.735847,1.424744,0.682183,-13.931658,0.195890
0.020000,5.759477,4.074371,0.764502,1.432728,0.399201,-14.149103,0.204545
0.020000,5.787609,4.080335,0.793259,1.437845,0.255861,-7.166988,0.213302
0.020000,5.815786,4.086569,0.822117,1.442940,0.254719,-0.057121,0.222161
0.020000,5.844006,4.093076,0.851077,1.448005,0.253251,-0.073389,0.231121
0.020000,5.872264,4.099861,0.880138,1.453034,0.251451,-0.089987,0.240182
0.020000,5.900555,4.106927,0.909299,1.458020,0.249301,-0.107522,0.249342
0.020000,5.928875,4.114279,0.938558,1.462955,0.246792,-0.125427,0.258601
0.020000,5.957221,4.121918,0.967914,1.467834,0.243907,-0.144237,0.267958
0.020000,5.985585,4.129851,0.997367,1.472646,0.240641,-0.163301,0.277411
0.020000,6.013964,4.138078,1.026915,1.477386,0.236977,-0.183199,0.286959
0.020000,6.042353,4.146604,1.056556,1.482044,0.232912,-0.203284,0.296600
0.020000,6.070744,4.155432,1.086288,1.486613,0.228431,-0.224027,0.306332
0.020000,6.099133,4.164565,1.116110,1.491083,0.223530,-0.245058,0.316154
0.020000,6.127513,4.174004,1.146019,1.495448,0.218203,-0.266349,0.326063
0.020000,6.155878,4.183754,1.176013,1.499696,0.212445,-0.287921,0.336057
0.020000,6.184222,4.193815,1.206089,1.503821,0.206251,-0.309706,0.346134
0.020000,6.212538,4.204190,1.236245,1.507814,0.199621,-0.331487,0.356290
0.020000,6.240818,4.214880,1.266479,1.511665,0.192555,-0.353290,0.366524
0.020000,6.269056,4.225886,1.296786,1.515366,0.185056,-0.374959,0.376831
0.020000,6.297244,4.237211,1.327164,1.518909,0.177126,-0.396494,0.387209
0.020000,6.325375,4.248855,1.357610,1.522284,0.168772,-0.417721,0.397655
0.020000,6.353442,4.260817,1.388119,1.525484,0.160001,-0.438539,0.408165
0.020000,6.381436,4.273099,1.418690,1.528501,0.150825,-0.458769,0.418735
0.020000,6.409350,4.285701,1.449316,1.531326,0.141254,-0.478569,0.429362
0.020000,6.437176,4.298621,1.479995,1.533952,0.131305,-0.497437,0.440041
0.020000,6.464906,4.311859,1.510722,1.536372,0.120991,-0.515722,0.450769
0.020000,6.492531,4.325414,1.541494,1.538578,0.110334,-0.532857,0.461540
0.020000,6.520044,4.339284,1.572305,1.540565,0.099352,-0.549091,0.472352
0.020000,6.547436,4.353467,1.603152,1.542327,0.088067,-0.564222,0.483198
0.020000,6.574700,4.367961,1.634029,1.543857,0.076508,-0.577966,0.494076
0.020000,6.601827,4.382764,1.664932,1.545151,0.064695,-0.590661,0.504979
0.020000,6.628809,4.397872,1.695856,1.546204,0.052661,-0.601715,0.515903
0.020000,6.655638,4.413283,1.726796,1.547012,0.040431,-0.611463,0.526844
0.020000,6.682307,4.428992,1.757748,1.547573,0.028038,-0.619652,0.537795
0.020000,6.708808,4.444995,1.788705,1.547884,0.015514,-0.626213,0.548753
0.020000,6.735132,4.461288,1.819664,1.547941,0.002889,-0.631256,0.559712
0.020000,6.761273,4.477867,1.850619,1.547745,-0.009801,-0.634498,0.570667
0.020000,6.787223,4.494726,1.881565,1.547295,-0.022524,-0.636162,0.581613
0.020000,6.812976,4.511860,1.912497,1.546590,-0.035247,-0.636124,0.592545
0.020000,6.838524,4.529264,1.943410,1.545631,-0.047933,-0.634321,0.603458
0.020000,6.863861,4.546931,1.974298,1.544420,-0.060552,-0.630922,0.614346
0.020000,6.888981,4.564856,2.005157,1.542959,-0.073068,-0.625800,0.625206
0.020000,6.913877,4.583032,2.035982,1.541250,-0.085449,-0.619078,0.636031
0.020000,6.938544,4.601452,2.066768,1.539297,-0.097665,-0.610784,0.646817
0.020000,6.962976,4.620110,2.097510,1.537103,-0.109684,-0.600940,0.657559
0.020000,6.987169,4.638999,2.128204,1.534673,-0.121476,-0.589629,0.668253
0.020000,7.011118,4.658112,2.158844,1.532013,-0.133016,-0.576969,0.678893
0.020000,7.034817,4.677442,2.189426,1.529127,-0.144275,-0.562958,0.689476
0.020000,7.058263,4.696981,2.219947,1.526023,-0.155229,-0.547730,0.699996
