dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002467,0.850002,0.003704,0.148148,2.962963,59.259259,0.001361
0.050000,0.010008,0.850028,0.011245,0.150817,0.053384,-58.191580,0.005561
0.050000,0.022498,0.850141,0.023735,0.249809,1.979835,38.529012,0.012653
0.050000,0.039816,0.850448,0.041056,0.346421,1.932231,-0.952065,0.022776
0.050000,0.061786,0.851094,0.063036,0.439601,1.863606,-1.372506,0.036133
0.050000,0.088171,0.852268,0.089446,0.528206,1.772091,-1.830298,0.052992
0.050000,0.118659,0.854199,0.119996,0.610983,1.655541,-2.331001,0.073696
0.050000,0.152861,0.857148,0.154324,0.686578,1.511913,-2.872570,0.098668
0.050000,0.190298,0.861409,0.192003,0.753579,1.340007,-3.438113,0.128412
0.050000,0.230400,0.867293,0.232534,0.810620,1.140823,-3.983681,0.163515
0.050000,0.272510,0.875116,0.275365,0.856613,0.919865,-4.419163,0.204625
0.050000,0.315913,0.885191,0.319923,0.891151,0.690769,-4.581918,0.252418
0.050000,0.359897,0.897811,0.365681,0.915167,0.480312,-4.209143,0.307510
0.050000,0.403848,0.913277,0.412274,0.931858,0.333824,-2.929747,0.370333
0.050000,0.447400,0.931953,0.459661,0.947743,0.317706,-0.322374,0.440933
0.050000,0.490579,0.954406,0.508329,0.973366,0.512445,3.894779,0.518738
0.050000,0.533891,0.981596,0.559469,1.022790,0.988491,9.520926,0.602347
0.050000,0.578234,1.015060,0.615022,1.111056,1.765318,15.536551,0.689476
0.050000,0.624616,1.056934,0.677510,1.249760,2.774082,20.175265,0.777157
0.050000,0.673771,1.109731,0.749647,1.442742,3.859634,21.711039,0.862199
0.050000,0.725895,1.175898,0.833878,1.684634,4.837845,19.564233,0.941726
0.050000,0.780638,1.257385,0.932046,1.963345,5.574227,14.727632,1.013574
0.050000,0.837325,1.355411,1.045282,2.264733,6.027760,9.070662,1.076411
0.050000,0.895263,1.470484,1.174118,2.576710,6.239522,4.235242,1.129615
0.050000,0.953981,1.602587,1.318683,2.891297,6.291758,1.044725,1.173033
0.050000,1.013395,1.751409,1.478926,3.204866,6.271374,-0.407695,1.206725
0.050000,1.073879,1.916555,1.654800,3.517480,6.252268,-0.382107,1.230746
0.050000,1.135192,2.094325,1.842846,3.760917,4.868754,-27.670292,1.244808
0.050000,1.197547,2.280577,2.039259,3.928267,3.346986,-30.435353,1.249027
0.050000,1.262626,2.474558,2.243866,4.092133,3.277334,-1.393047,1.243607
0.050000,1.332470,2.675803,2.456886,4.260399,3.365319,1.759699,1.228287
0.050000,1.409580,2.884038,2.678940,4.441087,3.613755,4.968724,1.202334
0.050000,1.497070,3.099041,2.911063,4.642450,4.027259,8.270090,1.164526
0.050000,1.598840,3.320389,3.154685,4.872455,4.600097,11.456754,1.113174
0.050000,1.719719,3.547009,3.411528,5.136859,5.288083,13.759724,1.046243
0.050000,1.865362,3.776413,3.683260,5.434632,5.955456,13.347446,0.961758
0.050000,2.041516,4.003616,3.970751,5.749824,6.303843,6.967750,0.858677
0.050000,2.252154,4.220215,4.272883,6.042633,5.856178,-8.953310,0.738307
0.050000,2.496662,4.414895,4.585428,6.250913,4.165612,-33.811315,0.605630
0.050000,2.767968,4.576534,4.901236,6.316147,1.304680,-57.218633,0.469097
0.050000,3.054193,4.698582,5.212395,6.223184,-1.859275,-63.279099,0.338059
0.050000,3.343265,4.781067,5.513006,6.012213,-4.219405,-47.202611,0.219487
0.050000,3.626670,4.828860,5.800412,5.748133,-5.281606,-21.244006,0.116506
0.050000,3.900160,4.848559,6.074610,5.483956,-5.283532,-0.038521,0.029111
0.050000,3.917254,3.148010,7.775245,34.012697,570.574812,11517.166865,3.191042
0.050000,3.795304,3.136643,7.897723,2.449561,-631.262726,-24036.750757,3.282194
0.050000,3.688262,3.115875,8.006762,2.180775,-5.375719,12517.740138,3.389147
0.050000,3.596589,3.086893,8.102906,1.922893,-5.157626,4.361865,3.511259
0.050000,3.517935,3.050365,8.189629,1.734454,-3.768793,27.776660,3.644451
0.050000,3.447335,3.004975,8.273561,1.678633,-1.116415,53.047561,3.780925
0.050000,3.379498,2.947082,8.362743,1.783638,2.100106,64.330420,3.911224
0.050000,3.311366,2.872499,8.463761,2.020371,4.734655,52.690976,4.027606
