dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004781,-0.849997,0.003704,0.148148,2.962963,59.259259,0.001361
0.050000,0.019462,-0.849946,0.018385,0.293627,2.909572,-1.067810,0.005561
0.050000,0.044007,-0.849723,0.042932,0.490930,3.946067,20.729888,0.012653
0.050000,0.078533,-0.849111,0.077462,0.690612,3.993637,0.951402,0.022776
0.050000,0.123199,-0.847796,0.122148,0.893722,4.062211,1.371472,0.036133
0.050000,0.178215,-0.845345,0.177219,1.101405,4.153647,1.828727,0.052992
0.050000,0.243829,-0.841187,0.242964,1.314909,4.270083,2.328720,0.073696
0.050000,0.320324,-0.834583,0.319743,1.535586,4.413547,2.869277,0.098668
0.050000,0.407999,-0.824594,0.407986,1.764847,4.585217,3.433403,0.128412
0.050000,0.507137,-0.810032,0.508188,2.004051,4.784070,3.977054,0.163515
0.050000,0.617950,-0.789417,0.620902,2.254279,5.004570,4.410002,0.204625
0.050000,0.740481,-0.760939,0.746699,2.515932,5.233053,4.569669,0.252418
0.050000,0.874463,-0.722442,0.886102,2.788068,5.442731,4.193565,0.307510
0.050000,1.019122,-0.671475,1.039476,3.067484,5.588311,2.911601,0.370333
0.050000,1.172932,-0.605448,1.206859,3.347660,5.603526,0.304293,0.440933
0.050000,1.333413,-0.521951,1.387763,3.618068,5.408151,-3.907493,0.518738
0.050000,1.497074,-0.419217,1.580996,3.864674,4.932115,-9.520723,0.602347
0.050000,1.659660,-0.296626,1.784621,4.072488,4.156280,-15.516697,0.689476
0.050000,1.816750,-0.155013,1.996119,4.229964,3.149532,-20.134975,0.777157
0.050000,1.964539,0.003423,2.212784,4.333294,2.066599,-21.658657,0.862199
0.050000,2.100473,0.175630,2.432176,4.387839,1.090900,-19.513973,0.941726
0.050000,2.223474,0.358373,2.652458,4.405655,0.356316,-14.691683,1.013574
0.050000,2.333768,0.548777,2.872500,4.400837,-0.096363,-9.053583,1.076411
0.050000,2.432484,0.744571,3.091772,4.385432,-0.308086,-4.234459,1.129615
0.050000,2.521262,0.944079,3.310141,4.367392,-0.360815,-1.054572,1.173033
0.050000,2.601968,1.146070,3.527658,4.350332,-0.341195,0.392387,1.206725
0.050000,2.676533,1.349546,3.744367,4.334183,-0.322975,0.364404,1.230746
0.050000,2.745661,1.549907,3.956318,4.239016,-1.903337,-31.607229,1.244808
0.050000,2.810299,1.742960,4.159904,4.071727,-3.345788,-28.849021,1.249027
0.050000,2.872440,1.928208,4.355297,3.907856,-3.277411,1.367537,1.243607
0.050000,2.933725,2.104855,4.542273,3.739522,-3.366686,-1.785508,1.228287
0.050000,2.995480,2.271729,4.720208,3.558688,-3.616678,-4.999834,1.202334
0.050000,3.058692,2.427226,4.888061,3.357074,-4.032293,-8.312304,1.164526
0.050000,3.123920,2.569301,5.044395,3.126667,-4.608141,-11.516952,1.113174
0.050000,3.191151,2.695605,5.187477,2.861649,-5.300359,-13.844364,1.046243
0.050000,3.259700,2.803879,5.315627,2.562990,-5.973174,-13.456308,0.961758
0.050000,3.328380,2.892769,5.427958,2.246634,-6.327122,-7.078959,0.858677
0.050000,3.396317,2.962880,5.525585,1.952533,-5.882018,8.902081,0.738307
0.050000,3.464439,3.017252,5.612745,1.743208,-4.186500,33.910362,0.605630
0.050000,3.536507,3.060174,5.696627,1.677626,-1.311646,57.497073,0.469097
0.050000,3.618010,3.094802,5.785181,1.771084,1.869174,63.616411,0.338059
0.050000,3.713404,3.121851,5.884336,1.983098,4.240272,47.421949,0.219487
0.050000,3.824282,3.140385,5.996752,2.248333,5.304701,21.288581,0.116506
0.050000,3.949642,3.149279,6.122427,2.513499,5.303330,-0.027419,0.029111
