dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000039,25.000000,0.000149,0.014925,0.746269,37.313433,0.000000
0.020000,0.000636,25.000000,0.000746,0.029851,0.746269,0.000000,0.000000
0.020000,0.001830,25.000000,0.001940,0.059701,1.492537,37.313433,0.000000
0.020000,0.003621,25.000000,0.003731,0.089552,1.492537,-0.000000,0.000000
0.020000,0.006009,25.000000,0.006119,0.119403,1.492537,0.000000,0.000000
0.020000,0.008994,25.000000,0.009104,0.149254,1.492537,-0.000000,0.000000
0.020000,0.012577,25.000000,0.012687,0.179104,1.492537,0.000000,0.000000
0.020000,0.016756,25.000000,0.016866,0.208955,1.492537,-0.000000,0.000000
0.020000,0.021532,25.000000,0.021642,0.238806,1.492537,0.000000,0.000000
0.020000,0.026905,25.000000,0.027015,0.268657,1.492537,-0.000000,0.000000
0.020000,0.032875,25.000000,0.032985,0.298507,1.492537,-0.000000,0.000000
0.020000,0.039442,25.000000,0.039552,0.328358,1.492537,0.000000,0.000000
0.020000,0.046606,25.000000,0.046716,0.358209,1.492537,0.000000,0.000000
0.020000,0.054368,25.000000,0.054478,0.388060,1.492537,-0.000000,0.000000
0.020000,0.062726,25.000000,0.062836,0.417910,1.492537,-0.000000,0.000000
0.020000,0.071681,25.000000,0.071791,0.447761,1.492537,0.000000,0.000000
0.020000,0.081233,25.000000,0.081343,0.477612,1.492537,0.000000,0.000000
0.020000,0.091383,25.000000,0.091493,0.507463,1.492537,-0.000000,0.000000
0.020000,0.102129,25.000000,0.102239,0.537313,1.492537,-0.000000,0.000000
0.020000,0.113472,25.000000,0.113582,0.567164,1.492537,0.000000,0.000000
0.020000,0.125412,25.000000,0.125522,0.597015,1.492537,-0.000000,0.000000
0.020000,0.137950,25.000000,0.138060,0.626866,1.492537,-0.000000,0.000000
0.020000,0.151084,25.000000,0.151194,0.656716,1.492537,0.000000,0.000000
0.020000,0.164815,25.000000,0.164925,0.686567,1.492537,-0.000000,0.000000
0.020000,0.179144,25.000000,0.179254,0.716418,1.492537,0.000000,0.000000
0.020000,0.194069,25.000000,0.194179,0.746269,1.492537,0.000000,0.000000
0.020000,0.209591,25.000000,0.209701,0.776119,1.492537,-0.000000,0.000000
0.020000,0.225711,25.000000,0.225821,0.805970,1.492537,-0.000000,0.000000
0.020000,0.242427,25.000000,0.242537,0.835821,1.492537,0.000000,0.000000
0.020000,0.259741,25.000000,0.259851,0.865672,1.492537,-0.000000,0.000000
0.020000,0.277651,25.000000,0.277761,0.895522,1.492537,0.000000,0.000000
0.020000,0.296159,25.000000,0.296269,0.925373,1.492537,-0.000000,0.000000
0.020000,0.315263,25.000000,0.315373,0.955224,1.492537,0.000000,0.000000
0.020000,0.334965,25.000000,0.335075,0.985075,1.492537,0.000000,0.000000
0.020000,0.355263,25.000000,0.355373,1.014925,1.492537,-0.000000,0.000000
0.020000,0.376159,25.000000,0.376269,1.044776,1.492537,0.000000,0.000000
0.020000,0.397651,25.000000,0.397761,1.074627,1.492537,0.000000,0.000000
0.020000,0.419741,25.000000,0.419851,1.104478,1.492537,0.000000,0.000000
0.020000,0.442427,25.000000,0.442537,1.134328,1.492537,-0.000000,0.000000
0.020000,0.465711,25.000000,0.465821,1.164179,1.492537,0.000000,0.000000
0.020000,0.489591,25.000000,0.489701,1.194030,1.492537,-0.000000,0.000000
0.020000,0.514069,25.000000,0.514179,1.223881,1.492537,0.000000,0.000000
0.020000,0.539144,25.000000,0.539254,1.253731,1.492537,0.000000,0.000000
0.020000,0.564815,25.000000,0.564925,1.283582,1.492537,-0.000000,0.000000
0.020000,0.591084,25.000000,0.591194,1.313433,1.492537,0.000000,0.000000
0.020000,0.617950,25.000000,0.618060,1.343284,1.492537,0.000000,0.000000
0.020000,0.645412,25.000000,0.645522,1.373134,1.492537,-0.000000,0.000000
0.020000,0.673472,25.000000,0.673582,1.402985,1.492537,0.000000,0.000000
0.020000,0.702129,25.000000,0.702239,1.432836,1.492537,0.000000,0.000000
0.020000,0.731383,25.000000,0.731493,1.462687,1.492537,-0.000000,0.000000
0.020000,0.761233,25.000000,0.761343,1.492537,1.492537,-0.000000,0.000000
0.020000,0.791681,25.000000,0.791791,1.522388,1.492537,-0.000000,0.000000
0.020000,0.822726,25.000000,0.822836,1.552239,1.492537,0.000000,0.000000
0.020000,0.854368,25.000000,0.854478,1.582090,1.492537,-0.000000,0.000000
0.020000,0.886606,25.000000,0.886716,1.611940,1.492537,0.000000,0.000000
0.020000,0.919442,25.000000,0.919552,1.641791,1.492537,-0.000000,0.000000
0.020000,0.952875,25.000000,0.952985,1.671642,1.492537,0.000000,0.000000
0.020000,0.986905,25.000000,0.987015,1.701493,1.492537,0.000000,0.000000
0.020000,1.021532,25.000000,1.021642,1.731343,1.492537,-0.000000,0.000000
0.020000,1.056756,25.000000,1.056866,1.761194,1.492537,0.000000,0.000000
0.020000,1.092577,25.000000,1.092687,1.791045,1.492537,-0.000000,0.000000
0.020000,1.128994,25.000000,1.129104,1.820896,1.492537,-0.000000,0.000000
0.020000,1.166009,25.000000,1.166119,1.850746,1.492537,0.000000,0.000000
0.020000,1.203621,25.000000,1.203731,1.880597,1.492537,-0.000000,0.000000
0.020000,1.241830,25.000000,1.241940,1.910448,1.492537,0.000000,0.000000
0.020000,1.280636,25.000000,1.280746,1.940299,1.492537,-0.000000,0.000000
0.020000,1.320039,25.000000,1.320149,1.970149,1.492537,0.000000,0.000000
0.020000,1.360039,25.000000,1.360149,2.000000,1.492537,-0.000000,0.000000
0.020000,1.400636,25.000000,1.400746,2.029851,1.492537,-0.000000,0.000000
0.020000,1.441830,25.000000,1.441940,2.059701,1.492537,0.000000,0.000000
0.020000,1.483621,25.000000,1.483731,2.089552,1.492537,0.000000,0.000000
0.020000,1.526009,25.000000,1.526119,2.119403,1.492537,0.000000,0.000000
0.020000,1.568994,25.000000,1.569104,2.149254,1.492537,-0.000000,0.000000
0.020000,1.612577,25.000000,1.612687,2.179104,1.492537,0.000000,0.000000
