dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003645,-0.850000,0.003685,0.147388,2.947766,58.955317,0.000000
0.050000,0.014699,-0.850000,0.014739,0.221082,1.473883,-29.477659,0.000000
0.050000,0.033122,-0.850000,0.033162,0.368471,2.947766,29.477659,0.000000
0.050000,0.058915,-0.850000,0.058955,0.515859,2.947766,-0.000000,0.000000
0.050000,0.092078,-0.850000,0.092118,0.663247,2.947766,-0.000000,0.000000
0.050000,0.132609,-0.850000,0.132649,0.810636,2.947766,-0.000000,0.000000
0.050000,0.180511,-0.850000,0.180551,0.958024,2.947766,-0.000000,0.000000
0.050000,0.235781,-0.850000,0.235821,1.105412,2.947766,0.000000,0.000000
0.050000,0.298421,-0.850000,0.298461,1.252800,2.947766,0.000000,0.000000
0.050000,0.368431,-0.850000,0.368471,1.400189,2.947766,-0.000000,0.000000
0.050000,0.445810,-0.850000,0.445850,1.547577,2.947766,-0.000000,0.000000
0.050000,0.530558,-0.850000,0.530598,1.694965,2.947766,-0.000000,0.000000
0.050000,0.622676,-0.850000,0.622716,1.842354,2.947766,-0.000000,0.000000
0.050000,0.722163,-0.850000,0.722203,1.989742,2.947766,0.000000,0.000000
0.050000,0.829019,-0.850000,0.829059,2.137130,2.947766,0.000000,0.000000
0.050000,0.943245,-0.850000,0.943285,2.284519,2.947766,-0.000000,0.000000
0.050000,1.064840,-0.850000,1.064880,2.431907,2.947766,0.000000,0.000000
0.050000,1.193805,-0.850000,1.193845,2.579295,2.947766,-0.000000,0.000000
0.050000,1.330139,-0.850000,1.330179,2.726683,2.947766,-0.000000,0.000000
0.050000,1.473843,-0.850000,1.473883,2.874072,2.947766,0.000000,0.000000
0.050000,1.624916,-0.850000,1.624956,3.021460,2.947766,-0.000000,0.000000
0.050000,1.783358,-0.850000,1.783398,3.168848,2.947766,0.000000,0.000000
0.050000,1.949170,-0.850000,1.949210,3.316237,2.947766,-0.000000,0.000000
0.050000,2.117191,-0.850000,2.117231,3.360419,0.883649,-41.282334,0.000000
0.050000,2.280052,-0.850000,2.280092,3.257213,-2.064117,-58.955317,0.000000
0.050000,2.435543,-0.850000,2.435583,3.109825,-2.947766,-17.672983,0.000000
0.050000,2.583665,-0.850000,2.583705,2.962437,-2.947766,0.000000,0.000000
0.050000,2.724417,-0.850000,2.724457,2.815048,-2.947766,-0.000000,0.000000
0.050000,2.857800,-0.850000,2.857840,2.667660,-2.947766,0.000000,0.000000
0.050000,2.983814,-0.850000,2.983854,2.520272,-2.947766,-0.000000,0.000000
0.050000,3.102458,-0.850000,3.102498,2.372883,-2.947766,0.000000,0.000000
0.050000,3.213733,-0.850000,3.213773,2.225495,-2.947766,0.000000,0.000000
0.050000,3.317638,-0.850000,3.317678,2.078107,-2.947766,-0.000000,0.000000
0.050000,3.414174,-0.850000,3.414214,1.930719,-2.947766,0.000000,0.000000
0.050000,3.503341,-0.850000,3.503381,1.783330,-2.947766,-0.000000,0.000000
0.050000,3.585138,-0.850000,3.585178,1.635942,-2.947766,0.000000,0.000000
0.050000,3.659565,-0.850000,3.659605,1.488554,-2.947766,-0.000000,0.000000
0.050000,3.726624,-0.850000,3.726664,1.341165,-2.947766,0.000000,0.000000
0.050000,3.786312,-0.850000,3.786352,1.193777,-2.947766,-0.000000,0.000000
0.050000,3.838632,-0.850000,3.838672,1.046389,-2.947766,0.000000,0.000000
0.050000,3.883582,-0.850000,3.883622,0.899001,-2.947766,0.000000,0.000000
0.050000,3.921163,-0.850000,3.921203,0.751612,-2.947766,-0.000000,0.000000
0.050000,3.951374,-0.850000,3.951414,0.604224,-2.947766,0.000000,0.000000
0.050000,3.974216,-0.850000,3.974256,0.456836,-2.947766,-0.000000,0.000000
0.050000,3.989688,-0.850000,3.989728,0.309447,-2.947766,0.000000,0.000000
0.050000,3.997791,-0.850000,3.997831,0.162059,-2.947766,-0.000000,0.000000
0.050000,4.000000,-0.850000,4.000040,0.044182,-2.357532,11.804675,0.000000
0.050000,4.000000,-0.850000,4.000040,0.000000,-0.883649,29.477659,0.000000
