dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.998808,2.000000,0.001212,0.048480,0.969594,19.391888,3.141593
0.050000,2.995172,2.000000,0.004848,0.072720,0.484797,-9.695944,3.141593
0.050000,2.989112,2.000000,0.010908,0.121199,0.969594,9.695944,3.141593
0.050000,2.980628,2.000000,0.019392,0.169679,0.969594,0.000000,3.141593
0.050000,2.969720,2.000000,0.030300,0.218159,0.969594,0.000000,3.141593
0.050000,2.956388,2.000000,0.043632,0.266638,0.969594,-0.000000,3.141593
0.050000,2.940632,2.000000,0.059388,0.315118,0.969594,0.000000,3.141593
0.050000,2.922452,2.000000,0.077568,0.363598,0.969594,-0.000000,3.141593
0.050000,2.901849,2.000000,0.098171,0.412078,0.969594,0.000000,3.141593
0.050000,2.878821,2.000000,0.121199,0.460557,0.969594,0.000000,3.141593
0.050000,2.853369,2.000000,0.146651,0.509037,0.969594,0.000000,3.141593
0.050000,2.825493,2.000000,0.174527,0.557517,0.969594,-0.000000,3.141593
0.050000,2.795193,2.000000,0.204827,0.605996,0.969594,-0.000000,3.141593
0.050000,2.762469,2.000000,0.237551,0.654476,0.969594,0.000000,3.141593
0.050000,2.727322,2.000000,0.272698,0.702956,0.969594,-0.000000,3.141593
0.050000,2.689750,2.000000,0.310270,0.751436,0.969594,0.000000,3.141593
0.050000,2.649754,2.000000,0.350266,0.799915,0.969594,0.000000,3.141593
0.050000,2.607334,2.000000,0.392686,0.848395,0.969594,0.000000,3.141593
0.050000,2.562491,2.000000,0.437529,0.896875,0.969594,-0.000000,3.141593
0.050000,2.515223,2.000000,0.484797,0.945355,0.969594,0.000000,3.141593
0.050000,2.465531,2.000000,0.534489,0.993834,0.969594,0.000000,3.141593
0.050000,2.413415,2.000000,0.586605,1.042314,0.969594,-0.000000,3.141593
0.050000,2.358876,2.000000,0.641144,1.090794,0.969594,0.000000,3.141593
0.050000,2.301912,2.000000,0.698108,1.139273,0.969594,0.000000,3.141593
0.050000,2.242524,2.000000,0.757496,1.187753,0.969594,-0.000000,3.141593
0.050000,2.180713,2.000000,0.819307,1.236233,0.969594,0.000000,3.141593
0.050000,2.116477,2.000000,0.883543,1.284713,0.969594,0.000000,3.141593
0.050000,2.049818,2.000000,0.950202,1.333192,0.969594,-0.000000,3.141593
0.050000,1.982611,2.000000,1.017409,1.344138,0.218920,-15.013487,3.141593
0.050000,1.917280,2.000000,1.082740,1.306605,-0.750674,-19.391888,3.141593
0.050000,1.854374,2.000000,1.145646,1.258125,-0.969594,-4.378401,3.141593
0.050000,1.793892,2.000000,1.206128,1.209645,-0.969594,-0.000000,3.141593
0.050000,1.735834,2.000000,1.264186,1.161165,-0.969594,0.000000,3.141593
0.050000,1.680199,2.000000,1.319821,1.112686,-0.969594,0.000000,3.141593
0.050000,1.626989,2.000000,1.373031,1.064206,-0.969594,0.000000,3.141593
0.050000,1.576203,2.000000,1.423817,1.015726,-0.969594,0.000000,3.141593
0.050000,1.527840,2.000000,1.472180,0.967247,-0.969594,-0.000000,3.141593
0.050000,1.481902,2.000000,1.518118,0.918767,-0.969594,0.000000,3.141593
0.050000,1.438388,2.000000,1.561632,0.870287,-0.969594,-0.000000,3.141593
0.050000,1.397297,2.000000,1.602723,0.821807,-0.969594,0.000000,3.141593
0.050000,1.358631,2.000000,1.641389,0.773328,-0.969594,0.000000,3.141593
0.050000,1.322389,2.000000,1.677631,0.724848,-0.969594,-0.000000,3.141593
0.050000,1.288570,2.000000,1.711450,0.676368,-0.969594,0.000000,3.141593
0.050000,1.257176,2.000000,1.742844,0.627888,-0.969594,-0.000000,3.141593
0.050000,1.228205,2.000000,1.771815,0.579409,-0.969594,0.000000,3.141593
0.050000,1.201659,2.000000,1.798361,0.530929,-0.969594,-0.000000,3.141593
0.050000,1.177536,2.000000,1.822484,0.482449,-0.969594,0.000000,3.141593
0.050000,1.155838,2.000000,1.844182,0.433970,-0.969594,-0.000000,3.141593
0.050000,1.136563,2.000000,1.863457,0.385490,-0.969594,0.000000,3.141593
0.050000,1.119713,2.000000,1.880307,0.337010,-0.969594,0.000000,3.141593
0.050000,1.105286,2.000000,1.894734,0.288530,-0.969594,-0.000000,3.141593
0.050000,1.093284,2.000000,1.906736,0.240051,-0.969594,0.000000,3.141593
0.050000,1.083705,2.000000,1.916315,0.191571,-0.969594,0.000000,3.141593
0.050000,1.076551,2.000000,1.923469,0.143091,-0.969594,0.000000,3.141593
0.050000,1.071820,2.000000,1.928200,0.094612,-0.969594,-0.000000,3.141593
0.050000,1.069514,2.000000,1.930506,0.046132,-0.969594,0.000000,3.141593
0.050000,1.068966,2.000000,1.931054,0.010946,-0.703717,5.317543,3.141593
0.050000,1.068966,2.000000,1.931054,0.000000,-0.218920,9.695944,3.141593
0.050000,1.068966,2.000000,1.931054,0.000000,0.000000,4.378401,3.141593
