dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002645,4.264804,0.003581,0.143256,2.865114,57.302279,0.002965
0.050000,0.010632,4.264864,0.011569,0.159746,0.329811,-50.706063,0.012009
0.050000,0.023873,4.265124,0.024813,0.264878,2.102641,35.456595,0.027308
0.050000,0.042261,4.265826,0.043214,0.368021,2.062847,-0.795878,0.049185
0.050000,0.065640,4.267313,0.066640,0.468533,2.010250,-1.051938,0.078073
0.050000,0.093811,4.270030,0.094942,0.566027,1.949888,-1.207233,0.114466
0.050000,0.126533,4.274524,0.127971,0.660586,1.891169,-1.174388,0.158843
0.050000,0.163544,4.281452,0.165625,0.753085,1.849972,-0.823936,0.211541
0.050000,0.204592,4.291581,0.207905,0.845589,1.850088,0.002315,0.272557
0.050000,0.249476,4.305807,0.254988,0.941677,1.921758,1.433401,0.341301
0.050000,0.298082,4.325167,0.307308,1.046391,2.094282,3.450482,0.416358
0.050000,0.350391,4.350848,0.365582,1.165475,2.381676,5.747874,0.495371
0.050000,0.406437,4.384148,0.430774,1.303838,2.767257,7.711631,0.575179
0.050000,0.466226,4.426368,0.503966,1.463857,3.200390,8.662651,0.652235
0.050000,0.529696,4.478647,0.586196,1.644583,3.614525,8.282711,0.723147
0.050000,0.596752,4.541815,0.678319,1.842458,3.957491,6.859315,0.785108
0.050000,0.667383,4.616307,0.780973,2.053081,4.212455,5.099281,0.836029
0.050000,0.741822,4.702185,0.894622,2.272986,4.398103,3.712954,0.874390
0.050000,0.820712,4.799194,1.019660,2.500762,4.555535,3.148649,0.898899
0.050000,0.905269,4.906830,1.156537,2.737542,4.735582,3.600945,0.908075
0.050000,0.993098,5.018814,1.298854,2.846337,2.175917,-51.193315,0.900588
0.050000,1.081328,5.127820,1.439093,2.804781,-0.831136,-60.141044,0.877592
0.050000,1.170900,5.231923,1.576427,2.746681,-1.161991,-6.617114,0.840613
0.050000,1.262646,5.329636,1.710461,2.680682,-1.319978,-3.159744,0.790940
0.050000,1.356943,5.419534,1.840744,2.605654,-1.500556,-3.611558,0.730054
0.050000,1.453582,5.500256,1.966661,2.518344,-1.746204,-4.912956,0.659972
0.050000,1.551665,5.570635,2.087382,2.414413,-2.078614,-6.648202,0.583428
0.050000,1.649637,5.629910,2.201889,2.290152,-2.485233,-8.132371,0.503764
0.050000,1.745493,5.677935,2.309103,2.144279,-2.917454,-8.644431,0.424538
0.050000,1.837121,5.715266,2.408044,1.978811,-3.309358,-7.838071,0.348970
0.050000,1.922639,5.743061,2.497965,1.798424,-3.607734,-5.967522,0.279511
0.050000,2.000608,5.762848,2.578406,1.608820,-3.792094,-3.687198,0.217672
0.050000,2.070081,5.776267,2.649163,1.415140,-3.873593,-1.629989,0.164119
0.050000,2.130527,5.784873,2.710219,1.221120,-3.880410,-0.136327,0.118905
0.050000,2.181717,5.790021,2.761668,1.028971,-3.842964,0.748909,0.081718
0.050000,2.223608,5.792826,2.803652,0.839682,-3.785778,1.143731,0.052088
0.050000,2.256251,5.794157,2.836322,0.653408,-3.725497,1.205609,0.029517
0.050000,2.279736,5.794663,2.859812,0.469802,-3.672121,1.067527,0.013566
0.050000,2.294148,5.794789,2.874225,0.288248,-3.631074,0.820946,0.003899
0.050000,2.299547,5.794800,2.879624,0.107997,-3.605022,0.521037,0.000301
0.050000,2.300000,5.794800,2.880077,0.009052,-1.978894,32.522566,6.283185
0.050000,2.300000,5.794800,2.880077,0.000000,-0.181042,35.957032,6.283185
