dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004452,3.655207,0.003581,0.143256,2.865114,57.302279,0.002965
0.050000,0.017952,3.655308,0.017082,0.270019,2.535274,-6.596801,0.012009
0.050000,0.040518,3.655751,0.039652,0.451393,3.627477,21.844059,0.027308
0.050000,0.072232,3.656963,0.071389,0.634749,3.667121,0.792883,0.049185
0.050000,0.113185,3.659570,0.112426,0.820723,3.719481,1.047208,0.078073
0.050000,0.163437,3.664419,0.162911,1.009698,3.779497,1.200315,0.114466
0.050000,0.222957,3.672599,0.222990,1.201585,3.837742,1.164890,0.158843
0.050000,0.291540,3.685441,0.292765,1.395502,3.878338,0.811936,0.211541
0.050000,0.368693,3.704484,0.372234,1.589380,3.877556,-0.015656,0.272557
0.050000,0.453517,3.731369,0.461216,1.779645,3.805303,-1.445045,0.341301
0.050000,0.544624,3.767647,0.559280,1.961272,3.632538,-3.455309,0.416358
0.050000,0.640169,3.814527,0.665707,2.128549,3.345530,-5.740151,0.495371
0.050000,0.738050,3.872636,0.779537,2.276604,2.961102,-7.688560,0.575179
0.050000,0.836231,3.941901,0.899692,2.403089,2.529712,-8.627809,0.652235
0.050000,0.933097,4.021614,1.025140,2.508961,2.117437,-8.245506,0.723147
0.050000,1.027679,4.110637,1.155028,2.597758,1.775941,-6.829909,0.785108
0.050000,1.119698,4.207623,1.288720,2.673846,1.521765,-5.083518,0.836029
0.050000,1.209478,4.311148,1.425753,2.740656,1.336188,-3.711540,0.874390
0.050000,1.297811,4.419735,1.565731,2.799565,1.178182,-3.160117,0.898899
0.050000,1.385830,4.531765,1.708202,2.849410,0.996900,-3.625650,0.908075
0.050000,1.470836,4.640161,1.845954,2.755055,-1.887099,-57.679977,0.900588
0.050000,1.550234,4.738283,1.972176,2.524431,-4.612485,-54.507715,0.877592
0.050000,1.625084,4.825316,2.086968,2.295849,-4.571629,0.817113,0.840613
0.050000,1.696080,4.900979,2.190725,2.075135,-4.414279,3.147008,0.790940
0.050000,1.763492,4.965298,2.283898,1.863450,-4.233700,3.611581,0.730054
0.050000,1.827325,5.018667,2.367102,1.664083,-3.987340,4.927194,0.659972
0.050000,1.887486,5.061876,2.441172,1.481407,-3.653523,6.676345,0.583428
0.050000,1.943906,5.096039,2.507130,1.319154,-3.245065,8.169160,0.503764
0.050000,1.996587,5.122449,2.566060,1.178601,-2.811066,8.679978,0.424538
0.050000,2.045561,5.142409,2.618945,1.057704,-2.417935,7.862621,0.348970
0.050000,2.090818,5.157119,2.666533,0.951749,-2.119095,5.976786,0.279511
0.050000,2.132255,5.167633,2.709283,0.855003,-1.934924,3.683427,0.217672
0.050000,2.169679,5.174859,2.747398,0.762304,-1.853984,1.618796,0.164119
0.050000,2.202841,5.179577,2.780894,0.669912,-1.847834,0.122998,0.118905
0.050000,2.231477,5.182456,2.809675,0.575618,-1.885890,-0.761121,0.081718
0.050000,2.255346,5.184053,2.833597,0.478439,-1.943565,-1.153493,0.052088
0.050000,2.274242,5.184823,2.852508,0.378229,-2.004204,-1.212778,0.029517
0.050000,2.288006,5.185119,2.866275,0.275338,-2.057827,-1.072457,0.013566
0.050000,2.296525,5.185193,2.874794,0.170386,-2.099032,-0.824100,0.003899
0.050000,2.299731,5.185200,2.878001,0.064128,-2.125172,-0.522805,0.000301
0.050000,2.300000,5.185200,2.878270,0.005382,-1.174906,19.005317,6.283185
0.050000,2.300000,5.185200,2.878270,0.000000,-0.107646,21.345209,6.283185
