dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004550,4.264793,0.003647,0.145867,2.917341,58.346813,6.280123
0.050000,0.018327,4.264687,0.017424,0.275549,2.593636,-6.474084,6.270814
0.050000,0.041332,4.264222,0.040433,0.460183,3.692684,21.980955,6.255145
0.050000,0.073612,4.262958,0.072738,0.646095,3.718247,0.511264,6.232905
0.050000,0.115200,4.260260,0.114414,0.833515,3.748393,0.602908,6.203846
0.050000,0.166074,4.255292,0.165529,1.022314,3.775979,0.551724,6.167740
0.050000,0.226096,4.247014,0.226120,1.211814,3.789992,0.280256,6.124471
0.050000,0.294944,4.234211,0.296149,1.400567,3.775075,-0.298330,6.074157
0.050000,0.372028,4.215552,0.375458,1.586196,3.712573,-1.250051,6.017310
0.050000,0.456430,4.189706,0.463729,1.765412,3.584321,-2.565026,5.954980
0.050000,0.546898,4.155498,0.560449,1.934392,3.379591,-4.094616,5.888848
0.050000,0.641927,4.112083,0.664926,2.089540,3.102976,-5.532302,5.821186
0.050000,0.739933,4.059076,0.776348,2.228441,2.778016,-6.499183,5.754665
0.050000,0.839475,3.996596,0.893874,2.350520,2.441578,-6.728774,5.692050
0.050000,0.939458,3.925212,1.016724,2.457016,2.129914,-6.233275,5.635904
0.050000,1.039249,3.845833,1.144236,2.550230,1.864284,-5.312601,5.588409
0.050000,1.138694,3.759606,1.275858,2.632439,1.644188,-4.401922,5.551370
0.050000,1.238072,3.667871,1.411104,2.704916,1.449533,-3.893090,5.526385
0.050000,1.338011,3.572181,1.549467,2.767264,1.246961,-4.051455,5.515109
0.050000,1.435496,3.478148,1.684912,2.708911,-1.167070,-48.280604,5.519108
0.050000,1.526763,3.392083,1.810359,2.508933,-3.999548,-56.649573,5.537679
0.050000,1.611814,3.315806,1.924604,2.284890,-4.480858,-9.626195,5.569064
0.050000,1.691390,3.249586,2.028129,2.070513,-4.287545,3.866255,5.611678
0.050000,1.765871,3.193364,2.121447,1.866356,-4.083144,4.088028,5.663845
0.050000,1.835408,3.146748,2.205164,1.674333,-3.840451,4.853854,5.723577
0.050000,1.900056,3.109035,2.280008,1.496885,-3.548962,5.829787,5.788487
0.050000,1.959856,3.079278,2.346803,1.335893,-3.219834,6.582566,5.855880
0.050000,2.014871,3.056391,2.406388,1.191707,-2.883729,6.722083,5.923003
0.050000,2.065170,3.039257,2.459525,1.062739,-2.579358,6.087431,5.987359
0.050000,2.110796,3.026819,2.506817,0.945836,-2.338056,4.826046,6.046972
0.050000,2.151739,3.018115,2.548675,0.837159,-2.173544,3.290241,6.100490
0.050000,2.187929,3.012300,2.585329,0.733083,-2.081516,1.840544,6.147159
0.050000,2.219255,3.008643,2.616867,0.630769,-2.046291,0.704515,6.186687
0.050000,2.245587,3.006526,2.643284,0.528333,-2.048712,-0.048426,6.219093
0.050000,2.266797,3.005437,2.664522,0.424756,-2.071535,-0.456455,6.244564
0.050000,2.282774,3.004970,2.680505,0.319674,-2.101641,-0.602123,6.263346
0.050000,2.293431,3.004825,2.691164,0.213168,-2.130133,-0.569846,6.275671
0.050000,2.298710,3.004801,2.696443,0.105592,-2.151513,-0.427605,6.281715
0.050000,2.300000,3.004800,2.697733,0.025791,-1.596026,11.109750,6.283185
0.050000,2.300000,3.004800,2.697733,0.000000,-0.515817,21.604182,6.283185
