dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002684,3.655196,0.003647,0.145867,2.917341,58.346813,6.280123
0.050000,0.010786,3.655133,0.011749,0.162051,0.323673,-51.873360,6.270814
0.050000,0.024240,3.654862,0.025206,0.269145,2.141879,36.364136,6.255145
0.050000,0.042974,3.654129,0.043954,0.374953,2.116162,-0.514343,6.232905
0.050000,0.066885,3.652578,0.067916,0.479242,2.085786,-0.607535,6.203846
0.050000,0.095855,3.649750,0.097023,0.582136,2.057883,-0.558055,6.167740
0.050000,0.129749,3.645076,0.131238,0.684310,2.043474,-0.288185,6.124471
0.050000,0.168446,3.637880,0.170599,0.787207,2.057948,0.289489,6.074157
0.050000,0.211853,3.627372,0.215259,0.893210,2.120045,1.241938,6.017310
0.050000,0.259929,3.612645,0.265540,1.005613,2.248063,2.560366,5.954980
0.050000,0.312692,3.592684,0.321953,1.128258,2.452897,4.096682,5.888848
0.050000,0.370205,3.566392,0.385191,1.264761,2.730069,5.543434,5.821186
0.050000,0.432538,3.532654,0.456069,1.417562,3.056017,6.518966,5.754665
0.050000,0.499743,3.490440,0.535431,1.587246,3.393685,6.753352,5.692050
0.050000,0.571857,3.438918,0.624060,1.772572,3.706524,6.256772,5.635904
0.050000,0.648974,3.377540,0.722621,1.971223,3.973010,5.329719,5.588409
0.050000,0.731346,3.306087,0.831666,2.180897,4.193489,4.409588,5.551370
0.050000,0.819521,3.224670,0.951681,2.400297,4.387991,3.890037,5.526385
0.050000,0.914490,3.133728,1.083170,2.629787,4.589800,4.036176,5.515109
0.050000,1.013731,3.038004,1.221054,2.757669,2.557653,-40.642931,5.519108
0.050000,1.113244,2.944183,1.357821,2.735346,-0.446477,-60.082602,5.537679
0.050000,1.212554,2.855150,1.491197,2.667527,-1.356377,-18.197992,5.569064
0.050000,1.312118,2.772340,1.620698,2.590021,-1.550121,-3.874878,5.611678
0.050000,1.411999,2.696990,1.745813,2.502301,-1.754392,-4.085419,5.663845
0.050000,1.511799,2.630135,1.865937,2.402479,-1.996446,-4.841083,5.723577
0.050000,1.610639,2.572519,1.980344,2.288134,-2.286890,-5.808881,5.788487
0.050000,1.707226,2.524490,2.088214,2.157395,-2.614781,-6.557820,5.855880
0.050000,1.800020,2.485907,2.188709,2.009908,-2.949750,-6.699385,5.923003
0.050000,1.887453,2.456137,2.281071,1.847241,-3.253345,-6.071891,5.987359
0.050000,1.968136,2.434147,2.364697,1.672524,-3.494333,-4.819774,6.046972
0.050000,2.040987,2.418660,2.439176,1.489577,-3.658935,-3.292038,6.100490
0.050000,2.105263,2.408331,2.504277,1.302012,-3.751304,-1.847367,6.147159
0.050000,2.160521,2.401880,2.559910,1.112664,-3.786966,-0.713257,6.186687
0.050000,2.206543,2.398178,2.606081,0.923415,-3.784969,0.039938,6.219093
0.050000,2.243259,2.396292,2.642845,0.735290,-3.762503,0.449326,6.244564
0.050000,2.270680,2.395490,2.670278,0.548657,-3.732669,0.596692,6.263346
0.050000,2.288850,2.395242,2.688450,0.363438,-3.704366,0.566053,6.275671
0.050000,2.297814,2.395202,2.697414,0.179283,-3.683104,0.425245,6.281715
0.050000,2.300000,2.395200,2.699600,0.043713,-2.711392,19.434231,6.283185
0.050000,2.300000,2.395200,2.699600,0.000000,-0.874269,36.742461,6.283185
