dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003694,5.000000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014805,5.000000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033323,5.000000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059249,5.000000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092583,5.000000,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,0.133323,5.000000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,0.181471,5.000000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.237027,5.000000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299990,5.000000,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,0.370360,5.000000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,0.448138,5.000000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533323,5.000000,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,0.625916,5.000000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725916,5.000000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833323,5.000000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948138,5.000000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.074803,4.999830,1.074813,2.533306,4.740189,35.544517,6.278646
0.050000,1.212642,4.998636,1.212657,2.756872,4.471326,-5.377255,6.270432
0.050000,1.358112,4.996163,1.358149,2.909829,3.059147,-28.243586,6.261977
0.050000,1.511159,4.992250,1.511246,3.061945,3.042311,-0.336706,6.253324
0.050000,1.671723,4.986743,1.671904,3.213161,3.024325,-0.359721,6.244517
0.050000,1.839738,4.979488,1.840075,3.363422,3.005208,-0.382349,6.235604
0.050000,2.015133,4.970343,2.015708,3.512671,2.984988,-0.404394,6.226637
0.050000,2.197835,4.959172,2.198751,3.660856,2.963704,-0.425678,6.217668
0.050000,2.387764,4.945853,2.389148,3.807926,2.941402,-0.446052,6.208752
0.050000,2.584841,4.930277,2.586839,3.953833,2.918131,-0.465405,6.199949
0.050000,2.788982,4.912349,2.791766,4.098530,2.893948,-0.483676,6.191318
0.050000,2.996270,4.892381,3.000013,4.164951,1.328422,-31.310516,6.183070
0.050000,3.202843,4.870818,3.207708,4.153898,-0.221058,-30.989600,6.175374
0.050000,3.408699,4.847785,3.414849,4.142817,-0.221627,-0.011381,6.168233
0.050000,3.613841,4.823405,3.621435,4.131719,-0.221968,-0.006809,6.161647
0.050000,3.818275,4.797800,3.827466,4.120613,-0.222121,-0.003074,6.155616
0.050000,4.022007,4.771091,4.032941,4.109506,-0.222127,-0.000117,6.150140
0.050000,4.225047,4.743399,4.237861,4.098405,-0.222021,0.002125,6.145220
