dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002891,14.000001,0.003704,0.148148,2.962963,59.259259,0.000687
0.050000,0.011867,14.000017,0.012679,0.179506,0.627155,-46.716163,0.002823
0.050000,0.026819,14.000086,0.027631,0.299044,2.390759,35.272080,0.006389
0.050000,0.047737,14.000272,0.048551,0.418388,2.386885,-0.077467,0.011396
0.050000,0.074608,14.000665,0.075424,0.537472,2.381680,-0.104110,0.017856
0.050000,0.107412,14.001380,0.108236,0.656241,2.375373,-0.126135,0.025784
0.050000,0.146127,14.002561,0.146969,0.774655,2.368278,-0.141904,0.035199
0.050000,0.190725,14.004375,0.191604,0.892695,2.360804,-0.149473,0.046120
0.050000,0.241174,14.007018,0.242122,1.010368,2.353471,-0.146674,0.058564
0.050000,0.297439,14.010711,0.298508,1.127714,2.346919,-0.131030,0.072548
0.050000,0.359479,14.015704,0.360748,1.244811,2.341928,-0.099832,0.088085
0.050000,0.427250,14.022273,0.428837,1.361782,2.339417,-0.050209,0.105180
0.050000,0.500706,14.030721,0.502778,1.478804,2.340453,0.020711,0.123832
0.050000,0.579797,14.041377,0.582583,1.596116,2.346231,0.115568,0.144025
0.050000,0.664473,14.054597,0.668284,1.714018,2.358053,0.236435,0.165729
0.050000,0.754680,14.070762,0.759928,1.832882,2.377273,0.384397,0.188898
0.050000,0.850367,14.090278,0.857586,1.953143,2.405226,0.559062,0.213461
0.050000,0.951484,14.113572,0.961351,2.075300,2.443129,0.758069,0.239322
0.050000,1.057980,14.141092,1.071346,2.199898,2.491963,0.976672,0.266361
0.050000,1.169809,14.173302,1.187721,2.327515,2.552338,1.207511,0.294426
0.050000,1.286925,14.210682,1.310658,2.458734,2.624374,1.440713,0.323337
0.050000,1.409284,14.253717,1.440364,2.594113,2.707596,1.664432,0.352886
0.050000,1.536840,14.302894,1.577072,2.734158,2.800887,1.865819,0.382839
0.050000,1.669551,14.358693,1.721036,2.879283,2.902508,2.032430,0.412944
0.050000,1.807371,14.421581,1.872525,3.029793,3.010199,2.153814,0.442930
0.050000,1.950254,14.491998,2.031818,3.185861,3.121351,2.223039,0.472520
0.050000,2.098159,14.570350,2.199194,3.347523,3.233242,2.237819,0.501434
0.050000,2.248271,14.655378,2.371715,3.450411,2.057777,-23.509303,0.528908
0.050000,2.397829,14.745398,2.546275,3.491205,0.815864,-24.838253,0.554344
0.050000,2.546876,14.840142,2.722886,3.532211,0.820120,0.085129,0.577729
0.050000,2.695465,14.939328,2.901538,3.573049,0.816765,-0.067109,0.599073
0.050000,2.843664,15.042669,3.082210,3.613436,0.807747,-0.180354,0.618399
0.050000,2.991553,15.149875,3.264869,3.653178,0.794826,-0.258424,0.635737
0.050000,3.139228,15.260655,3.449477,3.692154,0.779527,-0.305983,0.651128
0.050000,3.286798,15.374721,3.635992,3.730310,0.763131,-0.327915,0.664611
0.050000,3.434387,15.491790,3.824374,3.767645,0.746686,-0.328905,0.676228
0.050000,3.582136,15.611582,4.014584,3.804196,0.731026,-0.313189,0.686017
0.050000,3.730196,15.733823,4.206586,3.840036,0.716804,-0.284450,0.694015
0.050000,3.878733,15.858246,4.400349,3.875262,0.704514,-0.245789,0.700251
0.050000,4.027925,15.984586,4.595849,3.909988,0.694526,-0.199772,0.704752
0.050000,4.177963,16.112582,4.793066,3.944343,0.687101,-0.148500,0.707534
0.050000,4.329050,16.241978,4.991989,3.978464,0.682416,-0.093704,0.708611
0.050000,4.481400,16.372514,5.192614,4.012493,0.680573,-0.036845,0.707987
0.050000,4.635238,16.503932,5.394942,4.046573,0.681613,0.020786,0.705658
0.050000,4.790801,16.635969,5.598985,4.080849,0.685511,0.077960,0.701615
0.050000,4.948334,16.768353,5.804758,4.115458,0.692181,0.133414,0.695842
0.050000,5.108094,16.900807,6.012284,4.150531,0.701468,0.185742,0.688315
0.050000,5.270346,17.033037,6.221594,4.186188,0.713133,0.233295,0.679005
0.050000,5.435360,17.164736,6.432720,4.222530,0.726837,0.274083,0.667877
0.050000,5.603414,17.295577,6.645702,4.259636,0.742121,0.305674,0.654894
0.050000,5.774786,17.425207,6.860580,4.297555,0.758377,0.325118,0.640014
0.050000,5.949754,17.553250,7.077394,4.336296,0.774822,0.328893,0.623197
0.050000,6.128588,17.679296,7.296185,4.375819,0.790467,0.312913,0.604403
0.050000,6.311549,17.802902,7.516987,4.416024,0.804097,0.272601,0.583598
0.050000,6.498875,17.923589,7.739823,4.456737,0.814253,0.203108,0.560756
0.050000,6.690776,18.040838,7.964708,4.497699,0.819236,0.099672,0.535865
0.050000,6.887420,18.154095,8.191636,4.538556,0.817146,-0.041806,0.508930
0.050000,7.086150,18.261324,8.417450,4.516271,-0.445707,-25.257050,0.480387
