dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004266,12.000001,0.003704,0.148148,2.962963,59.259259,0.000687
0.050000,0.017513,12.000025,0.016951,0.264938,2.335806,-12.543130,0.002823
0.050000,0.039597,12.000126,0.039035,0.441697,3.535161,23.987088,0.006389
0.050000,0.070529,12.000401,0.069968,0.618648,3.539027,0.077320,0.011396
0.050000,0.110317,12.000983,0.109761,0.795859,3.544221,0.103884,0.017856
0.050000,0.158975,12.002045,0.158430,0.973385,3.550514,0.125859,0.025784
0.050000,0.216511,12.003800,0.215993,1.151264,3.557591,0.141537,0.035199
0.050000,0.282932,12.006502,0.282469,1.329516,3.565043,0.149044,0.046120
0.050000,0.358236,12.010447,0.357876,1.508134,3.572351,0.146161,0.058564
0.050000,0.442408,12.015972,0.442230,1.687078,3.578873,0.130439,0.072548
0.050000,0.535421,12.023458,0.535543,1.866269,3.583831,0.099164,0.088085
0.050000,0.637223,12.033326,0.637822,2.045584,3.586305,0.049472,0.105180
0.050000,0.747737,12.046035,0.749065,2.224846,3.585229,-0.021508,0.123832
0.050000,0.866852,12.062084,0.869255,2.403816,3.579409,-0.116403,0.144025
0.050000,0.994416,12.082000,0.998365,2.582194,3.567546,-0.237275,0.165729
0.050000,1.130233,12.106339,1.136345,2.759608,3.548286,-0.385201,0.188898
0.050000,1.274053,12.135671,1.283127,2.935623,3.520297,-0.559779,0.213461
0.050000,1.425572,12.170574,1.438614,3.109741,3.482365,-0.758639,0.239322
0.050000,1.584425,12.211621,1.602684,3.281417,3.433513,-0.977023,0.266361
0.050000,1.750191,12.259365,1.775188,3.450073,3.373135,-1.207573,0.294426
0.050000,1.922390,12.314321,1.955945,3.615129,3.301113,-1.440430,0.323337
0.050000,2.100498,12.376959,2.144746,3.776025,3.217926,-1.663749,0.352886
0.050000,2.283952,12.447679,2.341359,3.932260,3.124690,-1.864719,0.382839
0.050000,2.472166,12.526807,2.545530,4.083417,3.023144,-2.030923,0.412944
0.050000,2.664548,12.614582,2.756989,4.229194,2.915546,-2.151947,0.442930
0.050000,2.860518,12.711150,2.975460,4.369419,2.804502,-2.220892,0.472520
0.050000,3.059526,12.816563,3.200663,4.504056,2.692727,-2.235501,0.501434
0.050000,3.257453,12.928661,3.428130,4.549337,0.905625,-35.742040,0.528908
0.050000,3.450599,13.044906,3.653559,4.508580,-0.815145,-34.415388,0.554344
0.050000,3.639121,13.164731,3.876939,4.467607,-0.819453,-0.086171,0.577729
0.050000,3.823220,13.287610,4.098279,4.426799,-0.816156,0.065940,0.599073
0.050000,4.003126,13.413053,4.317601,4.386439,-0.807200,0.179126,0.618399
0.050000,4.179095,13.540606,4.534937,4.346722,-0.794340,0.257188,0.635737
0.050000,4.351395,13.669853,4.750326,4.307767,-0.779102,0.304774,0.651128
0.050000,4.520303,13.800408,4.963807,4.269629,-0.762764,0.326756,0.664611
0.050000,4.686098,13.931911,5.175423,4.232310,-0.746374,0.327807,0.676228
0.050000,4.849057,14.064032,5.385211,4.195772,-0.730766,0.312159,0.686017
0.050000,5.009453,14.196455,5.593208,4.159942,-0.716591,0.283484,0.694015
0.050000,5.167552,14.328885,5.799445,4.124725,-0.704347,0.244882,0.700251
0.050000,5.323614,14.461041,6.003945,4.090005,-0.694402,0.198915,0.704752
0.050000,5.477887,14.592649,6.206728,4.055654,-0.687017,0.147683,0.707534
0.050000,5.630610,14.723445,6.407804,4.021535,-0.682372,0.092914,0.708611
0.050000,5.782011,14.853169,6.607180,3.987507,-0.680568,0.036070,0.707987
0.050000,5.932307,14.981562,6.804851,3.953425,-0.681646,-0.021559,0.705658
0.050000,6.081705,15.108367,7.000808,3.919146,-0.685583,-0.078745,0.701615
0.050000,6.230398,15.233325,7.195035,3.884531,-0.692295,-0.134223,0.695842
0.050000,6.378568,15.356172,7.387507,3.849450,-0.701624,-0.186587,0.688315
0.050000,6.526384,15.476641,7.578196,3.813783,-0.713333,-0.234188,0.679005
0.050000,6.674002,15.594460,7.767068,3.777429,-0.727085,-0.275033,0.667877
0.050000,6.821564,15.709352,7.954083,3.740308,-0.742419,-0.306687,0.654894
0.050000,6.969200,15.821033,8.139202,3.702371,-0.758729,-0.326197,0.640014
0.050000,7.117022,15.929217,8.322382,3.663610,-0.775231,-0.330037,0.623197
