dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002948,11.999999,0.003704,0.148148,2.962963,59.259259,6.282545
0.050000,0.012076,11.999984,0.012832,0.182572,0.688477,-45.489710,6.280563
0.050000,0.027289,11.999919,0.028045,0.304248,2.433525,34.900954,6.277257
0.050000,0.048582,11.999744,0.049338,0.425872,2.432482,-0.020866,6.272624
0.050000,0.075951,11.999373,0.076710,0.547434,2.431242,-0.024793,6.266663
0.050000,0.109391,11.998698,0.110157,0.668936,2.430032,-0.024209,6.259369
0.050000,0.148895,11.997587,0.149677,0.790393,2.429147,-0.017694,6.250741
0.050000,0.194455,11.995881,0.195269,0.911841,2.428959,-0.003771,6.240777
0.050000,0.246062,11.993399,0.246935,1.033337,2.429913,0.019094,6.229482
0.050000,0.303706,11.989935,0.304684,1.154964,2.432535,0.052436,6.216860
0.050000,0.367377,11.985260,0.368525,1.276835,2.437423,0.097752,6.202924
0.050000,0.437062,11.979120,0.438480,1.399097,2.445241,0.156378,6.187695
0.050000,0.512749,11.971240,0.514577,1.521932,2.456711,0.229384,6.171199
0.050000,0.594427,11.961320,0.596855,1.645562,2.472581,0.317408,6.153479
0.050000,0.682083,11.949042,0.685367,1.770242,2.493605,0.420475,6.134585
0.050000,0.775706,11.934065,0.780180,1.896267,2.520496,0.537817,6.114585
0.050000,0.875285,11.916033,0.881378,2.023961,2.553881,0.667700,6.093562
0.050000,0.980808,11.894573,0.989062,2.153673,2.594246,0.807309,6.071619
0.050000,1.092267,11.869298,1.103350,2.285767,2.641882,0.952720,6.048872
0.050000,1.209651,11.839815,1.224381,2.420609,2.696832,1.098990,6.025461
0.050000,1.332953,11.805723,1.352308,2.558551,2.758853,1.240418,6.001540
0.050000,1.462162,11.766621,1.487304,2.699921,2.827399,1.370931,5.977280
0.050000,1.597270,11.722115,1.629555,2.845003,2.901631,1.484631,5.952867
0.050000,1.738271,11.671822,1.779256,2.994025,2.980451,1.576403,5.928498
0.050000,1.885157,11.615378,1.936614,3.147154,3.062576,1.642507,5.904378
0.050000,2.037925,11.552443,2.101838,3.304486,3.146630,1.681085,5.880717
0.050000,2.196578,11.482709,2.275140,3.466048,3.231253,1.692457,5.857727
0.050000,2.358137,11.407343,2.453413,3.565459,1.988215,-24.860763,5.836004
0.050000,2.519639,11.327862,2.633413,3.600003,0.690872,-25.946864,5.816007
0.050000,2.681124,11.244514,2.815139,3.634514,0.690235,-0.012730,5.797735
0.050000,2.842643,11.157554,2.998579,3.668809,0.685895,-0.086798,5.781177
0.050000,3.004258,11.067240,3.183717,3.702755,0.678920,-0.139506,5.766317
0.050000,3.166042,10.973832,3.370531,3.736268,0.670254,-0.173314,5.753132
0.050000,3.328080,10.877588,3.558996,3.769303,0.660712,-0.190852,5.741598
0.050000,3.490467,10.778767,3.749088,3.801852,0.650976,-0.194717,5.731691
0.050000,3.653311,10.677626,3.940785,3.833933,0.641609,-0.187344,5.723388
0.050000,3.816729,10.574420,4.134064,3.865586,0.633062,-0.170935,5.716668
