dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002874,4.264803,0.003596,0.143836,2.876712,57.534247,0.002243
0.050000,0.011583,4.264852,0.012305,0.174174,0.606769,-45.398871,0.009063
0.050000,0.026076,4.265067,0.026799,0.289891,2.314340,34.151430,0.020497
0.050000,0.046321,4.265645,0.047052,0.405065,2.303469,-0.217422,0.036631
0.050000,0.072272,4.266867,0.073032,0.519595,2.290615,-0.257083,0.057572
0.050000,0.103869,4.269098,0.104708,0.633521,2.278509,-0.242115,0.083418
0.050000,0.141041,4.272782,0.142062,0.747076,2.271110,-0.147984,0.114229
0.050000,0.183704,4.278451,0.185100,0.860764,2.273756,0.052923,0.149983
0.050000,0.231770,4.286715,0.233871,0.975418,2.293072,0.386325,0.190521
0.050000,0.285147,4.298263,0.288483,1.092238,2.336398,0.866507,0.235487
0.050000,0.343747,4.313852,0.349121,1.212764,2.410534,1.482731,0.284271
0.050000,0.407487,4.334294,0.416059,1.338756,2.519832,2.185950,0.335978
0.050000,0.476288,4.360429,0.489657,1.471959,2.664068,2.884723,0.389424
0.050000,0.550072,4.393092,0.570348,1.613813,2.837084,3.460319,0.443193
0.050000,0.628760,4.433064,0.658606,1.765176,3.027241,3.803144,0.495725
0.050000,0.712280,4.481022,0.754915,1.926180,3.220097,3.857109,0.545442
0.050000,0.800587,4.537484,0.859731,2.096304,3.402467,3.647415,0.590849
0.050000,0.893707,4.602778,0.973461,2.274613,3.566183,3.274308,0.630607
0.050000,0.991787,4.677013,1.096467,2.460116,3.710070,2.877744,0.663535
0.050000,1.095155,4.760075,1.229073,2.652109,3.839862,2.595842,0.688571
0.050000,1.204390,4.851619,1.371595,2.850449,3.966784,2.538431,0.704671
0.050000,1.320397,4.951049,1.524382,3.055741,4.105849,2.781299,0.710695
0.050000,1.439156,5.052945,1.680864,3.129630,1.477780,-52.561377,0.705729
0.050000,1.556079,5.151225,1.833605,3.054823,-1.496139,-59.478381,0.690567
0.050000,1.671465,5.244388,1.981907,2.966039,-1.775684,-5.590902,0.666367
0.050000,1.785652,5.331371,2.125450,2.870872,-1.903337,-2.553055,0.634174
0.050000,1.898724,5.411289,2.263913,2.769260,-2.032240,-2.578053,0.595047
0.050000,2.010491,5.483431,2.396941,2.660555,-2.174092,-2.837048,0.550149
0.050000,2.120489,5.547288,2.524131,2.543792,-2.335278,-3.223709,0.500804
0.050000,2.228001,5.602588,2.645032,2.418021,-2.515403,-3.602514,0.448493
0.050000,2.332124,5.649332,2.759165,2.282669,-2.707038,-3.832689,0.394790
0.050000,2.431847,5.687812,2.866055,2.137796,-2.897464,-3.808529,0.341261
0.050000,2.526161,5.718591,2.965264,1.984183,-3.072274,-3.496187,0.289341
0.050000,2.614142,5.742457,3.056425,1.823210,-3.219450,-2.943524,0.240239
0.050000,2.695018,5.760339,3.139254,1.656598,-3.332231,-2.255633,0.194880
0.050000,2.768197,5.773232,3.213560,1.486108,-3.409803,-1.551428,0.153899
0.050000,2.833257,5.782121,3.279225,1.313304,-3.456091,-0.925758,0.117676
0.050000,2.889932,5.787922,3.336196,1.139419,-3.477691,-0.432008,0.086387
0.050000,2.938069,5.791453,3.384462,0.965323,-3.481915,-0.084484,0.060064
0.050000,2.977598,5.793405,3.424040,0.791550,-3.475468,0.128939,0.038655
0.050000,3.008502,5.794343,3.454958,0.618359,-3.463814,0.233085,0.022062
0.050000,3.030790,5.794702,3.477248,0.445807,-3.451039,0.255496,0.010181
0.050000,3.044480,5.794792,3.490938,0.273808,-3.439987,0.221040,0.002920
0.050000,3.049589,5.794800,3.496048,0.102184,-3.432484,0.150064,0.000217
0.050000,3.050000,5.794800,3.496459,0.008220,-1.879268,31.064333,6.283185
0.050000,3.050000,5.794800,3.496459,0.000000,-0.164408,34.297186,6.283185
