dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004241,3.655205,0.003596,0.143836,2.876712,57.534247,0.002243
0.050000,0.017108,3.655277,0.016462,0.257332,2.269927,-12.135710,0.009063
0.050000,0.038570,3.655595,0.037927,0.429283,3.439023,23.381919,0.020497
0.050000,0.068646,3.656454,0.068015,0.601774,3.449816,0.215855,0.036631
0.050000,0.107348,3.658277,0.106760,0.774902,3.462555,0.254790,0.057572
0.050000,0.154662,3.661617,0.154192,0.948627,3.474508,0.239054,0.083418
0.050000,0.210524,3.667155,0.210327,1.122713,3.481716,0.144167,0.114229
0.050000,0.274791,3.675694,0.275160,1.296655,3.478849,-0.057338,0.149983
0.050000,0.347210,3.688145,0.348641,1.469620,3.459302,-0.390948,0.190521
0.050000,0.427376,3.705487,0.430662,1.640409,3.415770,-0.870631,0.235487
0.050000,0.514714,3.728717,0.521036,1.807484,3.341504,-1.485331,0.284271
0.050000,0.608467,3.758777,0.619491,1.969095,3.232212,-2.185836,0.335978
0.050000,0.707726,3.796471,0.725666,2.123503,3.088167,-2.880901,0.389424
0.050000,0.811485,3.842387,0.839130,2.269280,2.915544,-3.452458,0.443193
0.050000,0.918729,3.896845,0.959409,2.405578,2.725947,-3.791932,0.495725
0.050000,1.028538,3.959876,1.086022,2.532264,2.533737,-3.844211,0.545442
0.050000,1.140175,4.031231,1.218515,2.649864,2.351987,-3.635003,0.590849
0.050000,1.253149,4.110423,1.356480,2.759302,2.188766,-3.264405,0.630607
0.050000,1.367243,4.196758,1.499558,2.861561,2.045176,-2.871798,0.663535
0.050000,1.482515,4.289370,1.647425,2.957333,1.915440,-2.594731,0.688571
0.050000,1.599279,4.387210,1.799762,3.046748,1.788295,-2.542901,0.704671
0.050000,1.718076,4.489028,1.956221,3.129181,1.648661,-2.792687,0.710695
0.050000,1.834536,4.588955,2.109676,3.069087,-1.201870,-57.010617,0.705729
0.050000,1.944378,4.681293,2.253174,2.869965,-3.982441,-55.611408,0.690567
0.050000,2.048280,4.765198,2.386724,2.670997,-3.979354,0.061731,0.666367
0.050000,2.146848,4.840301,2.510644,2.478400,-3.851955,2.547988,0.634174
0.050000,2.240434,4.906465,2.625256,2.292249,-3.723022,2.578655,0.595047
0.050000,2.329198,4.963779,2.730916,2.113204,-3.580894,2.842551,0.550149
0.050000,2.413176,5.012549,2.828028,1.942242,-3.419231,3.233271,0.500804
0.050000,2.492329,5.053276,2.917044,1.780318,-3.238493,3.614754,0.448493
0.050000,2.566585,5.086624,2.998445,1.628007,-3.046212,3.845627,0.394790
0.050000,2.635865,5.113365,3.072707,1.485246,-2.855213,3.819983,0.341261
0.050000,2.700092,5.134331,3.140269,1.351247,-2.679992,3.504418,0.289341
0.050000,2.759187,5.150364,3.201500,1.224617,-2.532605,2.947739,0.240239
0.050000,2.813067,5.162278,3.256681,1.103627,-2.419801,2.256074,0.194880
0.050000,2.861644,5.170837,3.306007,0.986509,-2.342349,1.549044,0.153899
0.050000,2.904828,5.176737,3.349592,0.871696,-2.296262,0.921736,0.117676
0.050000,2.942528,5.180596,3.387489,0.757951,-2.274892,0.427401,0.086387
0.050000,2.974662,5.182952,3.419710,0.644407,-2.270891,0.080030,0.060064
0.050000,3.001156,5.184260,3.446236,0.530530,-2.277532,-0.132822,0.038655
0.050000,3.021950,5.184891,3.467039,0.416063,-2.289343,-0.236221,0.022062
0.050000,3.036996,5.185134,3.482087,0.300951,-2.302236,-0.257861,0.010181
0.050000,3.046260,5.185195,3.491351,0.185283,-2.313370,-0.222677,0.002920
0.050000,3.049721,5.185200,3.494813,0.069237,-2.320921,-0.151033,0.000217
0.050000,3.050000,5.185200,3.495091,0.005572,-1.273294,20.952552,6.283185
0.050000,3.050000,5.185200,3.495091,0.000000,-0.111442,23.237041,6.283185
