dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004292,4.264795,0.003678,0.147131,2.942625,58.852499,6.281054
0.050000,0.017296,4.264726,0.016682,0.260080,2.258980,-13.672905,6.274594
0.050000,0.038973,4.264423,0.038361,0.433572,3.469831,24.217023,6.263809
0.050000,0.069320,4.263605,0.068719,0.607162,3.471796,0.039297,6.248683
0.050000,0.108320,4.261879,0.107757,0.780768,3.472131,0.006710,6.229213
0.050000,0.155926,4.258738,0.155467,0.954184,3.468313,-0.076365,6.205429
0.050000,0.212040,4.253574,0.211818,1.127035,3.457032,-0.225625,6.177424
0.050000,0.276497,4.245684,0.276756,1.298751,3.434317,-0.454297,6.145383
0.050000,0.349035,4.234295,0.350183,1.468545,3.395874,-0.768851,6.109621
0.050000,0.429286,4.218599,0.431955,1.635430,3.337706,-1.163364,6.070614
0.050000,0.516760,4.197795,0.521869,1.798280,3.256995,-1.614213,6.029024
0.050000,0.610856,4.171144,0.619665,1.955934,3.153084,-2.078221,5.985704
0.050000,0.710883,4.138025,0.725033,2.107344,3.028201,-2.497672,5.941679
0.050000,0.816108,4.097984,0.837619,2.251720,2.887517,-2.813668,5.898105
0.050000,0.925811,4.050770,0.957050,2.388634,2.738282,-2.984703,5.856208
0.050000,1.039347,3.996356,1.082952,2.518041,2.588136,-3.002918,5.817221
0.050000,1.156199,3.934937,1.214962,2.640198,2.443135,-2.900023,5.782335
0.050000,1.276018,3.866927,1.352737,2.755505,2.306135,-2.740005,5.752674
0.050000,1.398646,3.792947,1.495953,2.864304,2.175986,-2.602986,5.729308
0.050000,1.524118,3.713829,1.644287,2.966682,2.047567,-2.568369,5.713289
0.050000,1.652657,3.630630,1.797402,3.062303,1.912407,-2.703203,5.705723
0.050000,1.780382,3.547437,1.949831,3.048589,-0.274280,-43.733749,5.707629
0.050000,1.901963,3.469369,2.094319,2.889759,-3.176598,-58.046360,5.718674
0.050000,2.016387,3.398311,2.229011,2.693841,-3.918360,-14.835235,5.737717
0.050000,2.124229,3.334662,2.354235,2.504477,-3.787276,2.621678,5.763683
0.050000,2.225859,3.278582,2.470311,2.321526,-3.659010,2.565324,5.795520
0.050000,2.321491,3.230010,2.577572,2.145207,-3.526386,2.652479,5.832142
0.050000,2.411233,3.188694,2.676367,1.975914,-3.385865,2.810422,5.872397
0.050000,2.495126,3.154219,2.767068,1.814015,-3.237978,2.957736,5.915074
0.050000,2.573176,3.126032,2.850051,1.659662,-3.087050,3.018566,5.958937
0.050000,2.645372,3.103492,2.925684,1.512661,-2.940036,2.940283,6.002780
0.050000,2.711700,3.085899,2.994306,1.372426,-2.804684,2.707037,6.045494
0.050000,2.772143,3.072539,3.056208,1.238047,-2.687590,2.341869,6.086120
0.050000,2.826685,3.062711,3.111628,1.108407,-2.592799,1.895829,6.123879
0.050000,2.875306,3.055750,3.160745,0.982341,-2.521317,1.429632,6.158186
0.050000,2.917986,3.051044,3.203684,0.858766,-2.471496,0.996433,6.188631
0.050000,2.954703,3.048049,3.240522,0.736771,-2.439909,0.631733,6.214955
0.050000,2.985435,3.046289,3.271305,0.615654,-2.422333,0.351511,6.237013
0.050000,3.010164,3.045366,3.296051,0.494927,-2.414537,0.155933,6.254740
0.050000,3.028874,3.044959,3.314766,0.374288,-2.412781,0.035125,6.268122
0.050000,3.041553,3.044825,3.327445,0.253585,-2.414061,-0.025606,6.277169
0.050000,3.048191,3.044801,3.334084,0.132777,-2.416170,-0.042178,6.281898
0.050000,3.050000,3.044800,3.335892,0.036172,-1.932085,9.681696,6.283185
0.050000,3.050000,3.044800,3.335892,0.000000,-0.723449,24.172719,6.283185
