dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002993,3.655197,0.003678,0.147131,2.942625,58.852499,6.281054
0.050000,0.012059,3.655148,0.012744,0.181313,0.683630,-45.179900,6.274594
0.050000,0.027161,3.654937,0.027848,0.302081,2.415363,34.634663,6.263809
0.050000,0.048291,3.654368,0.048985,0.422747,2.413329,-0.040678,6.248683
0.050000,0.075434,3.653166,0.076155,0.543392,2.412897,-0.008649,6.229213
0.050000,0.108573,3.650980,0.109366,0.664222,2.416592,0.073912,6.205429
0.050000,0.147688,3.647380,0.148646,0.785608,2.427731,0.222772,6.177424
0.050000,0.192758,3.641863,0.194053,0.908123,2.450295,0.451278,6.145383
0.050000,0.243761,3.633854,0.245680,1.032553,2.488598,0.766057,6.109621
0.050000,0.300676,3.622720,0.303675,1.159886,2.546665,1.161339,6.070614
0.050000,0.363486,3.607778,0.368237,1.291253,2.627345,1.613606,6.029024
0.050000,0.432174,3.588319,0.439628,1.427820,2.731327,2.079634,5.985704
0.050000,0.506724,3.563629,0.518160,1.570640,2.856400,2.501465,5.941679
0.050000,0.587122,3.533026,0.604186,1.720509,2.997388,2.819756,5.898105
0.050000,0.673363,3.495899,0.698079,1.877860,3.147012,2.992476,5.856208
0.050000,0.765463,3.451746,0.800216,2.042739,3.297578,3.011323,5.817221
0.050000,0.863486,3.400212,0.910960,2.214887,3.442968,2.907797,5.782335
0.050000,0.967576,3.341117,1.030655,2.393900,3.580263,2.745918,5.752674
0.050000,1.078003,3.274487,1.159626,2.579428,3.710562,2.605961,5.729308
0.050000,1.195211,3.200572,1.298195,2.771375,3.838931,2.567389,5.713289
0.050000,1.319876,3.119876,1.446698,2.970064,3.973780,2.696988,5.705723
0.050000,1.448576,3.036050,1.600290,3.071831,2.035341,-38.768782,5.707629
0.050000,1.575825,2.954348,1.751510,3.024409,-0.948440,-59.675634,5.718674
0.050000,1.700115,2.877173,1.897811,2.926010,-1.967985,-20.390897,5.737717
0.050000,1.821594,2.805489,2.038863,2.821046,-2.099266,-2.625622,5.763683
0.050000,1.940222,2.740043,2.174347,2.709671,-2.227497,-2.564607,5.795520
0.050000,2.055764,2.681374,2.303930,2.591676,-2.359908,-2.648224,5.832142
0.050000,2.167800,2.629809,2.427264,2.466672,-2.500090,-2.803644,5.872397
0.050000,2.275759,2.585456,2.543979,2.334293,-2.647569,-2.949573,5.915074
0.050000,2.378959,2.548198,2.653698,2.194389,-2.798083,-3.010282,5.958937
0.050000,2.476668,2.517701,2.756056,2.047152,-2.944737,-2.933087,6.002780
0.050000,2.568163,2.493438,2.850714,1.893161,-3.079828,-2.701826,6.045494
0.050000,2.652788,2.474738,2.937380,1.733322,-3.196781,-2.339044,6.086120
0.050000,2.729982,2.460830,3.015817,1.568744,-3.291545,-1.895279,6.123879
0.050000,2.799305,2.450906,3.085847,1.400590,-3.363088,-1.430878,6.158186
0.050000,2.860432,2.444167,3.147344,1.229939,-3.413030,-0.998833,6.188631
0.050000,2.913142,2.439867,3.200229,1.057700,-3.444764,-0.634669,6.214955
0.050000,2.957298,2.437339,3.244457,0.884576,-3.462488,-0.354496,6.237013
0.050000,2.992826,2.436013,3.280010,0.711055,-3.470421,-0.158645,6.254740
0.050000,3.019692,2.435428,3.306882,0.537440,-3.472290,-0.037378,6.268122
0.050000,3.037885,2.435236,3.325076,0.363886,-3.471095,0.023889,6.277169
0.050000,3.047407,2.435202,3.334598,0.190433,-3.469044,0.041020,6.281898
0.050000,3.050000,2.435200,3.337191,0.051867,-2.771326,13.954353,6.283185
0.050000,3.050000,2.435200,3.337191,0.000000,-1.037343,34.679664,6.283185
