dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003701,7.484750,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014812,7.484750,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033330,7.484750,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059256,7.484750,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092590,7.484750,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,0.133330,7.484750,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,0.181478,7.484750,0.181481,0.962963,2.962963,0.000000,0.000000
0.050000,0.237034,7.484750,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,0.299997,7.484750,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,0.365802,7.485243,0.365807,1.316141,1.137637,-36.506528,0.014876
0.050000,0.438787,7.486906,0.438811,1.460078,2.878743,34.822138,0.030538
0.050000,0.518981,7.490013,0.519064,1.605070,2.899830,0.421732,0.046718
0.050000,0.606440,7.494831,0.606657,1.751848,2.935565,0.714692,0.063122
0.050000,0.701228,7.501610,0.701686,1.900592,2.974872,0.786145,0.079429
0.050000,0.803409,7.510575,0.804260,2.051465,3.017471,0.851991,0.095288
0.050000,0.913055,7.521907,0.914491,2.204617,3.063038,0.911326,0.110326
0.050000,1.030252,7.535733,1.032500,2.360180,3.111254,0.964323,0.124148
0.050000,1.155095,7.552113,1.158413,2.518273,3.161873,1.012387,0.136339
0.050000,1.287704,7.571023,1.292364,2.679012,3.214778,1.058103,0.146465
0.050000,1.428223,7.592337,1.434490,2.842514,3.270027,1.104972,0.154073
0.050000,1.576826,7.615811,1.584935,3.008907,3.327871,1.156886,0.158687
0.050000,1.733724,7.641062,1.743852,3.178344,3.388737,1.217313,0.159810
0.050000,1.899168,7.667541,1.911402,3.351001,3.453143,1.288115,0.156911
0.050000,2.073447,7.694513,2.087756,3.527078,3.521534,1.367820,0.149429
0.050000,2.256881,7.721019,2.273095,3.706777,3.593990,1.449125,0.136767
0.050000,2.449804,7.745843,2.467608,3.890265,3.669758,1.515363,0.118302
0.050000,2.652532,7.767478,2.671488,4.077593,3.746553,1.535896,0.093401
0.050000,2.861424,7.783851,2.881020,4.190637,2.260874,-29.713571,0.062095
0.050000,3.072527,7.793140,3.092328,4.226159,0.710448,-31.008535,0.024950
0.050000,3.280110,7.794750,3.299916,4.151772,-1.487741,-43.963773,0.000000
0.050000,3.480110,7.794750,3.499916,4.000000,-3.035440,-30.953976,0.000000
0.050000,3.680110,7.794750,3.699916,4.000000,0.000000,60.708798,0.000000
0.050000,3.880110,7.794750,3.899916,4.000000,0.000000,0.000000,0.000000
0.050000,4.077988,7.795227,4.097795,3.957581,-0.848383,-16.967661,0.006871
0.050000,4.279272,7.796510,4.299083,4.025753,1.363452,44.236696,0.002645
0.050000,4.486735,7.794872,4.506552,4.149391,2.472744,22.185850,6.261303
0.050000,4.701195,7.785443,4.721220,4.293356,2.879317,8.131451,6.213104
0.050000,4.923840,7.761573,4.945141,4.478420,3.701278,16.439217,6.134420
0.050000,5.155298,7.713353,5.181568,4.728537,5.002337,26.021191,6.014424
0.050000,5.392447,7.626311,5.434186,5.052366,6.476567,29.484602,5.840718
0.050000,5.621238,7.484843,5.703182,5.379906,6.550816,1.484965,5.612389
0.050000,5.814120,7.287533,5.979107,5.518500,2.771868,-75.578947,5.360845
0.050000,5.950306,7.056818,6.247017,5.358212,-3.205754,-119.552440,5.136146
0.050000,6.032999,6.818154,6.499602,5.051692,-6.130402,-58.492957,4.962553
0.050000,6.076598,6.583554,6.738218,4.772327,-5.587296,10.862110,4.835310
0.050000,6.093512,6.355747,6.966653,4.568684,-4.072868,30.288563,4.741733
0.050000,6.094750,6.146859,7.175544,4.177832,-7.817039,-74.883428,4.712389
0.050000,6.094750,5.946859,7.375544,4.000000,-3.556637,85.208040,4.712389
0.050000,6.094750,5.746859,7.575544,4.000000,0.000000,71.132746,4.712389
0.050000,6.094750,5.546859,7.775544,4.000000,-0.000000,-0.000000,4.712389
0.050000,6.094750,5.346859,7.975544,4.000000,-0.000000,0.000000,4.712389
0.050000,6.094750,5.146859,8.175544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,4.946859,8.375544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,4.746859,8.575544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,4.546859,8.775544,4.000000,-0.000000,-0.000000,4.712389
0.050000,6.094750,4.346859,8.975544,4.000000,-0.000000,0.000000,4.712389
0.050000,6.094750,4.146859,9.175544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,3.946859,9.375544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,3.746859,9.575544,4.000000,0.000000,-0.000000,4.712389
0.050000,6.094750,3.546859,9.775544,4.000000,0.000000,-0.000000,4.712389
0.050000,6.094750,3.346859,9.975544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,3.146859,10.175544,4.000000,-0.000000,-0.000000,4.712389
0.050000,6.094750,2.946859,10.375544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,2.746859,10.575544,4.000000,-0.000000,-0.000000,4.712389
0.050000,6.094750,2.546859,10.775544,4.000000,0.000000,0.000000,4.712389
0.050000,6.094750,2.346859,10.975544,4.000000,-0.000000,-0.000000,4.712389
0.050000,6.094750,2.147731,11.174672,3.982555,-0.348905,-6.978104,4.712389
0.050000,6.094320,1.948063,11.374341,3.993380,0.216500,11.308101,4.695540
0.050000,6.081603,1.733665,11.589115,4.295489,6.042179,116.513583,4.604633
0.050000,6.043555,1.515349,11.810722,4.432133,2.732877,-66.186032,4.466666
0.050000,5.964981,1.294969,12.044691,4.679375,4.944842,44.239296,4.263074
0.050000,5.829413,1.088651,12.291563,4.937454,5.161589,4.334945,3.991658
0.050000,5.642849,0.929964,12.536487,4.898471,-0.779664,-118.825075,3.702003
0.050000,5.441195,0.835682,12.759092,4.452111,-8.927196,-162.950640,3.462351
0.050000,5.251671,0.790959,12.953821,3.894578,-11.150667,-44.469411,3.290840
0.050000,5.080820,0.776005,13.125326,3.430091,-9.289740,37.218544,3.171681
0.050000,4.932992,0.776892,13.273157,2.956623,-9.469355,-3.592314,3.106111
0.050000,4.791163,0.786703,13.415325,2.843356,-2.265342,144.080259,3.034839
0.050000,4.649733,0.808616,13.558442,2.862354,0.379954,52.905922,2.936051
0.050000,4.509207,0.847327,13.704202,2.915196,1.056856,13.538038,2.804131
0.050000,4.373135,0.907827,13.853118,2.978309,1.262254,4.107965,2.637328
0.050000,4.249927,0.991886,14.002269,2.983024,0.094294,-23.359201,2.445258
0.050000,4.150044,1.093319,14.144626,2.847132,-2.717840,-56.242685,2.251197
0.050000,4.078302,1.199585,14.272842,2.564321,-5.656219,-58.767579,2.079447
0.050000,4.031314,1.299775,14.383502,2.213215,-7.022123,-27.318073,1.941225
0.050000,4.002224,1.388579,14.476950,1.868949,-6.885316,2.736140,1.835326
0.050000,3.984883,1.464689,14.555010,1.561210,-6.154785,14.610620,1.755687
0.050000,3.974941,1.528459,14.619551,1.290818,-5.407828,14.939138,1.696141
0.050000,3.969550,1.580668,14.672037,1.049727,-4.821829,11.719977,1.651860
0.050000,3.966870,1.622060,14.713516,0.829564,-4.403245,8.371680,1.619403
0.050000,3.965716,1.653225,14.744702,0.623731,-4.116666,5.731590,1.596415
0.050000,3.965331,1.674590,14.766070,0.427365,-3.927329,3.786735,1.581339
0.050000,3.965254,1.686432,14.777913,0.236858,-3.810143,2.343723,1.573213
0.050000,3.965250,1.690000,14.781481,0.071357,-3.310013,10.002607,1.570796
0.050000,3.965250,1.690000,14.781481,0.000000,-1.427138,37.657491,1.570796
