dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003701,6.875250,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014812,6.875250,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033330,6.875250,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059256,6.875250,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092590,6.875250,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,0.133330,6.875250,0.133333,0.814815,2.962963,0.000000,0.000000
0.050000,0.181478,6.875250,0.181481,0.962963,2.962963,0.000000,0.000000
0.050000,0.237034,6.875250,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,0.299997,6.875250,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,0.374869,6.875811,0.374874,1.497475,4.764305,36.026847,0.014876
0.050000,0.457397,6.877690,0.457424,1.651001,3.070530,-33.875498,0.030538
0.050000,0.547445,6.881178,0.547539,1.802300,3.025988,-0.890839,0.046718
0.050000,0.644888,6.886545,0.645130,1.951814,2.990274,-0.714289,0.063122
0.050000,0.749589,6.894032,0.750098,2.099364,2.950998,-0.785516,0.079429
0.050000,0.861399,6.903840,0.862337,2.244786,2.908440,-0.851159,0.095288
0.050000,0.980163,6.916112,0.981734,2.387932,2.862923,-0.910344,0.110326
0.050000,1.105726,6.930924,1.108167,2.528670,2.814759,-0.963280,0.124148
0.050000,1.237937,6.948269,1.241511,2.666880,2.764189,-1.011407,0.136339
0.050000,1.376656,6.968049,1.381633,2.802446,2.711321,-1.057351,0.146465
0.050000,1.521759,6.990057,1.528396,2.935250,2.656088,-1.104655,0.154073
0.050000,1.673140,7.013969,1.681654,3.065161,2.598225,-1.157263,0.158687
0.050000,1.830714,7.039328,1.841255,3.192026,2.537290,-1.218709,0.159810
0.050000,1.994413,7.065529,2.007038,3.315663,2.472743,-1.290938,0.156911
0.050000,2.164186,7.091805,2.178832,3.435869,2.404114,-1.372584,0.149429
0.050000,2.339981,7.117210,2.356454,3.552433,2.331291,-1.456462,0.136767
0.050000,2.521741,7.140603,2.539713,3.665183,2.254990,-1.526004,0.118302
0.050000,2.709378,7.160635,2.728415,3.774056,2.177462,-1.550573,0.093401
0.050000,2.899246,7.175526,2.918867,3.809036,0.699611,-29.557007,0.062095
0.050000,3.087732,7.183830,3.107536,3.773381,-0.713114,-28.254498,0.024950
0.050000,3.280110,7.185250,3.299919,3.847646,1.485313,43.968522,0.000000
0.050000,3.480110,7.185250,3.499919,4.000000,3.047073,31.235207,0.000000
0.050000,3.680110,7.185250,3.699919,4.000000,0.000000,-60.941457,0.000000
0.050000,3.880110,7.185250,3.899919,4.000000,0.000000,0.000000,0.000000
0.050000,4.082176,7.185741,4.101985,4.041337,0.826732,16.534645,0.006871
0.050000,4.280884,7.187012,4.300697,3.974239,-1.341962,-43.373882,0.002645
0.050000,4.473398,7.185518,4.493218,3.850407,-2.476627,-22.693298,6.261303
0.050000,4.658515,7.177440,4.678511,3.705869,-2.890764,-8.282743,6.213104
0.050000,4.833502,7.158805,4.854487,3.519519,-3.726994,-16.724603,6.134420
0.050000,4.993453,7.125734,5.017821,3.266672,-5.056954,-26.599195,6.014424
0.050000,5.131477,7.075507,5.164700,2.937576,-6.581908,-30.499090,5.840718
0.050000,5.242366,7.007406,5.294832,2.602641,-6.698711,-2.336049,5.612389
0.050000,5.328338,6.919422,5.417845,2.460266,-2.847498,77.024254,5.360845
0.050000,5.394716,6.806199,5.549090,2.624905,3.292793,122.805825,5.136146
0.050000,5.442472,6.667264,5.696004,2.938272,6.267336,59.490847,4.962553
0.050000,5.471697,6.508823,5.857118,3.222289,5.680335,-11.740006,4.835310
0.050000,5.484274,6.337864,6.028538,3.428405,4.122318,-31.160350,4.741733
0.050000,5.485250,6.146859,6.219546,3.820154,7.834985,74.253351,4.712389
0.050000,5.485250,5.946859,6.419546,4.000000,3.596918,-84.761345,4.712389
0.050000,5.485250,5.746859,6.619546,4.000000,0.000000,-71.938360,4.712389
0.050000,5.485250,5.546859,6.819546,4.000000,-0.000000,-0.000000,4.712389
0.050000,5.485250,5.346859,7.019546,4.000000,-0.000000,0.000000,4.712389
0.050000,5.485250,5.146859,7.219546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,4.946859,7.419546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,4.746859,7.619546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,4.546859,7.819546,4.000000,-0.000000,-0.000000,4.712389
0.050000,5.485250,4.346859,8.019546,4.000000,-0.000000,0.000000,4.712389
0.050000,5.485250,4.146859,8.219546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,3.946859,8.419546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,3.746859,8.619546,4.000000,0.000000,-0.000000,4.712389
0.050000,5.485250,3.546859,8.819546,4.000000,0.000000,-0.000000,4.712389
0.050000,5.485250,3.346859,9.019546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,3.146859,9.219546,4.000000,-0.000000,-0.000000,4.712389
0.050000,5.485250,2.946859,9.419546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,2.746859,9.619546,4.000000,-0.000000,-0.000000,4.712389
0.050000,5.485250,2.546859,9.819546,4.000000,0.000000,0.000000,4.712389
0.050000,5.485250,2.346859,10.019546,4.000000,-0.000000,-0.000000,4.712389
0.050000,5.485250,2.147731,10.218674,3.982555,-0.348905,-6.978104,4.712389
