dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003629,1.523750,0.003704,0.148148,2.962963,59.259259,0.000236
0.050000,0.014534,1.523757,0.014609,0.218114,1.399321,-31.272842,0.000910
0.050000,0.032746,1.523783,0.032821,0.364232,2.922360,30.460790,0.001917
0.050000,0.058317,1.523847,0.058392,0.511413,2.943618,0.425160,0.003083
0.050000,0.091320,1.523968,0.091396,0.660082,2.973381,0.595245,0.004163
0.050000,0.131853,1.524153,0.131929,0.810664,3.011646,0.765312,0.004844
0.050000,0.180032,1.524388,0.180108,0.963585,3.058414,0.935356,0.004742
0.050000,0.235995,1.524622,0.236072,1.119269,3.113684,1.105395,0.003404
0.050000,0.299902,1.524749,0.299979,1.278142,3.177451,1.275337,0.000305
0.050000,0.374520,1.524268,0.374598,1.492393,4.285019,22.151371,6.269449
0.050000,0.457016,1.522488,0.457113,1.650296,3.158063,-22.539124,6.253902
0.050000,0.547032,1.519120,0.547192,1.801579,3.025663,-2.647991,6.237841
0.050000,0.644446,1.513895,0.644747,1.951094,2.990290,-0.707465,6.221555
0.050000,0.749124,1.506572,0.749680,2.098663,2.951391,-0.777988,6.205363
0.050000,0.860917,1.496953,0.861886,2.244125,2.909237,-0.843070,6.189613
0.050000,0.979673,1.484894,0.981253,2.387332,2.864145,-0.901848,6.174673
0.050000,1.105237,1.470319,1.107661,2.528153,2.816419,-0.954511,6.160936
0.050000,1.237461,1.453232,1.240984,2.666468,2.766297,-1.002450,6.148812
0.050000,1.376205,1.433730,1.381092,2.802162,2.713886,-1.048212,6.138733
0.050000,1.521346,1.412017,1.527848,2.935119,2.659124,-1.095246,6.131147
0.050000,1.672778,1.388412,1.681108,3.065206,2.601754,-1.147397,6.126525
0.050000,1.830414,1.363368,1.840722,3.192274,2.541348,-1.208124,6.125362
0.050000,1.994189,1.337482,2.006529,3.316143,2.477381,-1.279347,6.128182
0.050000,2.164046,1.311515,2.178360,3.436612,2.409392,-1.359778,6.135542
