dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003773,0.914250,0.003704,0.148148,2.962963,59.259259,0.000236
0.050000,0.015089,0.914257,0.015020,0.226330,1.563642,-27.986421,0.000910
0.050000,0.033915,0.914284,0.033846,0.376508,3.003565,28.798463,0.001917
0.050000,0.060196,0.914350,0.060127,0.525624,2.982307,-0.425162,0.003083
0.050000,0.093858,0.914473,0.093789,0.673251,2.952545,-0.595237,0.004163
0.050000,0.134806,0.914660,0.134738,0.818965,2.914280,-0.765296,0.004844
0.050000,0.182922,0.914895,0.182855,0.962341,2.867512,-0.935358,0.004742
0.050000,0.238069,0.915125,0.238002,1.102953,2.812239,-1.105473,0.003404
0.050000,0.300088,0.915249,0.300021,1.240376,2.748458,-1.275608,0.000305
0.050000,0.366148,0.914826,0.366082,1.321226,1.617006,-22.629056,6.269449
0.050000,0.439170,0.913249,0.439122,1.460784,2.791158,23.483040,6.253902
0.050000,0.519404,0.910247,0.519411,1.605792,2.900157,2.179979,6.237841
0.050000,0.606906,0.905552,0.607040,1.752569,2.935550,0.707860,6.221555
0.050000,0.701739,0.898917,0.702104,1.901293,2.974480,0.778605,6.205363
0.050000,0.803968,0.890120,0.804711,2.052127,3.016674,0.843888,6.189613
0.050000,0.913664,0.878979,0.914971,2.205218,3.061815,0.902814,6.174673
0.050000,1.030912,0.865367,1.033006,2.360697,3.109592,0.955539,6.160936
0.050000,1.155807,0.849226,1.158941,2.518685,3.159763,1.003417,6.148812
0.050000,1.288468,0.830578,1.292905,2.679296,3.212211,1.048957,6.138733
0.050000,1.429035,0.809548,1.435038,2.842645,3.266989,1.095565,6.131147
0.050000,1.577683,0.786376,1.585481,3.008862,3.324341,1.147035,6.126525
0.050000,1.734620,0.761443,1.744386,3.178096,3.384679,1.206763,6.125362
0.050000,1.900092,0.735290,1.911912,3.350522,3.448508,1.276587,6.128182
0.050000,2.074384,0.708646,2.088228,3.526335,3.516264,1.355114,6.135542
0.050000,2.257811,0.682460,2.273515,3.705736,3.588028,1.435291,6.148033
0.050000,2.450703,0.657935,2.467960,3.888890,3.663077,1.500977,6.166272
0.050000,2.653371,0.636562,2.671752,4.075850,3.739200,1.522467,6.190887
0.050000,2.862173,0.620393,2.881179,4.188544,2.253876,-29.706486,6.221848
