dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001305,1.687500,0.001222,0.048865,0.977295,19.545898,6.282952
0.050000,0.005320,1.687497,0.005236,0.080290,0.628506,-6.975785,6.282235
0.050000,0.012009,1.687487,0.011925,0.133782,1.069846,8.826807,6.281043
0.050000,0.021370,1.687459,0.021286,0.187223,1.068811,-0.020700,6.279382
0.050000,0.033399,1.687401,0.033316,0.240591,1.067355,-0.029115,6.277259
0.050000,0.048092,1.687295,0.048009,0.293864,1.065472,-0.037658,6.274683
0.050000,0.065442,1.687121,0.065360,0.347022,1.063154,-0.046359,6.271668
0.050000,0.085443,1.686856,0.085362,0.400042,1.060392,-0.055239,6.268226
0.050000,0.108084,1.686474,0.108007,0.452900,1.057177,-0.064314,6.264375
0.050000,0.133358,1.685945,0.133286,0.505575,1.053497,-0.073592,6.260133
0.050000,0.161251,1.685237,0.161188,0.558042,1.049343,-0.083072,6.255521
0.050000,0.191751,1.684317,0.191702,0.610278,1.044706,-0.092743,6.250564
0.050000,0.224843,1.683149,0.224815,0.662257,1.039577,-0.102586,6.245287
0.050000,0.260511,1.681697,0.260513,0.713954,1.033948,-0.112573,6.239720
0.050000,0.298737,1.679923,0.298780,0.765345,1.027815,-0.122669,6.233894
0.050000,0.339502,1.677787,0.339600,0.816403,1.021174,-0.132829,6.227842
0.050000,0.382783,1.675253,0.382955,0.867105,1.014023,-0.143007,6.221602
0.050000,0.428558,1.672283,0.428826,0.917423,1.006366,-0.153150,6.215213
0.050000,0.476802,1.668840,0.477193,0.967333,0.998205,-0.163206,6.208717
0.050000,0.527488,1.664891,0.528034,1.016811,0.989549,-0.173124,6.202158
0.050000,0.580591,1.660401,0.581325,1.065831,0.980406,-0.182858,6.195583
0.050000,0.636079,1.655343,0.637044,1.114370,0.970788,-0.192370,6.189042
0.050000,0.693924,1.649691,0.695164,1.162406,0.960706,-0.201633,6.182585
0.050000,0.754094,1.643423,0.755660,1.209914,0.950174,-0.210634,6.176268
0.050000,0.816558,1.636524,0.818503,1.256875,0.939206,-0.219374,6.170146
0.050000,0.881283,1.628981,0.883667,1.303265,0.927812,-0.227875,6.164278
0.050000,0.948237,1.620790,0.951120,1.349065,0.916003,-0.236174,6.158724
0.050000,1.017388,1.611953,1.020833,1.394255,0.903787,-0.244331,6.153547
0.050000,1.088702,1.602481,1.092773,1.438813,0.891166,-0.252420,6.148811
