dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001077,0.712500,0.001222,0.048865,0.977295,19.545898,6.282952
0.050000,0.004393,0.712498,0.004537,0.066304,0.348789,-12.570113,6.282235
0.050000,0.009920,0.712489,0.010064,0.110541,0.884744,10.719088,6.281043
0.050000,0.017661,0.712466,0.017805,0.154830,0.885778,0.020695,6.279382
0.050000,0.027621,0.712418,0.027765,0.199192,0.887234,0.029107,6.277259
0.050000,0.039803,0.712330,0.039947,0.243648,0.889116,0.037649,6.274683
0.050000,0.054213,0.712186,0.054358,0.288219,0.891434,0.046348,6.271668
0.050000,0.070858,0.711965,0.071005,0.332929,0.894195,0.055227,6.268226
0.050000,0.089745,0.711646,0.089895,0.377800,0.897410,0.064302,6.264375
0.050000,0.110883,0.711204,0.111038,0.422854,0.901089,0.073580,6.260133
0.050000,0.134282,0.710610,0.134443,0.468116,0.905242,0.083060,6.255521
0.050000,0.159951,0.709836,0.160124,0.513610,0.909879,0.092731,6.250564
0.050000,0.187901,0.708849,0.188092,0.559361,0.915007,0.102576,6.245287
0.050000,0.218146,0.707618,0.218362,0.605392,0.920636,0.112565,6.239720
0.050000,0.250697,0.706107,0.250948,0.651731,0.926769,0.122663,6.233894
0.050000,0.285569,0.704280,0.285868,0.698401,0.933410,0.132827,6.227842
0.050000,0.322777,0.702102,0.323140,0.745429,0.940561,0.143008,6.221602
0.050000,0.362336,0.699535,0.362782,0.792840,0.948218,0.153155,6.215213
0.050000,0.404262,0.696543,0.404815,0.840659,0.956379,0.163215,6.208717
0.050000,0.448574,0.693089,0.449260,0.888911,0.965036,0.173137,6.202158
0.050000,0.495288,0.689140,0.496141,0.937620,0.974180,0.182876,6.195583
0.050000,0.544425,0.684661,0.545482,0.986810,0.983799,0.192392,6.189042
0.050000,0.596004,0.679621,0.597307,1.036504,0.993882,0.201659,6.182585
0.050000,0.650048,0.673991,0.651643,1.086725,1.004415,0.210663,6.176268
0.050000,0.706579,0.667746,0.708518,1.137494,1.015386,0.219406,6.170146
0.050000,0.765621,0.660865,0.767959,1.188833,1.026781,0.227908,6.164278
0.050000,0.827200,0.653332,0.829998,1.240763,1.038591,0.236208,6.158724
0.050000,0.891343,0.645135,0.894663,1.293303,1.050810,0.244363,6.153547
0.050000,0.958081,0.636270,0.961986,1.346475,1.063432,0.252449,6.148811
0.050000,1.027444,0.626739,1.032001,1.400298,1.076460,0.260557,6.144584
0.050000,1.099467,0.616554,1.104741,1.454793,1.089899,0.268792,6.140935
0.050000,1.174187,0.605733,1.180240,1.509981,1.103763,0.277262,6.137934
0.050000,1.251643,0.594307,1.258534,1.565884,1.118066,0.286078,6.135655
0.050000,1.331878,0.582317,1.339661,1.622526,1.132833,0.295338,6.134174
0.050000,1.414939,0.569815,1.423657,1.679930,1.148089,0.305121,6.133569
0.050000,1.500875,0.556869,1.510563,1.738123,1.163863,0.315466,6.133920
0.050000,1.589741,0.543560,1.600420,1.797133,1.180181,0.326359,6.135312
0.050000,1.681593,0.529987,1.693269,1.856986,1.197066,0.337704,6.137830
0.050000,1.776492,0.516267,1.789155,1.917712,1.214531,0.349298,6.141566
0.050000,1.874502,0.502536,1.888122,1.979341,1.232570,0.360793,6.146611
0.050000,1.975689,0.488951,1.990217,2.041899,1.251153,0.371655,6.153060
0.050000,2.080121,0.475695,2.095487,2.105409,1.270209,0.381116,6.161011
0.050000,2.185777,0.463212,2.201878,2.127816,0.448137,-16.441450,6.170367
0.050000,2.290113,0.451934,2.306821,2.098860,-0.579112,-20.544969,6.180869
0.050000,2.392624,0.441995,2.409814,2.059853,-0.780139,-4.020540,6.192383
0.050000,2.493257,0.433452,2.510808,2.019880,-0.799473,-0.386689,6.204810
0.050000,2.591948,0.426350,2.609755,1.978938,-0.818823,-0.386998,6.218049
0.050000,2.688635,0.420712,2.706606,1.937030,-0.838177,-0.387070,6.232001
0.050000,2.783252,0.416549,2.801314,1.894155,-0.857492,-0.386311,6.246568
0.050000,2.875728,0.413853,2.893830,1.850320,-0.876701,-0.384179,6.261651
0.050000,2.965996,0.412603,2.984106,1.805534,-0.895712,-0.380212,6.277152
0.050000,3.049362,0.412495,3.067472,1.667318,-2.764334,-37.372447,0.000333
0.050000,3.130668,0.412759,3.148779,1.626131,-0.823728,38.812130,0.007456
0.050000,3.213350,0.413942,3.231469,1.653793,0.553237,27.539290,0.022429
0.050000,3.297373,0.416734,3.315539,1.681403,0.552203,-0.020685,0.045248
0.050000,3.382816,0.421873,3.401136,1.711945,0.610833,1.172608,0.076215
0.050000,3.469810,0.430195,3.488527,1.747826,0.717621,2.135765,0.115878
0.050000,3.558474,0.442663,3.578064,1.790725,0.857982,2.807214,0.164959
0.050000,3.648805,0.460398,3.670119,1.841111,1.007715,2.994664,0.224229
0.050000,3.740521,0.484651,3.764988,1.897375,1.125292,2.351527,0.294294
0.050000,3.832852,0.516698,3.862722,1.954682,1.146137,0.416904,0.375263
0.050000,3.924339,0.557573,3.962925,2.004061,0.987568,-3.171373,0.466325
0.050000,4.012782,0.607669,4.064570,2.032894,0.576669,-8.217987,0.565370
0.050000,4.095495,0.666325,4.165970,2.028003,-0.097815,-13.489668,0.668933
0.050000,4.169913,0.731684,4.265015,1.980899,-0.942090,-16.885512,0.772674
0.050000,4.234279,0.801015,4.359618,1.892064,-1.776692,-16.692044,0.872306
0.050000,4.288020,0.871379,4.448157,1.770783,-2.425627,-12.978702,0.964494
0.050000,4.331653,0.940255,4.529690,1.630659,-2.802472,-7.536885,1.047305
0.050000,4.366377,1.005853,4.603912,1.484445,-2.924280,-2.436169,1.120118
0.050000,4.393653,1.067113,4.670971,1.341164,-2.865624,1.173133,1.183236
0.050000,4.414904,1.123533,4.731260,1.205793,-2.707412,3.164226,1.237474
0.050000,4.431379,1.174973,4.785273,1.080264,-2.510591,3.936427,1.283844
0.050000,4.444107,1.221496,4.833507,0.964661,-2.312050,3.970826,1.323365
0.050000,4.453910,1.263269,4.876414,0.858147,-2.130288,3.635228,1.356972
0.050000,4.461435,1.300492,4.914390,0.759525,-1.972432,3.157122,1.385473
0.050000,4.467188,1.333370,4.947768,0.667549,-1.839526,2.658121,1.409552
0.050000,4.471560,1.362092,4.976821,0.581059,-1.729808,2.194358,1.429772
0.050000,4.474858,1.386825,5.001772,0.499034,-1.640504,1.786075,1.446589
0.050000,4.477319,1.407710,5.022802,0.420597,-1.568723,1.435633,1.460374
0.050000,4.479125,1.424866,5.040052,0.345005,-1.511849,1.137476,1.471417
0.050000,4.480415,1.438385,5.053633,0.271620,-1.467691,0.883169,1.479945
0.050000,4.481291,1.448341,5.063628,0.199895,-1.434501,0.663792,1.486129
0.050000,4.481825,1.454787,5.070095,0.129348,-1.410956,0.470904,1.490088
0.050000,4.482062,1.457754,5.073073,0.059542,-1.396115,0.296819,1.491900
0.050000,4.482111,1.458372,5.073692,0.012390,-0.943038,9.061534,1.492276
0.050000,4.482111,1.458372,5.073692,0.000000,-0.247798,13.904795,1.492276
0.050000,4.482111,1.458372,5.073692,0.000000,0.000000,4.955966,1.492276
