dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003694,3.000000,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,0.014805,3.000000,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,0.033323,3.000000,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,0.059249,3.000000,0.059259,0.518519,2.962963,-0.000000,0.000000
0.050000,0.092583,3.000000,0.092593,0.666667,2.962963,0.000000,0.000000
0.050000,0.133323,3.000000,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,0.181471,3.000000,0.181481,0.962963,2.962963,-0.000000,0.000000
0.050000,0.237027,3.000000,0.237037,1.111111,2.962963,0.000000,0.000000
0.050000,0.299990,3.000000,0.300000,1.259259,2.962963,0.000000,0.000000
0.050000,0.370360,3.000000,0.370370,1.407407,2.962963,-0.000000,0.000000
0.050000,0.448138,3.000000,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,0.533323,3.000000,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,0.625916,3.000000,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,0.725916,3.000000,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,0.833323,3.000000,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,0.948138,3.000000,0.948148,2.296296,2.962963,-0.000000,0.000000
0.050000,1.065725,2.999850,1.065735,2.351736,1.108785,-37.083559,6.278646
0.050000,1.187135,2.998798,1.187150,2.428299,1.531260,8.449506,6.270432
0.050000,1.315698,2.996612,1.315732,2.571636,2.866744,26.709677,6.261977
0.050000,1.451445,2.993142,1.451522,2.715815,2.883580,0.336726,6.253324
0.050000,1.594405,2.988238,1.594567,2.860893,2.901568,0.359760,6.244517
0.050000,1.744612,2.981752,1.744913,3.006928,2.920689,0.382409,6.235604
0.050000,1.902096,2.973540,1.902612,3.153973,2.940913,0.404475,6.226637
0.050000,2.066893,2.963463,2.067716,3.302083,2.962202,0.425779,6.217668
0.050000,2.239036,2.951391,2.240282,3.451309,2.984510,0.446173,6.208752
0.050000,2.418561,2.937201,2.420367,3.601698,3.007787,0.465544,6.199949
0.050000,2.605506,2.920783,2.608031,3.753297,3.031979,0.483829,6.191318
0.050000,2.796373,2.902396,2.799783,3.835026,1.634575,-27.948077,6.183070
0.050000,2.987638,2.882430,2.992087,3.846082,0.221117,-28.269162,6.175374
0.050000,3.179301,2.860984,3.184945,3.857166,0.221682,0.011302,6.168233
0.050000,3.371362,2.838158,3.378359,3.868267,0.222018,0.006728,6.161647
0.050000,3.563827,2.814052,3.572327,3.879375,0.222168,0.002992,6.155616
0.050000,3.756701,2.788766,3.766851,3.890484,0.222170,0.000034,6.150140
0.050000,3.949991,2.762404,3.961931,3.901587,0.222059,-0.002208,6.145220
0.050000,4.143705,2.735066,4.157565,3.912680,0.221869,-0.003800,6.140854
0.050000,4.337855,2.706858,4.353753,3.923762,0.221629,-0.004810,6.137042
0.050000,4.532451,2.677881,4.550494,3.934830,0.221364,-0.005305,6.133784
0.050000,4.727506,2.648242,4.747789,3.945885,0.221096,-0.005351,6.131078
0.050000,4.923034,2.618044,4.945635,3.956927,0.220845,-0.005017,6.128924
0.050000,5.119050,2.587394,5.144033,3.967958,0.220627,-0.004368,6.127322
0.050000,5.315570,2.556398,5.342982,3.978981,0.220453,-0.003470,6.126271
0.050000,5.512610,2.525164,5.542482,3.989998,0.220334,-0.002388,6.125771
0.050000,5.710186,2.493799,5.742532,4.001011,0.220275,-0.001185,6.125822
0.050000,5.908317,2.462412,5.943134,4.012025,0.220278,0.000076,6.126423
0.050000,6.107019,2.431114,6.144286,4.023042,0.220345,0.001331,6.127575
0.050000,6.306310,2.400014,6.345989,4.034066,0.220471,0.002517,6.129278
0.050000,6.506208,2.369224,6.548244,4.045098,0.220649,0.003570,6.131533
0.050000,6.706729,2.338858,6.751051,4.056142,0.220871,0.004427,6.134341
0.050000,6.907889,2.309030,6.954411,4.067198,0.221122,0.005022,6.137701
0.050000,7.109704,2.279854,7.158324,4.078267,0.221386,0.005291,6.141614
0.050000,7.312189,2.251447,7.362792,4.089350,0.221645,0.005167,6.146082
0.050000,7.515356,2.223926,7.567814,4.100443,0.221874,0.004583,6.151104
0.050000,7.719216,2.197412,7.773391,4.111546,0.222047,0.003471,6.156682
0.050000,7.923779,2.172023,7.979524,4.122652,0.222136,0.001764,6.162815
0.050000,8.129052,2.147881,8.186212,4.133758,0.222105,-0.000604,6.169503
0.050000,8.335040,2.125108,8.393454,4.144854,0.221920,-0.003699,6.176746
0.050000,8.541744,2.103829,8.601251,4.155931,0.221541,-0.007584,6.184543
0.050000,8.749163,2.084167,8.809600,4.166977,0.220925,-0.012316,6.192893
0.050000,8.957292,2.066247,9.018499,4.177978,0.220028,-0.017948,6.201792
0.050000,9.166122,2.050195,9.227945,4.188919,0.218802,-0.024524,6.211239
