dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000089,3.000000,0.000199,0.019913,0.995673,49.783658,0.000000
0.020000,0.000886,3.000000,0.000996,0.039827,0.995673,0.000000,0.000000
0.020000,0.002678,3.000000,0.002788,0.089611,2.489183,74.675487,0.000000
0.020000,0.005665,3.000000,0.005775,0.149351,2.987019,24.891829,0.000000
0.020000,0.009847,3.000000,0.009957,0.209091,2.987019,0.000000,0.000000
0.020000,0.015223,3.000000,0.015333,0.268832,2.987019,-0.000000,0.000000
0.020000,0.021795,3.000000,0.021905,0.328572,2.987019,0.000000,0.000000
0.020000,0.029561,3.000000,0.029671,0.388313,2.987019,-0.000000,0.000000
0.020000,0.038522,3.000000,0.038632,0.448053,2.987019,-0.000000,0.000000
0.020000,0.048678,3.000000,0.048788,0.507793,2.987019,0.000000,0.000000
0.020000,0.060029,3.000000,0.060139,0.567534,2.987019,-0.000000,0.000000
0.020000,0.072574,3.000000,0.072684,0.627274,2.987019,-0.000000,0.000000
0.020000,0.086314,3.000000,0.086424,0.687014,2.987019,0.000000,0.000000
0.020000,0.101250,3.000000,0.101360,0.746755,2.987019,-0.000000,0.000000
0.020000,0.117379,3.000000,0.117489,0.806495,2.987019,0.000000,0.000000
0.020000,0.134704,3.000000,0.134814,0.866236,2.987019,0.000000,0.000000
0.020000,0.153224,3.000000,0.153334,0.925976,2.987019,-0.000000,0.000000
0.020000,0.172938,3.000000,0.173048,0.985716,2.987019,0.000000,0.000000
0.020000,0.193847,3.000000,0.193957,1.045457,2.987019,0.000000,0.000000
0.020000,0.215951,3.000000,0.216061,1.105197,2.987019,0.000000,0.000000
0.020000,0.239250,3.000000,0.239360,1.164938,2.987019,-0.000000,0.000000
0.020000,0.263743,3.000000,0.263853,1.224678,2.987019,0.000000,0.000000
0.020000,0.289432,3.000000,0.289542,1.284418,2.987019,-0.000000,0.000000
0.020000,0.316315,3.000000,0.316425,1.344159,2.987019,-0.000000,0.000000
0.020000,0.344393,3.000000,0.344503,1.403899,2.987019,-0.000000,0.000000
0.020000,0.373666,3.000000,0.373776,1.463640,2.987019,-0.000000,0.000000
0.020000,0.404133,3.000000,0.404243,1.523380,2.987019,0.000000,0.000000
0.020000,0.435796,3.000000,0.435906,1.583120,2.987019,0.000000,0.000000
0.020000,0.468653,3.000000,0.468763,1.642861,2.987019,-0.000000,0.000000
0.020000,0.502705,3.000000,0.502815,1.702601,2.987019,0.000000,0.000000
0.020000,0.537952,3.000000,0.538062,1.762341,2.987019,0.000000,0.000000
0.020000,0.574393,3.000000,0.574503,1.822082,2.987019,0.000000,0.000000
0.020000,0.612030,3.000000,0.612140,1.881822,2.987019,-0.000000,0.000000
0.020000,0.650861,3.000000,0.650971,1.941563,2.987019,0.000000,0.000000
0.020000,0.690887,3.000000,0.690997,2.001303,2.987019,0.000000,0.000000
0.020000,0.732108,3.000000,0.732218,2.061043,2.987019,0.000000,0.000000
0.020000,0.774524,3.000000,0.774634,2.120784,2.987019,-0.000000,0.000000
0.020000,0.818134,3.000000,0.818244,2.180524,2.987019,0.000000,0.000000
0.020000,0.862939,3.000000,0.863049,2.240265,2.987019,-0.000000,0.000000
0.020000,0.908940,3.000000,0.909050,2.300005,2.987019,0.000000,0.000000
0.020000,0.956135,3.000000,0.956245,2.359745,2.987019,0.000000,0.000000
0.020000,1.004524,3.000000,1.004634,2.419486,2.987019,0.000000,0.000000
0.020000,1.054109,3.000000,1.054219,2.479226,2.987019,-0.000000,0.000000
0.020000,1.104888,3.000000,1.104998,2.538967,2.987019,0.000000,0.000000
0.020000,1.156862,3.000000,1.156972,2.598707,2.987019,0.000000,0.000000
0.020000,1.210031,3.000000,1.210141,2.658447,2.987019,-0.000000,0.000000
0.020000,1.264395,3.000000,1.264505,2.718188,2.987019,0.000000,0.000000
0.020000,1.319953,3.000000,1.320063,2.777928,2.987019,0.000000,0.000000
0.020000,1.376707,3.000000,1.376817,2.837669,2.987019,-0.000000,0.000000
0.020000,1.434655,3.000000,1.434765,2.897409,2.987019,-0.000000,0.000000
0.020000,1.493798,3.000000,1.493908,2.957149,2.987019,0.000000,0.000000
0.020000,1.554136,3.000000,1.554246,3.016890,2.987019,-0.000000,0.000000
0.020000,1.615668,3.000000,1.615778,3.076630,2.987019,0.000000,0.000000
0.020000,1.678396,3.000000,1.678506,3.136370,2.987019,-0.000000,0.000000
0.020000,1.742318,3.000000,1.742428,3.196111,2.987019,0.000000,0.000000
0.020000,1.807435,3.000000,1.807545,3.255851,2.987019,-0.000000,0.000000
0.020000,1.873747,3.000000,1.873857,3.315592,2.987019,0.000000,0.000000
0.020000,1.941254,3.000000,1.941364,3.375332,2.987019,-0.000000,0.000000
0.020000,2.009955,3.000000,2.010065,3.435072,2.987019,0.000000,0.000000
0.020000,2.079851,3.000000,2.079961,3.494813,2.987019,0.000000,0.000000
0.020000,2.150942,3.000000,2.151052,3.554553,2.987019,-0.000000,0.000000
0.020000,2.223228,3.000000,2.223338,3.614294,2.987019,0.000000,0.000000
0.020000,2.296709,3.000000,2.296819,3.674034,2.987019,0.000000,0.000000
0.020000,2.371384,3.000000,2.371494,3.733774,2.987019,0.000000,0.000000
0.020000,2.447255,3.000000,2.447365,3.793515,2.987019,-0.000000,0.000000
0.020000,2.524320,3.000000,2.524430,3.853255,2.987019,0.000000,0.000000
0.020000,2.602580,3.000000,2.602690,3.912996,2.987019,-0.000000,0.000000
0.020000,2.682034,3.000000,2.682144,3.972736,2.987019,0.000000,0.000000
0.020000,2.762684,3.000000,2.762794,4.032476,2.987019,0.000000,0.000000
0.020000,2.844528,3.000000,2.844638,4.092217,2.987019,0.000000,0.000000
0.020000,2.927567,3.000000,2.927677,4.151957,2.987019,-0.000000,0.000000
0.020000,3.011801,3.000000,3.011911,4.211697,2.987019,0.000000,0.000000
0.020000,3.097230,3.000000,3.097340,4.271438,2.987019,-0.000000,0.000000
0.020000,3.183854,3.000000,3.183964,4.331178,2.987019,0.000000,0.000000
0.020000,3.271672,3.000000,3.271782,4.390919,2.987019,-0.000000,0.000000
0.020000,3.360685,3.000000,3.360795,4.450659,2.987019,0.000000,0.000000
0.020000,3.450893,3.000000,3.451003,4.510399,2.987019,-0.000000,0.000000
0.020000,3.542296,3.000000,3.542406,4.570140,2.987019,0.000000,0.000000
0.020000,3.634894,3.000000,3.635004,4.629880,2.987019,0.000000,0.000000
0.020000,3.728686,3.000000,3.728796,4.689621,2.987019,-0.000000,0.000000
0.020000,3.823673,3.000000,3.823783,4.749361,2.987019,-0.000000,0.000000
0.020000,3.919855,3.000000,3.919965,4.809101,2.987019,0.000000,0.000000
0.020000,4.017232,3.000000,4.017342,4.868842,2.987019,-0.000000,0.000000
0.020000,4.115804,3.000000,4.115914,4.928582,2.987019,0.000000,0.000000
0.020000,4.215570,3.000000,4.215680,4.988323,2.987019,-0.000000,0.000000
0.020000,4.316531,3.000000,4.316641,5.048063,2.987019,-0.000000,0.000000
0.020000,4.418687,3.000000,4.418797,5.107803,2.987019,0.000000,0.000000
0.020000,4.522038,3.000000,4.522148,5.167544,2.987019,0.000000,0.000000
0.020000,4.626584,3.000000,4.626694,5.227284,2.987019,-0.000000,0.000000
0.020000,4.732325,3.000000,4.732435,5.287024,2.987019,0.000000,0.000000
0.020000,4.839260,3.000000,4.839370,5.346765,2.987019,0.000000,0.000000
0.020000,4.947390,3.000000,4.947500,5.406505,2.987019,0.000000,0.000000
0.020000,5.056715,3.000000,5.056825,5.466246,2.987019,-0.000000,0.000000
0.020000,5.167235,3.000000,5.167345,5.525986,2.987019,0.000000,0.000000
0.020000,5.278949,3.000000,5.279059,5.585726,2.987019,0.000000,0.000000
0.020000,5.391858,3.000000,5.391968,5.645467,2.987019,-0.000000,0.000000
0.020000,5.505963,3.000000,5.506073,5.705207,2.987019,0.000000,0.000000
0.020000,5.621262,3.000000,5.621372,5.764948,2.987019,0.000000,0.000000
0.020000,5.737755,3.000000,5.737865,5.824688,2.987019,-0.000000,0.000000
0.020000,5.855444,3.000000,5.855554,5.884428,2.987019,0.000000,0.000000
0.020000,5.974327,3.000000,5.974437,5.944169,2.987019,-0.000000,0.000000
0.020000,6.094405,3.000000,6.094515,6.003909,2.987019,0.000000,0.000000
0.020000,6.215678,3.000000,6.215788,6.063650,2.987019,0.000000,0.000000
0.020000,6.338146,3.000000,6.338256,6.123390,2.987019,-0.000000,0.000000
0.020000,6.461809,3.000000,6.461919,6.183130,2.987019,-0.000000,0.000000
0.020000,6.586666,3.000000,6.586776,6.242871,2.987019,0.000000,0.000000
0.020000,6.712718,3.000000,6.712828,6.302611,2.987019,-0.000000,0.000000
0.020000,6.839965,3.000000,6.840075,6.362351,2.987019,0.000000,0.000000
0.020000,6.968407,3.000000,6.968517,6.422092,2.987019,-0.000000,0.000000
0.020000,7.098044,3.000000,7.098154,6.481832,2.987019,0.000000,0.000000
0.020000,7.228875,3.000000,7.228985,6.541573,2.987019,-0.000000,0.000000
0.020000,7.360902,3.000000,7.361012,6.601313,2.987019,0.000000,0.000000
0.020000,7.493924,3.000000,7.494034,6.651097,2.489183,-24.891829,0.000000
0.020000,7.627543,3.000000,7.627653,6.680967,1.493510,-49.783658,0.000000
0.020000,7.761165,3.000000,7.761275,6.681120,0.007664,-74.292308,0.000000
0.020000,7.894196,3.000000,7.894306,6.651557,-1.478183,-74.292308,0.000000
0.020000,8.026238,3.000000,8.026348,6.602079,-2.473856,-49.783658,0.000000
0.020000,8.157088,3.000000,8.157198,6.542492,-2.979356,-25.275007,0.000000
0.020000,8.286743,3.000000,8.286853,6.482752,-2.987019,-0.383178,0.000000
0.020000,8.415203,3.000000,8.415313,6.423012,-2.987019,-0.000000,0.000000
0.020000,8.542469,3.000000,8.542579,6.363271,-2.987019,0.000000,0.000000
0.020000,8.668539,3.000000,8.668649,6.303531,-2.987019,-0.000000,0.000000
0.020000,8.793415,3.000000,8.793525,6.243790,-2.987019,0.000000,0.000000
0.020000,8.917096,3.000000,8.917206,6.184050,-2.987019,0.000000,0.000000
0.020000,9.039582,3.000000,9.039692,6.124310,-2.987019,-0.000000,0.000000
0.020000,9.160874,3.000000,9.160984,6.064569,-2.987019,0.000000,0.000000
0.020000,9.280970,3.000000,9.281080,6.004829,-2.987019,-0.000000,0.000000
0.020000,9.399872,3.000000,9.399982,5.945088,-2.987019,0.000000,0.000000
0.020000,9.517579,3.000000,9.517689,5.885348,-2.987019,-0.000000,0.000000
0.020000,9.634091,3.000000,9.634201,5.825608,-2.987019,0.000000,0.000000
0.020000,9.749408,3.000000,9.749518,5.765867,-2.987019,-0.000000,0.000000
0.020000,9.863531,3.000000,9.863641,5.706127,-2.987019,-0.000000,0.000000
0.020000,9.976459,3.000000,9.976569,5.646386,-2.987019,0.000000,0.000000
0.020000,10.088192,3.000000,10.088302,5.586646,-2.987019,-0.000000,0.000000
0.020000,10.198730,3.000000,10.198840,5.526906,-2.987019,0.000000,0.000000
0.020000,10.308073,3.000000,10.308183,5.467165,-2.987019,0.000000,0.000000
0.020000,10.416221,3.000000,10.416331,5.407425,-2.987019,-0.000000,0.000000
0.020000,10.523175,3.000000,10.523285,5.347684,-2.987019,0.000000,0.000000
0.020000,10.628934,3.000000,10.629044,5.287944,-2.987019,0.000000,0.000000
0.020000,10.733498,3.000000,10.733608,5.228204,-2.987019,0.000000,0.000000
0.020000,10.836867,3.000000,10.836977,5.168463,-2.987019,0.000000,0.000000
0.020000,10.939042,3.000000,10.939152,5.108723,-2.987019,-0.000000,0.000000
0.020000,11.038000,2.999961,11.038110,4.947923,-8.040016,-252.649808,6.281207
0.020000,11.134149,2.999581,11.134260,4.807461,-7.023078,50.846879,6.277572
0.020000,11.230937,2.998936,11.231050,4.839517,1.602781,431.292937,6.275772
0.020000,11.328280,2.998198,11.328395,4.867271,1.387718,-10.753132,6.275722
0.020000,11.426114,2.997535,11.426232,4.891829,1.227910,-7.990402,6.277359
0.020000,11.524396,2.997110,11.524515,4.914173,1.117166,-5.537179,6.280636
0.020000,11.623100,2.997087,11.623219,4.935183,1.050529,-3.331893,0.002344
0.020000,11.722212,2.997628,11.722332,4.955664,1.024026,-1.325137,0.008842
0.020000,11.821731,2.998898,11.821859,4.976353,1.034455,0.521471,0.016948
0.020000,11.921666,3.001065,11.921818,4.997936,1.079174,2.235949,0.026680
0.020000,12.022035,3.004302,12.022239,5.021054,1.155896,3.836071,0.038070
0.020000,12.122861,3.008790,12.123165,5.046304,1.262474,5.328932,0.051161
0.020000,12.224173,3.014717,12.224650,5.074237,1.396670,6.709775,0.066004
0.020000,12.325999,3.022286,12.326757,5.105355,1.555876,7.960324,0.082665
0.020000,12.428368,3.031709,12.429559,5.140091,1.736802,9.046263,0.101216
0.020000,12.531303,3.043215,12.533135,5.178792,1.935091,9.914474,0.121736
0.020000,12.634816,3.057050,12.637568,5.221690,2.144887,10.489780,0.144310
0.020000,12.738905,3.073475,12.742946,5.268857,2.358331,10.672232,0.169022
0.020000,12.843545,3.092767,12.849349,5.320158,2.565043,10.335608,0.195955
0.020000,12.948678,3.115219,12.956853,5.375190,2.751618,9.328729,0.225184
0.020000,13.054207,3.141134,13.065517,5.433215,2.901252,7.481700,0.256770
0.020000,13.159982,3.170818,13.175379,5.493088,2.993647,4.619739,0.290748
0.020000,13.265794,3.204569,13.286443,5.553196,3.005388,0.587058,0.327124
0.020000,13.371359,3.242664,13.398671,5.611417,2.911041,-4.717352,0.365860
0.020000,13.476316,3.285343,13.511973,5.665120,2.685170,-11.293530,0.406866
0.020000,13.580223,3.332782,13.626198,5.711228,2.305378,-18.989609,0.449990
0.020000,13.682565,3.385074,13.741125,5.746352,1.756199,-27.458954,0.495012
0.020000,13.782761,3.442206,13.856465,5.767018,1.033326,-36.143638,0.541643
0.020000,13.880196,3.504040,13.971864,5.769963,0.147256,-44.303530,0.589529
0.020000,13.974243,3.570308,14.086914,5.752467,-0.874804,-51.103009,0.638259
0.020000,14.064308,3.640609,14.201167,5.712672,-1.989776,-55.748581,0.687389
0.020000,14.149861,3.714426,14.314164,5.649817,-3.142729,-57.647630,0.736456
0.020000,14.230470,3.791152,14.425451,5.564346,-4.273554,-56.541282,0.785008
0.020000,14.305826,3.870125,14.534607,5.457848,-5.324871,-52.565832,0.832624
0.020000,14.375752,3.950661,14.641265,5.332863,-6.249272,-46.220039,0.878935
0.020000,14.440199,4.032096,14.745116,5.192577,-7.014279,-38.250366,0.923634
0.020000,14.499239,4.113809,14.845926,5.040494,-7.604180,-29.495052,0.966485
0.020000,14.553040,4.195244,14.943528,4.880116,-8.018881,-20.735035,1.007322
0.020000,14.601847,4.275924,15.037823,4.714703,-8.270679,-12.589900,1.046045
0.020000,14.645957,4.355452,15.128765,4.547101,-8.380089,-5.470488,1.082610
0.020000,14.685698,4.433512,15.216358,4.379666,-8.371765,0.416204,1.117020
0.020000,14.721412,4.509856,15.300643,4.214243,-8.271146,5.030940,1.149316
0.020000,14.753441,4.584302,15.381687,4.052200,-8.102111,8.451711,1.179565
0.020000,14.782116,4.656722,15.459576,3.894488,-7.885605,10.825308,1.207855
