dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.146000,4.003644,0.003704,0.148148,2.962963,59.259259,1.570796
0.050000,3.146000,4.014755,0.014815,0.222222,1.481481,-29.629630,1.570796
0.050000,3.146000,4.033273,0.033333,0.370370,2.962963,29.629630,1.570796
0.050000,3.146000,4.059199,0.059259,0.518519,2.962963,0.000000,1.570796
0.050000,3.146000,4.092533,0.092593,0.666667,2.962963,0.000000,1.570796
0.050000,3.146000,4.133273,0.133333,0.814815,2.962963,-0.000000,1.570796
0.050000,3.146000,4.181421,0.181481,0.962963,2.962963,0.000000,1.570796
0.050000,3.146000,4.236977,0.237037,1.111111,2.962963,-0.000000,1.570796
0.050000,3.146000,4.299940,0.300000,1.259259,2.962963,0.000000,1.570796
0.050000,3.146000,4.370310,0.370370,1.407407,2.962963,0.000000,1.570796
0.050000,3.146000,4.448088,0.448148,1.555556,2.962963,0.000000,1.570796
0.050000,3.146000,4.533273,0.533333,1.703704,2.962963,-0.000000,1.570796
0.050000,3.146000,4.625866,0.625926,1.851852,2.962963,-0.000000,1.570796
0.050000,3.146000,4.725866,0.725926,2.000000,2.962963,0.000000,1.570796
0.050000,3.146000,4.833273,0.833333,2.148148,2.962963,-0.000000,1.570796
0.050000,3.146000,4.948088,0.948148,2.296296,2.962963,0.000000,1.570796
0.050000,3.146000,5.070310,1.070370,2.444444,2.962963,0.000000,1.570796
0.050000,3.146000,5.199940,1.200000,2.592593,2.962963,0.000000,1.570796
0.050000,3.146000,5.336977,1.337037,2.740741,2.962963,0.000000,1.570796
0.050000,3.146000,5.481421,1.481481,2.888889,2.962963,0.000000,1.570796
0.050000,3.146000,5.633273,1.633333,3.037037,2.962963,0.000000,1.570796
0.050000,3.146000,5.792533,1.792593,3.185185,2.962963,0.000000,1.570796
0.050000,3.146000,5.959199,1.959259,3.333333,2.962963,0.000000,1.570796
0.050000,3.146000,6.133273,2.133333,3.481481,2.962963,0.000000,1.570796
0.050000,3.146000,6.314755,2.314815,3.629630,2.962963,0.000000,1.570796
0.050000,3.146000,6.503644,2.503704,3.777778,2.962963,0.000000,1.570796
0.050000,3.146000,6.699940,2.700000,3.925926,2.962963,0.000000,1.570796
0.050000,3.146000,6.899940,2.900000,4.000000,1.481481,-29.629630,1.570796
0.050000,3.146000,7.099940,3.100000,4.000000,0.000000,-29.629630,1.570796
0.050000,3.146000,7.299940,3.300000,4.000000,0.000000,0.000000,1.570796
0.050000,3.146000,7.496237,3.496297,3.925948,-1.481037,-29.620741,1.570796
0.050000,3.146000,7.685129,3.685189,3.777822,-2.962519,-29.629630,1.570796
0.050000,3.146000,7.866612,3.866672,3.629674,-2.962963,-0.008889,1.570796
0.050000,3.146000,8.040689,4.040749,3.481526,-2.962963,0.000000,1.570796
0.050000,3.146000,8.207357,4.207417,3.333378,-2.962963,-0.000000,1.570796
0.050000,3.146000,8.366619,4.366679,3.185230,-2.962963,0.000000,1.570796
0.050000,3.146000,8.518473,4.518533,3.037081,-2.962963,-0.000000,1.570796
0.050000,3.146000,8.662920,4.662980,2.888933,-2.962963,0.000000,1.570796
0.050000,3.146000,8.799959,4.800019,2.740785,-2.962963,0.000000,1.570796
0.050000,3.146000,8.929591,4.929651,2.592637,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.051815,5.051875,2.444489,-2.962963,0.000000,1.570796
0.050000,3.146000,9.166632,5.166692,2.296341,-2.962963,0.000000,1.570796
0.050000,3.146000,9.274042,5.274102,2.148193,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.374044,5.374104,2.000044,-2.962963,0.000000,1.570796
0.050000,3.146000,9.466639,5.466699,1.851896,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.551826,5.551886,1.703748,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.629606,5.629666,1.555600,-2.962963,0.000000,1.570796
0.050000,3.146000,9.699979,5.700039,1.407452,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.762944,5.763004,1.259304,-2.962963,0.000000,1.570796
0.050000,3.146000,9.818502,5.818562,1.111156,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.866652,5.866712,0.963007,-2.962963,0.000000,1.570796
0.050000,3.146000,9.907395,5.907455,0.814859,-2.962963,0.000000,1.570796
0.050000,3.146000,9.940731,5.940791,0.666711,-2.962963,0.000000,1.570796
0.050000,3.146000,9.966659,5.966719,0.518563,-2.962963,-0.000000,1.570796
0.050000,3.146000,9.985180,5.985240,0.370415,-2.962963,0.000000,1.570796
0.050000,3.146000,9.996293,5.996353,0.222267,-2.962963,0.000000,1.570796
0.050000,3.146000,9.999999,6.000059,0.074119,-2.962963,-0.000000,1.570796
0.050000,3.146000,10.000000,6.000060,0.000022,-1.481926,29.620741,1.570796
0.050000,3.146000,10.000000,6.000060,0.000000,-0.000444,29.629630,1.570796
